"ARRIVAL_TM","AUTOMOBILE_COUNT","BELTED_DEATH_COUNT","BELTED_SUSP_SERIOUS_INJ_COUNT","BICYCLE_COUNT","BICYCLE_DEATH_COUNT","BICYCLE_SUSP_SERIOUS_INJ_COUNT","BUS_COUNT","CHLDPAS_DEATH_COUNT","CHLDPAS_SUSP_SERIOUS_INJ_COUNT","COLLISION_TYPE","COMM_VEH_COUNT","CONS_ZONE_SPD_LIM","COUNTY","CRASH_MONTH","CRASH_YEAR","CRN","DAY_OF_WEEK","DEC_LAT","DEC_LONG","DISPATCH_TM","DISTRICT","DRIVER_COUNT_16YR","DRIVER_COUNT_17YR","DRIVER_COUNT_18YR","DRIVER_COUNT_19YR","DRIVER_COUNT_20YR","DRIVER_COUNT_50_64YR","DRIVER_COUNT_65_74YR","DRIVER_COUNT_75PLUS","EST_HRS_CLOSED","FATAL_COUNT","HEAVY_TRUCK_COUNT","HORSE_BUGGY_COUNT","HOUR_OF_DAY","ILLUMINATION","INJURY_COUNT","INTERSECT_TYPE","LANE_CLOSED","LATITUDE","LN_CLOSE_DIR","LOCATION_TYPE","LONGITUDE","MAX_SEVERITY_LEVEL","MCYCLE_DEATH_COUNT","MCYCLE_SUSP_SERIOUS_INJ_COUNT","MOTORCYCLE_COUNT","MUNICIPALITY","NONMOTR_COUNT","NONMOTR_DEATH_COUNT","NONMOTR_SUSP_SERIOUS_INJ_COUNT","NTFY_HIWY_MAINT","PED_COUNT","PED_DEATH_COUNT","PED_SUSP_SERIOUS_INJ_COUNT","PERSON_COUNT","POLICE_AGCY","POSSIBLE_INJ_COUNT","RDWY_SURF_TYPE_CD","RELATION_TO_ROAD","ROAD_CONDITION","SCH_BUS_IND","SCH_ZONE_IND","SMALL_TRUCK_COUNT","SPEC_JURIS_CD","SUSP_MINOR_INJ_COUNT","SUSP_SERIOUS_INJ_COUNT","SUV_COUNT","TCD_FUNC_CD","TCD_TYPE","TFC_DETOUR_IND","TIME_OF_DAY","TOT_INJ_COUNT","TOTAL_UNITS","UNB_DEATH_COUNT","UNB_SUSP_SERIOUS_INJ_COUNT","UNBELTED_OCC_COUNT","UNK_INJ_DEG_COUNT","UNK_INJ_PER_COUNT","URBAN_RURAL","VAN_COUNT","VEHICLE_COUNT","WORK_ZONE_IND","WORK_ZONE_LOC","WORK_ZONE_TYPE","WORKERS_PRES","WZ_CLOSE_DETOUR","WZ_FLAGGER","WZ_LAW_OFFCR_IND","WZ_LN_CLOSURE","WZ_MOVING","WZ_OTHER","WZ_SHLDER_MDN","ROADWAY_CLEARED","WEATHER1","WEATHER2","WZ_WORKERS_INJ_KILLED","SECONDARY_CRASH","INTERSECTION_RELATED"
"1836","1","0","0","0","0","0","0","0","0","0","0","","36","01","2021","2021005021","7","40.0295","-76.2961","1835","08","0","0","0","0","0","0","0","0","","0","0","0","18","3","0","00","2","40 01:46.100","4","00","76 17:46.000","0","0","0","0","36301","0","0","0","N","0","0","0","1","36301","0","","1","01","N","N","0","","0","0","0","0","0","N","1827","0","1","0","0","0","0","0","3","0","1","N","","","","","","","","","","","1949","03","03","","N","N"
"0758","1","0","0","0","0","0","0","0","0","4","1","","36","05","2021","2021041130","6","40.0388","-76.3129","0753","08","0","0","0","0","0","1","0","0","","0","1","0","07","1","0","01","0","40 02:19.627","","00","76 18:46.601","0","0","0","0","36301","0","0","0","N","0","0","0","1","36301","0","","1","01","N","N","0","","0","0","0","3","2","","0751","0","2","0","0","0","0","0","3","0","2","N","","","","","","","","","","","","03","","","N",""
"1837","1","0","0","0","0","0","0","0","0","1","1","","36","05","2021","2021040875","7","40.0687","-76.3045","1829","08","0","0","0","0","0","0","0","0","","0","1","0","18","1","1","00","0","40 04:07.315","","00","76 18:16.191","4","0","0","0","36101","0","0","0","N","0","0","0","4","36101","1","","1","01","N","N","0","","0","0","1","0","0","","1827","1","3","0","0","0","0","0","3","0","3","N","","","","","","","","","","","","03","","","N","N"
"1600","0","0","0","0","0","0","0","0","0","7","0","","36","01","2021","2021016062","1","40.1303","-76.4821","1555","08","0","0","0","0","0","1","0","0","","0","0","0","15","1","0","00","0","40 07:48.927","","00","76 28:55.503","0","0","0","0","36230","0","0","0","N","0","0","0","1","36410","0","","3","07","N","N","0","","0","0","1","0","0","","1550","0","1","0","0","0","0","0","1","0","1","N","","","","","","","","","","","","10","","","N","N"
"1530","0","0","0","0","0","0","0","0","0","4","1","","36","04","2021","2021038869","6","39.9624","-75.9908","1516","08","0","0","0","0","0","1","0","0","","0","1","0","15","1","0","01","1","39 57:44.736","1","00","75 59:27.039","0","0","0","0","36231","0","0","0","N","0","0","0","2","68J01","0","","1","01","N","N","0","","0","0","0","0","0","N","1505","0","2","0","0","0","0","0","1","1","2","N","","","","","","","","","","","1708","03","","","N","N"
"1147","1","0","0","0","0","0","0","0","0","7","0","","36","04","2021","2021037493","2","40.0348","-76.2953","1147","08","0","0","0","0","0","0","0","0","","0","0","0","11","1","0","10","2","40 02:05.413","4","00","76 17:43.162","9","0","0","0","36301","0","0","0","Y","0","0","0","1","36301","0","","5","01","N","N","0","","0","0","0","0","0","Y","1136","0","1","0","0","0","0","1","3","0","1","N","","","","","","","","","","","1236","03","","","N",""
"2212","0","0","0","0","0","0","0","0","0","1","0","","36","04","2021","2021035098","2","40.0691","-76.3087","2206","08","0","0","0","0","0","0","0","0","","0","0","0","21","3","1","00","0","40 04:08.749","","00","76 18:31.446","4","0","0","0","36101","0","0","0","N","0","0","0","2","36101","1","","1","01","N","N","0","","0","0","2","0","0","","2146","1","2","0","0","0","0","1","3","0","2","N","","","","","","","","","","","","04","04","","N","N"
"1130","1","0","0","0","0","0","0","0","0","4","0","","36","04","2021","2021034603","7","40.0378","-76.2707","1126","08","0","0","0","0","0","0","0","1","","0","0","0","11","1","0","01","0","40 02:16.133","","00","76 16:14.672","0","0","0","0","36215","0","0","0","N","0","0","0","4","36215","0","","1","01","N","N","0","","0","0","1","3","2","","1126","0","2","0","0","0","0","0","1","0","2","N","","","","","","","","","","","","03","03","","N",""
"1355","0","0","0","0","0","0","0","0","0","7","0","","36","01","2021","2021009449","6","39.9967","-76.3116","1346","08","0","0","0","0","0","0","0","0","","0","0","0","13","1","1","00","2","39 59:48.198","5","03","76 18:41.803","2","0","0","0","36206","0","0","0","N","0","0","0","1","36228","0","","2","01","N","N","0","","0","1","1","0","0","Y","1346","1","1","0","0","0","0","0","1","0","1","N","","","","","","","","","","","1600","03","","","Y","N"
"1935","1","0","0","0","0","0","0","0","0","7","0","","36","01","2021","2021001324","7","40.1422","-76.4083","1926","08","1","0","0","0","0","0","0","0","","0","0","0","19","2","0","00","0","40 08:32.000","","00","76 24:29.700","0","0","0","0","36227","0","0","0","N","0","0","0","2","36506","0","","4","01","N","N","0","","0","0","0","0","0","","1926","0","1","0","0","0","0","0","1","0","1","N","","","","","","","","","","","","03","","","N","N"
