"CRN","RDWY_SEQ_NUM","ADJ_RDWY_SEQ","ROUTE","SEGMENT","OFFSET","RDWY_ORIENT","LANE_COUNT","SPEED_LIMIT","STREET_NAME","ROAD_OWNER","ACCESS_CTRL","RDWY_COUNTY"
"2021126450","3","4","","","","S","02","25","LAKE ST","4","","36"
"2021008045","3","3","0010","0050","2365","N","2","45","","2","3","36"
"2022004790","4","4","","","","W","02","","HOOVER RD","4","","36"
"2021114968","4","3","","","","S","01","25","LAFAYETTE ST","4","","36"
"2021099667","4","4","3372","0020","0","E","2","45","FRIENDLY DR","2","3","36"
"2021023735","3","3","0300","0330","2681","E","2","55","","2","1","36"
"2021125721","10","10","","","","U","99","","OAKVIEW DR","4","","36"
"2021071808","3","3","0030","0250","757","E","3","55","LINCOLN HW","2","1","36"
"2021101653","3","3","","","","S","2","25","GLENDOWER DR","4","","36"
"2021020240","4","4","","","","S","02","","FOURTH ST","4","","36"
"2021073210","3","3","2045","0010","204","S","2","35","RONKS RD","2","3","36"
"2021024831","4","4","","","","S","02","25","COCALICO CREEK RD","4","","36"
"2021113630","3","3","","","","W","02","25","WALNUT ST","4","","36"
"2021006223","3","3","0322","0320","3310","E","2","45","28TH DIVISION HW","2","3","36"
"2021095032","3","3","0322","0270","1315","E","3","35","MAIN ST","2","3","36"
"2021004066","5","4","","","","E","02","25","HOOVER ST","4","","36"
"2021103615","4","4","0462","0291","0","W","2","35","KING ST","2","3","36"
"2021009566","3","3","0501","0130","0","S","2","35","BROAD ST","2","3","36"
"2021086681","3","3","1018","0020","0","N","2","40","ROTHSVILLE RD","2","3","36"
"2021026767","3","3","3017","0350","1297","N","2","25","COLLEGE AV","2","3","36"
"2021037192","3","3","","","","E","02","35","CHARLESTOWN RD","4","","36"
"2021063558","3","3","0023","0390","767","W","2","35","MAIN ST","2","3","36"
"2021093132","3","3","","","","E","99","25","NOLT RD","4","","36"
"2021030429","3","3","0222","0811","2159","S","2","65","SR 0222 SH","2","1","36"
"2021085203","4","4","","","","N","02","25","MULBERRY ST","4","","36"
"2021012594","3","3","","","","S","02","25","4TH ST","4","","36"
"2021042954","4","3","0030","0340","0","E","3","55","LINCOLN HW","2","3","36"
"2021064600","4","4","","","","N","02","","FROGTOWN RD","4","","36"
"2021039561","4","4","0999","0160","0","N","2","25","MILLERSVILLE PK","2","3","36"
"2021124568","4","4","0743","0151","1111","S","4","45","HERSHEY RD","2","3","36"
"2021041601","3","3","0501","0020","1743","N","3","40","LITITZ PK","2","3","36"
"2021082388","3","3","4022","0070","0","E","2","35","SECOND AV","2","3","36"
"2021017211","4","4","0743","0151","1111","S","4","45","HERSHEY RD","2","3","36"
"2021048919","3","3","","","","E","2","25","CHESTNUT ST","4","","36"
"2021078331","3","3","8001","0020","530","E","1","35","RAMP B RD","2","1","36"
"2021125297","3","3","0023","0100","1554","W","2","45","MARIETTA AV","2","3","36"
"2021001772","3","3","0222","0960","2292","N","2","65","","2","1","36"
"2021102419","3","4","","","","E","01","25","CHRISTIAN ST","4","","36"
"2021078939","5","6","8024","0500","851","W","1","20","RAMP C RD","2","1","36"
"2021108786","3","3","1002","0053","0","W","2","25","ORANGE ST","2","3","36"
"2021103852","3","3","0230","0020","1684","N","2","45","N MARKET ST","2","3","36"
"2022000295","4","3","","","","S","02","25","HERSHEY AV","4","","36"
