"ARRIVAL_TM","AUTOMOBILE_COUNT","BELTED_DEATH_COUNT","BELTED_SUSP_SERIOUS_INJ_COUNT","BICYCLE_COUNT","BICYCLE_DEATH_COUNT","BICYCLE_SUSP_SERIOUS_INJ_COUNT","BUS_COUNT","CHLDPAS_DEATH_COUNT","CHLDPAS_SUSP_SERIOUS_INJ_COUNT","COLLISION_TYPE","COMM_VEH_COUNT","CONS_ZONE_SPD_LIM","COUNTY","CRASH_MONTH","CRASH_YEAR","CRN","DAY_OF_WEEK","DEC_LAT","DEC_LONG","DISPATCH_TM","DISTRICT","DRIVER_COUNT_16YR","DRIVER_COUNT_17YR","DRIVER_COUNT_18YR","DRIVER_COUNT_19YR","DRIVER_COUNT_20YR","DRIVER_COUNT_50_64YR","DRIVER_COUNT_65_74YR","DRIVER_COUNT_75PLUS","EST_HRS_CLOSED","FATAL_COUNT","HEAVY_TRUCK_COUNT","HORSE_BUGGY_COUNT","HOUR_OF_DAY","ILLUMINATION","INJURY_COUNT","INTERSECT_TYPE","LANE_CLOSED","LATITUDE","LN_CLOSE_DIR","LOCATION_TYPE","LONGITUDE","MAX_SEVERITY_LEVEL","MCYCLE_DEATH_COUNT","MCYCLE_SUSP_SERIOUS_INJ_COUNT","MOTORCYCLE_COUNT","MUNICIPALITY","NONMOTR_COUNT","NONMOTR_DEATH_COUNT","NONMOTR_SUSP_SERIOUS_INJ_COUNT","NTFY_HIWY_MAINT","PED_COUNT","PED_DEATH_COUNT","PED_SUSP_SERIOUS_INJ_COUNT","PERSON_COUNT","POLICE_AGCY","POSSIBLE_INJ_COUNT","RDWY_SURF_TYPE_CD","RELATION_TO_ROAD","ROAD_CONDITION","SCH_BUS_IND","SCH_ZONE_IND","SMALL_TRUCK_COUNT","SPEC_JURIS_CD","SUSP_MINOR_INJ_COUNT","SUSP_SERIOUS_INJ_COUNT","SUV_COUNT","TCD_FUNC_CD","TCD_TYPE","TFC_DETOUR_IND","TIME_OF_DAY","TOT_INJ_COUNT","TOTAL_UNITS","UNB_DEATH_COUNT","UNB_SUSP_SERIOUS_INJ_COUNT","UNBELTED_OCC_COUNT","UNK_INJ_DEG_COUNT","UNK_INJ_PER_COUNT","URBAN_RURAL","VAN_COUNT","VEHICLE_COUNT","WORK_ZONE_IND","WORK_ZONE_LOC","WORK_ZONE_TYPE","WORKERS_PRES","WZ_CLOSE_DETOUR","WZ_FLAGGER","WZ_LAW_OFFCR_IND","WZ_LN_CLOSURE","WZ_MOVING","WZ_OTHER","WZ_SHLDER_MDN","ROADWAY_CLEARED","WEATHER1","WEATHER2","WZ_WORKERS_INJ_KILLED","SECONDARY_CRASH","INTERSECTION_RELATED"
"1615","1","0","0","0","0","0","0","0","0","7","0","","36","01","2018","2018000193","2","40.0511","-76.3991","1610","08","0","0","0","0","0","0","1","0","2","0","0","0","16","4","0","00","1","40 03:04.009","4","00","76 23:56.621","0","0","0","0","36214","0","0","0","Y","0","0","0","2","36214","0","","3","01","N","N","0","","0","0","0","0","0","N","1609","0","1","0","0","0","0","0","3","0","1","N","","","","","","","","","","","","03","  ","","",""
"1156","1","0","0","0","0","0","0","0","0","7","0","","36","01","2018","2018000408","2","40.1936","-76.1557","1151","08","0","1","0","0","0","0","0","0","2","0","0","0","11","1","0","00","2","40 11:36.900","5","00","76 09:20.500","0","0","0","0","36218","0","0","0","N","0","0","0","1","36408","0","","2","01","N","N","0","","0","0","0","0","0","Y","1149","0","1","0","0","0","0","0","1","0","1","N","","","","","","","","","","","","03","  ","","",""
"0550","1","0","0","0","0","0","0","0","0","7","0","","36","01","2018","2018000508","3","40.1237","-76.3644","0539","08","0","0","1","0","0","0","0","0","","0","0","0","04","2","1","00","0","40 07:25.328","","00","76 21:51.984","4","0","0","0","36214","0","0","0","N","0","0","0","1","36214","1","","5","07","N","N","0","","0","0","0","0","0","","0400","1","1","0","0","0","0","0","3","0","1","N","","","","","","","","","","","","03","  ","","",""
"0530","1","0","0","0","0","0","0","0","0","7","0","","36","01","2018","2018000510","3","40.0776","-76.4072","0523","08","0","0","0","0","0","0","0","0","","0","0","0","05","2","0","00","0","40 04:39.248","","00","76 24:25.943","0","0","0","0","36214","0","0","0","Y","0","0","0","1","36214","0","","5","01","N","N","0","","0","0","0","0","0","","0521","0","1","0","0","0","0","0","3","0","1","N","","","","","","","","","","","","03","  ","","",""
"1159","0","0","0","0","0","0","0","0","0","7","0","","36","01","2018","2018000550","2","40.0456","-76.4898","1124","08","0","0","0","0","0","0","0","0","","0","0","0","11","1","0","02","0","40 02:44.271","","00","76 29:23.413","0","0","0","0","36404","0","0","0","N","0","0","0","1","36404","0","","5","01","N","N","0","","0","0","1","0","0","","1124","0","1","0","0","0","0","0","3","0","1","N","","","","","","","","","","","","03","  ","","",""
"0758","1","0","0","0","0","0","0","0","0","4","0","","36","01","2018","2018000574","3","40.0415","-76.3252","0754","08","0","0","0","0","0","1","0","0","2","0","0","0","07","5","0","01","2","40 02:29.263","6","00","76 19:30.575","0","0","0","0","36301","0","0","0","N","0","0","0","2","36301","0","","1","01","N","N","0","","0","0","1","3","2","Y","0752","0","2","0","0","0","0","0","3","0","2","N","","","","","","","","","","","","03","  ","","",""
"0951","2","0","0","0","0","0","0","0","0","4","0","","36","01","2018","2018000582","3","40.1233","-76.3753","0947","08","0","1","0","0","0","0","1","0","","0","0","0","09","1","1","01","0","40 07:23.702","","00","76 22:31.147","4","0","0","0","36214","0","0","0","N","0","0","0","2","36214","1","","1","01","N","N","0","","0","0","0","3","3","","0945","1","2","0","0","0","0","0","3","0","2","N","","","","","","","","","","","","03","  ","","",""
"0652","2","0","0","0","0","0","0","0","0","4","0","","36","01","2018","2018000584","3","40.1313","-76.5641","0645","08","0","0","0","0","0","0","0","0","","0","0","0","06","5","0","00","0","40 07:52.854","","00","76 33:50.880","0","0","0","0","36225","0","0","0","N","0","0","0","3","36505","0","","1","02","N","N","0","","0","0","0","3","2","N","0640","0","2","0","0","0","0","0","2","0","2","N","","","","","","","","","","","","03","  ","","",""
"1139","1","0","0","0","0","0","0","0","0","4","0","","36","01","2018","2018000586","3","40.0392","-76.4311","1139","08","0","0","0","0","0","0","0","0","1","0","0","0","11","1","0","01","2","40 02:20.941","6","00","76 25:51.799","0","0","0","0","36414","0","0","0","N","0","0","0","3","36239","0","","1","01","N","N","0","","0","0","1","3","2","Y","1139","0","2","0","0","0","0","0","3","0","2","N","","","","","","","","","","","","03","  ","","",""
"1545","1","0","0","0","0","0","0","0","0","4","0","","36","01","2018","2018000916","3","40.1144","-76.5322","1536","08","0","0","0","0","0","0","1","0","2","0","0","0","15","1","2","02","1","40 06:51.764","7","00","76 31:55.767","8","0","0","0","36211","0","0","0","N","0","0","0","2","36504","0","","1","01","N","N","0","","0","0","1","3","3","N","1535","2","2","0","0","0","2","0","1","0","2","N","","","","","","","","","","","","03","  ","","",""
