"CRN","UNIT_NUM","TRL_SEQ_NUM","TRL_VEH_REG_STATE","TRL_VEH_TYPE_CD","TRL_VEH_TAG_NUM","TRL_VEH_TAG_YR"
"2018012375","2","0","PA","3","XJY6144","2018"
"2018016570","1","0","PA","7","PT5414Z","2018"
"2018020161","1","0","","7","",""
"2018027285","2","0","","7","",""
"2018032008","1","0","PA","6","XDD1086","2019"
"2018032009","2","0","ME","7","364334Z","2018"
"2018036196","2","0","PA","7","",""
"2018041835","1","0","WI","7","641364","2018"
"2019001177","2","0","PA","7","PT697F5","2019"
"2018056332","1","0","PA","3","PT383D1","2018"
"2018061715","1","0","NJ","7","YNG54V","2099"
"2018061861","2","0","PA","7","PT249B3","9999"
"2018065316","2","0","PA","7","PT546A3","2019"
"2018067994","2","0","PA","7","PT048A9","2018"
"2018075120","2","0","PA","7","PT4446R","2019"
"2018077305","1","0","ME","7","2082717","2018"
"2018078271","1","0","PA","3","XKK6025","2018"
"2018094481","2","0","PA","3","XKH7425",""
"2018096928","2","0","","1","",""
"2018097895","1","0","PA","8","",""
"2018109515","2","0","PA","3","XGJ7723","2018"
"2018119925","2","0","PA","3","XHF2578","2018"
"2018124387","2","0","WI","7","756927","2019"
"2018132058","2","0","ZZ","8","999999999999","2099"
"2018012312","1","0","PA","3","XKP0853","2023"
"2019004436","2","0","PA","6","XLD2061","2019"
"2018018714","2","0","ME","7","207762D","2020"
"2018022196","1","0","PA","7","MG5025",""
"2018034197","1","0","TN","7","0678353","2018"
"2018036649","2","0","PA","7","PT2791M","9999"
"2018038091","2","0","PA","7","PP7779Z","2018"
"2018039658","1","0","PA","7","99999","2099"
"2018039809","2","0","PA","7","PT5835J","2006"
"2018045761","2","0","PA","3","PT790C4","9999"
"2018046591","1","0","PA","7","XFA6727","2018"
"2018054523","2","0","PA","3","XHT4603","2020"
"2018058357","1","0","PA","3","XV38932","2015"
"2018061462","1","0","PA","7","PT8376Z","2018"
"2018063353","2","0","ME","7","20TLR2100D","2020"
"2018067992","1","0","PA","3","XJY8286","2019"
"2018078252","4","0","PA","7","PT014D6","2018"
"2018084494","2","0","PA","3","PY749D8","2018"
"2018097095","3","0","TN","7","U269390","2011"
"2018109386","1","0","OK","7","7040LP","2019"
"2018119967","2","0","NY","7","16593PB","2023"
"2018127797","2","0","PA","6","PT8969N","2018"
"2018128983","1","0","PA","7","PT5201B","2015"
"2018136608","2","0","PA","3","XHC8559","2019"
"2018001228","2","0","NJ","7","TTK35B","2018"
"2018005852","2","0","NJ","3","TKM662","2017"
"2018019571","2","0","NJ","7","TTM96J","2020"
"2018036102","1","0","CA","7","4NE6638","2019"
"2018037353","2","0","OK","7","3034KB","2018"
"2018037575","1","0","PA","6","XGE9473","2019"
"2018044535","2","0","PA","3","XPE1733","2019"
"2018050492","1","0","PA","3","XGW4051","2018"
"2018053102","2","0","PA","3","XFD0534","2009"
"2018053956","2","0","ME","7","2457797","2024"
"2018058099","2","0","PA","3","XKW1650","2018"
"2018058462","1","0","IL","7","590431ST","2017"
"2018061464","1","0","TN","7","U744648","2018"
"2018088560","1","0","IN","7","2376658","2019"
"2018090815","3","0","PA","6","PT403B4","2020"
"2018098955","1","0","OK","7","999999","2020"
"2018103055","1","0","IL","7","614064ST","2017"
"2018104460","2","0","ME","7","207762D","2018"
"2018109252","2","0","PA","5","XR51799","2019"
"2018110730","1","0","PA","7","PT9955B","2018"
"2018114833","2","0","PA","7","XJL7244","2019"
"2018120293","2","0","","1","",""
"2018120934","1","0","IN","7","P246061","2018"
"2018124392","1","0","PA","6","PT0262L","2018"
"2018126955","1","0","PA","2","NONE",""
"2018134608","1","0","PA","3","XJT8588","2021"
"2018007455","2","0","PA","3","XKV9296","2018"
"2018009654","1","0","NJ","7","TPP70R","2018"
"2018012267","1","0","","7","",""
"2018013923","1","0","NC","7","AF81228","2018"
"2018027878","1","0","ME","7","206754C","2020"
"2018029014","2","0","NE","7","23956W","2018"
"2018050709","2","0","PA","7","PT7537G","1989"
"2018053029","2","0","TN","7","U312639","1994"
"2018053641","3","0","PA","7","PT2184F","2099"
"2018055124","2","0","VA","7","731349TL","2018"
"2018067187","2","0","PA","7","PT2135R","2018"
"2018073580","1","0","PA","3","XM25887","2018"
"2018083374","1","0","MX","7","2145958","2018"
"2018086500","2","0","PA","1","",""
"2018096573","1","0","PA","6","PT513B0","2017"
"2018097804","2","0","NJ","5","TST41Z","2019"
"2018098703","1","0","","1","",""
"2018108775","1","0","PA","6","XZO1785","2018"
"2018120070","2","0","ME","7","212266E","2018"
"2018124481","2","0","PA","7","PT398A5","2099"
"2018134460","2","0","IN","7","P311688","2019"
"2018003300","1","0","MX","7","2365123","2023"
"2018013728","1","0","ME","7","212554B","2018"
"2018015921","2","0","PA","7","PT267E4","2018"
"2018016287","2","0","PA","3","XKP9802","1996"
"2018020581","1","0","ME","7","2534540","2020"
"2018029350","1","0","IN","7","Z82716","2019"
"2018032513","1","0","ME","6","206261B","2018"
"2018034934","1","0","ZZ","7","UKN","2018"
"2018035400","1","0","","7","",""
"2018044267","1","0","IL","7","\","2018"
"2018048433","2","0","PA","8","XKG3428","2018"
"2018049105","1","0","","3","",""
"2018051349","1","0","PA","3","XJS4305","2018"
"2018056710","2","0","OK","7","8023LN","2018"
"2018057896","1","0","PA","6","PT526E5","2018"
"2018062468","1","0","NJ","7","TPV80C","2019"
"2018062999","2","0","PA","6","XKC6504","2020"
"2018067605","1","0","IL","7","T379014","2019"
"2018067608","2","0","PA","3","XY21859","2022"
"2018072894","1","0","PA","7","PT7953V","2018"
"2018073290","1","0","PA","3","XLF9306","2023"
"2018073296","2","0","PA","3","XJR9063","2019"
"2018074691","2","0","","7","",""
"2018083367","1","0","IN","7","P308503","2013"
"2018083577","1","0","OH","7","TQF3343","2019"
"2018090815","2","0","NJ","6","TUP75A","2019"
"2018101770","2","0","CA","7","4PM3292",""
"2018108307","1","0","PA","3","XDE5084","2021"
"2018108499","3","0","OH","7","PFW2678","2020"
"2018109151","1","0","PA","3","XHG4059","2019"
"2018110730","2","0","PA","7","PT053D2","2018"
"2018117158","2","0","ME","3","1962596","2019"
"2018120602","1","0","PA","3","XJK4011","2020"
"2018123752","1","0","PA","7","PT897B2","2018"
"2018139876","1","0","PA","7","PT389E1","2018"
"2018010932","2","0","PA","7","PT3516L","2018"
"2018011990","1","0","PA","7","PT4279S","2012"
"2018016817","1","0","ME","7","227975D","2018"
"2018018128","1","0","DE","3","T104129","2018"
"2018024998","3","0","PA","3","XZ39909","2019"
"2018032468","3","0","","7","",""
"2018033567","2","0","PA","6","PPT050E9","2018"
