"CRN","RDWY_SEQ_NUM","ADJ_RDWY_SEQ","ROUTE","SEGMENT","OFFSET","RDWY_ORIENT","LANE_COUNT","SPEED_LIMIT","STREET_NAME","ROAD_OWNER","ACCESS_CTRL","RDWY_COUNTY"
"2018081266","4","4","0772","0551","0","W","2","40","NEWPORT RD","2","3","36"
"2018085737","3","3","7076","0330","528","W","4","70","EAST/WEST PK","5","1","36"
"2018083185","6","6","0772","0531","0","W","2","40","NEWPORT RD","2","3","36"
"2018078132","3","3","0222","0631","228","S","2","25","PRINCE ST","2","3","36"
"2018083633","3","3","7076","0210","2112","W","4","70","EAST/WEST TU","5","1","36"
"2018011840","3","3","0462","0050","0","W","2","35","FIFTH ST","2","3","36"
"2018081693","3","3","0023","0302","215","E","2","40","NEW HOLLAND PK","2","3","36"
"2018037388","3","3","","","","E","02","20","DRY WELLS RD","4","","36"
"2018090358","3","3","0722","0200","1255","W","2","35","OREGON RD","2","3","36"
"2018108685","3","3","0023","0302","215","E","2","40","NEW HOLLAND PK","2","3","36"
"2018085035","3","3","0772","0550","0","E","2","40","NEWPORT RD","2","3","36"
"2018083185","3","3","0272","0620","3004","N","2","45","OREGON PK","2","3","36"
"2018080106","4","4","1012","0010","0","E","2","25","LIBERTY ST","2","3","36"
"2018084275","3","3","0340","0040","278","W","2","40","OLD PHILADELPHIA PK","2","3","36"
"2018086042","4","4","","","","U","01","25","SHIPPEN ST","4","","36"
"2018083706","3","3","8022","0250","469","W","1","35","RAMP C RD","2","1","36"
"2018023301","4","4","4005","0030","2630","N","2","40","PROSPECT RD","2","3","36"
"2018081951","3","3","0462","0020","334","W","3","35","CHESTNUT ST","2","3","36"
"2018087049","4","4","8044","0250","114","E","1","35","RAMP G RD","2","1","36"
"2018082320","8","8","2043","0010","0","B","3","40","OAKVIEW RD","2","3","36"
"2018081615","3","4","","","","E","02","35","BOWMAN RD","4","","36"
"2018085975","4","4","3031","0070","2805","N","2","40","DONERVILLE RD","2","3","36"
"2018079502","4","4","1018","0050","2637","B","2","40","ROTHSVILLE RD","2","3","36"
"2018086769","4","4","","","","E","02","35","LITITZ RD","4","","36"
"2018087792","3","3","0030","0270","835","E","3","55","LINCOLN HW","2","1","36"
"2018089693","3","3","0030","0320","2156","E","2","50","LINCOLN HW","2","1","36"
"2018087053","3","3","0023","0380","890","E","2","35","MAIN ST","2","3","36"
"2018081256","3","3","","","","N","02","25","ANN ST","4","","36"
"2018089002","3","3","0272","0630","437","S","2","45","OREGON PK","2","3","36"
"2018082505","3","3","","","","U","02","40","COCALICO CREEK RD","4","","36"
"2018083295","4","4","","","","N","03","35","CALDER ST","4","","36"
"2018023483","3","3","0322","0160","773","E","2","55","MAIN ST","2","3","36"
"2018086769","3","3","0072","0240","0","S","2","55","LANCASTER RD","2","3","36"
"2018080106","3","3","0222","0651","2304","S","2","25","PRINCE ST","2","3","36"
"2018078824","3","3","0772","0200","1114","W","2","55","MOUNT JOY RD","2","3","36"
"2018086466","3","3","","","","S","02","40","OREGON PK","4","","36"
"2018084777","4","4","","","","S","02","35","PROSPECT RD","4","","36"
