"CRN","AXLE_CNT","CARGO_BD_TYPE","CARRIER_ADDR_1","CARRIER_ADDR_2","CARRIER_ADDR_CITY","CARRIER_ADDR_STATE","CARRIER_ADDR_ZIP","CARRIER_NM","CARRIER_TEL","GVWR","HAZMAT_CD1","HAZMAT_CD2","HAZMAT_CD3","HAZMAT_CD4","HAZMAT_IND","HAZMAT_REL_IND1","HAZMAT_REL_IND2","HAZMAT_REL_IND3","HAZMAT_REL_IND4","ICC_NUM","OSIZE_LOAD_IND","PUC_NUM","UNIT_NUM","USDOT_NUM","VEH_CONFIG_CD"
2018003238,"05","1","14949 ST RT 28 W","","ALEXANDRIA","IN","460010000","R&L TRANSFER INC","8887141231","999999","","","","","N","","","","","","N","","2","00063991","08"
2018005238,"03","1","300 SEABOARD LN STE 5","","FRANKLIN","TN","37067","PASCHALL TRUCK LINES INC","2707531717","080000","","","","","N","","","","","","N","","1","00105234","08"
2018005952,"03","8","2701 EAST CUMBERLAND ROAD","","LEBANON","PA","17042","BRIGHTBILL TRANSPORTATION INC","8009324625","999999","","","","","N","","","","","","N","","1","00620601","11"
2018009702,"99","9","3583 LINCOLN HWY E","PO BOX 126","KINZERS","PA","17535","J M BEILER ENTERPRISE, LLC","9999999999","011400","","","","","N","","","","","","U","","3","","05"
2018015921,"05","1","549 SCHAEFFER ROAD","","LEBANON","PA","17042","WEN-CREST FARMS","4843886104","080000","","","","","N","","","","","","N","","2","02411859","08"
2018025366,"04","3","1280 MARTIN STREET","","EAST EARL","PA","17519","ADAM G. MARTIN","7175756554","070000","","","","","N","","","","","","N","00123288","2","00995762","04"
2018026046,"02","1","P.O. BOX 5","","KREAMER","PA","17883","HACKENBERG BROTHERS INC","5708472201","026000","","","","","N","","","","","","N","","2","00371221","03"
2018038063,"99","3","665 TOWER LANE","","WEST CHESTER","PA","19380","PIPE SERVICES CORP","9999999999","010001","","","","","N","","","","","","N","9999999999","1","99999999","05"
2018038091,"05","9","359 STEVENS ROAD","","STEVENS","PA","17578","DOUBLE H TRANSPORT INC","7175754381","080000","","","","","N","","","","","","N","","2","00855439","08"
2018038960,"05","3","278 CANTERBURY RD","","MILFORD","DE","19963","WHIPPER SNAPPER TRANS","3025003623","080000","","","","","N","","","","","","Y","","1","01809951","08"
2018044267,"05","1","2701 WEST WASHINGTON BL","","BELLWOOD","IL","60104","A & IN GROUP","8663238000","080000","","","","","N","","","","","","N","","1","02156343","08"
2018048338,"04","9","9410 LAKE VIEW DR","","BERLIN","MD","21811","WILLIAM M. REYNOLDS","4107087336","080000","","","","","N","","","","","","N","","2","01040533","08"
2018060372,"02","1","1 MARK V DR, PO BOX 190","","LITITZ","PA","17543","ADVANTAGE TRUCK LEASING","7176251215","033000","","","","","N","","","","","","N","","2","00101840","03"
2018061691,"02","9","2 N 9TH ST","","ALLENTOWN","PA","18101","PPL","6107745151","035000","","","","","N","","","","","","N","","2","00010008","99"
2018068361,"04","4","682 W PENN AVE","","ROBESONIA","PA","19551","PRECISION LANDSCAPING","6105896097","073280","","","","","N","","","","","","N","","2","02989775","09"
2018096276,"02","1","179 TWIN COUNTY ROAD","","MORGANTOWN","PA","19543","MARTINS TIRE AND ALIGNMENT","6109013995","014000","","","","","N","","","","","","N","","2","01769108","02"
2018103042,"06","9","3289 N SUSQUEHANNA TRAI","","YORK","PA","17406","RECON CONSTRUCTION SERVICES","7178870741","060000","","","","","N","","","","","","N","","1","00859475","08"
2018104896,"03","4","805 ZION CHURCH RD.","","HAMBURG","PA","17526","SPROESSER LAWN CARE INC.","0000000000","080000","","","","","N","","","","","","N","A-00122555","2","00864933","09"
2018107751,"03","0","2099 SOUTH PARK CT","","DUBUQUE","IA","52003","FOODLINER","8005728947","052000","","","","","N","","","","","","N","","2","00046257","08"
2018108271,"99","7","85 BRICKYARD RD","PO BOX","YORK","PA","17402","PENN WASTE INC.","9999999999","060000","","","","","N","","","","","","N","","1","","05"
2018108452,"04","4","12788 SHRESBURY CHURCH RD","","KENNEDYVILLE","MD","21645","KL AND KJ NAU INC","4103482276","999999","","","","","N","","","","","","N","","2","00369785","04"
2018110940,"07","4","7241 HOLLYWOOD RD","","FORT WASHINGTON","PA","19034","SJM CONSTRUCTION COMPANY INC","2156283905","073280","","","","","N","","","","","","N","","1","01408776","04"
2018110940,"05","3","1810 AVE C","","ENSLEY","AL","35218","P&S TRANSPORTATION LLC","2057884000","080000","","","","","N","","","","","","N","","2","01243338","08"
2018111722,"02","9","327 N. JACKSON","","SPRINGFIELD","MN","56087","HALTER TRUCKING INC.","5079207811","040000","","","","","N","","","","","","N","","1","00153697","08"
2018118435,"06","1","401 E GIBBSBORO ROAD APT 104","","LINDENWORLD","NJ","08021","IRA FORBES","8562644708","080000","","","","","N","","","","","","N","","3","00866426","99"
2018119967,"05","2","6131 E TAFT ROAD","","SYRACUSE","NY","13217","RICCELLI;ENTERPRISES;INC","5857271386","080000","","","","","N","","","","","","N","","2","00918319","08"
2018126571,"99","4","1026 PLEASANT HILL ROAD","","DENVER","PA","17517","BRECKNOCK TOWNSHIP","7174455933","039000","","","","","N","","","","","","N","","1","","05"
2018132834,"02","1","11670 NORTHWEST 105TH STREET","","MIAMI","FL","33178","RYDER TRUCK RENTAL","7175616022","026000","9","","","","Y","1","","","","","N","","2","01295076","03"
2018133348,"99","2","UNKNOWN","","UNKNOWN","ZZ","99999","UNKNOWN","9999999999","999999","","","","","N","","","","","","U","","1","","08"
2019001177,"03","9","2801 BRDGEVIEW RD","","NEW FREEDOM","PA","173498923","OAKLAND VALLEY FARM LLC","7173546777","080000","","","","","N","","","","","","N","","2","03173567","08"
2019001287,"03","0","419 WEST HIGH ST","","ELIZABETHTOWN","PA","17022","WHITE OAK MILLS INC","7173671525","080000","","","","","N","","","","","","N","","2","00174508","07"
2018008035,"99","9","UNKNOWN","","UNKNOWN","ZZ","99999","UNKNOWN","9999999999","999999","","","","","N","","","","","","U","","2","","08"
2018016908,"02","1","11 W EBY ROAD","PO BOX 254","BIRD IN HAND","PA","17540","LANTZ INSULATION","7172914523","026000","","","","","N","","","","","","N","","1","00000071","03"
2018018346,"99","0","4800 UNION DEPOSIT RD","","HARRISBURG","PA","17111","CATHOLIC DIOCESE OF HARRISBURG","9999999999","011000","","","","","N","","","","","","U","","2","","05"
