"CRN","AGE","AIRBAG_PADS","AIRBAG1","AIRBAG2","AIRBAG3","AIRBAG4","CLOTHING_TYPE","DVR_PED_CONDITION","EJECTION_IND","EJECT_PATH_CD","EXTRIC_IND","INJ_SEVERITY","PED_LOCATION","PED_SIGNAL","PERSON_NUM","PERSON_TYPE","RESTRAINT_HELMET","SEAT_POSITION","SEX","TRANSPORTED","UNIT_NUM","DRUG_RESULT_CD1","DRUG_RESULT_CD2","DRUG_RESULT_CD3","DRUG_RESULT_CD4","DVR_LIC_STATE"
2018006309,22,"08","02","","",""," ","0","1","0","1","0","  "," ",1,"1","03","01","F","N",1,"","","","","PA"
2018013793,47,"08","03","","",""," ","0","0","0","0","0","  "," ",1,"1","03","01","M","N",2,"","","","","PA"
2018110440,61,"09","","","",""," ","0","1","0","1","0","  "," ",1,"1","03","01","F"," ",2,"","","","","PA"
2018029641,3,"00","","","",""," ","0","1","0","1","0","  "," ",3,"2","22","06","M","N",2,"","","","","PA"
2018086902,35,"08","M","","",""," ","0","0","0","0","0","  "," ",1,"1","03","01","F","N",2,"","","","","PA"
2018095624,41,"08","M","","",""," ","0","0","0","0","0","  "," ",1,"1","03","01","M","N",1,"009","","","","PA"
2018033223,48,"09","","","",""," ","0","1","0","1","8","  "," ",1,"1","03","01","M","Y",1,"","","","","PA"
2018073259,34,"00","","","",""," ","0","0","0","1","0","  "," ",3,"2","00","15","F","R",2,"","","","","PA"
2018083609,12,"08","M","","",""," ","0","0","0","0","4","  "," ",2,"2","03","03","M","N",1,"","","","","PA"
2018052732,51,"00","","","",""," ","0","0","0","0","0","  "," ",1,"1","03","01","M","N",2,"000","","","","PA"
2018138945,24,"19","","","",""," ","0","0","0","0","0","  "," ",1,"1","03","01","F","N",2,"","","","","PA"
2018074693,33,"08","M","","",""," ","0","1","0","1","0","  "," ",3,"1","03","01","F","N",3,"009","","","","NY"
2018076647,57,"09","","","",""," ","0","1","0","0","2","  "," ",2,"1","99","01","F","Y",2,"","","","","PA"
2018092137,66,"09","","","",""," ","0","1","0","0","0","  "," ",1,"1","03","01","M","N",1,"","","","","PA"
