"AVOID_MAN_CD","BODY_TYPE","COMM_VEH","CRN","DAMAGE_IND","DVR_PRES_IND","EMERG_VEH_USE_CD","GRADE","IMPACT_POINT","INS_IND","MAKE_CD","MODEL_YR","OWNER_DRIVER","PEOPLE_IN_UNIT","PRIN_IMP_PT","RDWY_ALIGNMENT","SPECIAL_USAGE","TRAVEL_DIRECTION","TRAVEL_SPD","TRL_VEH_CNT","UNDER_RIDE_IND","UNIT_NUM","UNIT_TYPE","VEH_COLOR_CD","VEH_MOVEMENT","VEH_POSITION","VEH_REG_STATE","VEH_ROLE","VEH_TYPE","PARTIAL_VIN","VINA_BODY_TYPE_CD"
"","05","N","2018029113","3","1","","1","11","Y","MAZD","2009","01","4","","1","00","N","040","0","","2","01","07","01","03","PA","2","01","JM1CR293090","P4H"
"","04","N","2018010691","3","1","","1","03","Y","SUBA","2007","01","1","","1","00","S","025","0","","1","01","01","01","13","PA","2","01","JF1GD61687H","P4D"
"","51","N","2018032010","3","1","","1","12","Y","FORD","2007","02","1","","1","00","S","999","0","","1","01","04","01","01","PA","1","04","1FTPX14V67F","T4C"
"","04","N","2018032495","3","1","","1","12","Y","HOND","2008","01","1","","1","00","N","999","0","","2","01","08","01","01","PA","2","01","1HGFA16578L","P4D"
"","51","N","2018031539","3","1","","3","00","Y","FORD","2003","02","2","","1","00","N","035","0","","1","01","07","01","06","PA","0","04","1FTNF21LX3E","TPK"
"","04","N","2018031392","3","1","","1","06","Y","DODG","2000","01","2","","1","00","N","999","0","","2","01","03","02","06","PA","2","01","1B3ES46C7YD","P4D"
"","04","N","2018029018","3","1","","1","12","Y","HOND","2012","02","1","","1","00","E","075","","","1","01","05","01","03","PA","1","01","1HGCP2F34CA","P4D"
"","15","N","2018005317","2","1","","1","06","Y","TOYT","2007","01","1","","1","00","E","999","0","","2","01","08","02","01","PA","2","01","JTMZD33V476","T4W"
"","04","N","2018006526","3","1","","1","02","Y","HOND","2008","02","2","","1","00","E","065","","","1","01","05","15","03","MD","1","01","1HGCP26788A","P4D"
"","03","N","2018001433","3","1","","1","11","Y","ACUR","2006","01","1","","1","00","E","035","","","2","01","02","01","01","GA","1","01","JH4DC53026S","P2H"
"","04","N","2018007457","3","1","","3","12","Y","DODG","2003","02","2","","1","00","E","040","","","2","01","07","01","03","PA","1","01","1B3ES66S83D","P4D"
"","04","N","2018010331","3","1","","1","11","N","HYUN","2006","01","1","","1","00","S","005","0","","1","01","03","01","01","PA","1","01","5NPEU46C16H","P4D"
"","04","N","2018010989","3","1","","1","05","Y","CHEV","2015","02","2","","1","00","N","035","0","","2","01","01","01","01","PA","2","01","1G1P75SZ9F7","P4D"
"","04","N","2018014164","2","1","","3","06","Y","TOYT","2005","01","2","","1","00","S","000","0","","2","01","07","03","01","PA","2","01","JTDBR32E752","P4D"
"","05","N","2018008967","3","1","","4","12","Y","TOYT","2003","01","1","","1","00","E","035","","","1","01","01","02","01","PA","1","01","2T1KR32EX3C","P4H"
"","04","N","2018009701","1","1","","1","04","Y","DODG","2014","01","1","","1","00","E","005","0","","2","01","05","01","01","PA","2","01","1C3CDZAB2EN","P4D"
"","04","N","2018012318","3","1","","1","09","Y","HYUN","2006","01","2","","1","00","N","055","0","","2","01","03","01","01","PA","2","01","5NPEU46F56H","P4D"
"","04","N","2018011692","3","3","","2","01","Y","VOLK","2013","01","1","","1","00","W","040","0","","1","01","07","01","01","PA","1","01","3VWDP7AJ3DM","P4D"
"","15","N","2018009654","3","1","","1","06","Y","FORD","2002","02","1","","1","00","E","000","0","","2","01","02","03","01","PA","2","06","1FMYU04142K","T4W"
"","04","N","2018016782","3","1","","1","12","Y","HOND","2009","02","1","","1","00","W","065","0","","1","01","12","01","03","PA","1","01","2HGFA16549H","P4D"
"","04","N","2018020572","3","1","","1","12","Y","NISS","2012","01","1","","1","00","N","040","0","","1","01","05","01","01","LA","1","01","1N4AL2AP1CN","P4D"
"","04","N","2018020570","3","1","","1","09","Y","VOLV","2007","01","2","","1","00","S","010","0","","1","01","05","12","01","PA","2","01","YV1MS382X72","P4D"
"","15","N","2018018491","3","1","","1","11","Y","JEEP","2003","02","1","","1","00","W","040","0","","2","01","07","01","01","PA","1","06","1J4GL38K73W","T4W"
"","04","N","2018017875","3","1","","1","12","Y","TOYT","2012","01","1","","4","00","S","015","","","1","01","07","16","13","PA","1","01","2T1BU4EEXCC","P4D"
"","12","N","2018019424","3","1","","1","02","Y","CHEV","2002","02","1","","1","00","E","040","0","","1","01","01","01","01","PA","3","07","1GNDU03E92D","PSV"
"","04","N","2018017182","3","1","","3","12","Y","AUDI","2015","01","1","","1","00","W","070","","","1","01","05","01","01","PA","1","01","WAUFFAFL0FN","P4D"
"","51","Y","2018019039","1","1","","1","11","Y","MACK","2000","02","1","","1","00","E","025","0","","2","01","04","01","01","PA","2","05","1M2P270C7YM","TCC"
"","51","Y","2018020537","2","1","","1","03","Y","KNNW","2015","01","1","","1","00","S","035","0","","2","01","03","01","01","MN","2","04","2NKHHM7X9FM","TCC"
"","15","N","2018012326","2","1","","1","10","Y","TOYT","2009","01","1","","1","00","N","025","0","","2","01","04","01","01","PA","2","06","JTMBK31V59D","PUT"
"","04","N","2018014386","2","1","","3","06","Y","CHEV","2010","01","1","","1","00","W","000","0","","2","01","07","03","01","PA","2","01","1G1AD5F5XA7","P4D"
"","04","N","2018012516","3","1","","9","09","Y","HOND","2005","01","1","","1","00","E","035","0","","2","01","07","01","01","PA","2","01","2HGES15595H","P4D"
"","04","N","2018014752","3","1","","1","02","Y","AUDI","2008","01","1","","1","00","S","045","0","","2","01","07","01","01","MD","1","01","WAUDF78E18A","P4D"
"","75","Y","2018015921","1","1","","1","06","Y","FRHT","2002","02","1","","1","21","W","000","1","","2","01","06","03","03","PA","2","05","1FUJAHCG72L","TTR"
"","40","N","2018015335","2","1","","3","11","Y","HOND","2007","02","1","","3","00","W","015","0","","1","01","12","17","01","PA","1","01","5FNRL38677B","TSV"
"","51","Y","2018003214","3","1","","1","00","Y","PTRB","2013","02","2","","1","00","S","999","0","","1","01","02","01","01","PA","0","05","1NPSL59X9DD","TCC"
"","02","N","2018020935","3","1","","1","09","Y","HOND","2001","02","1","","1","00","W","020","0","","1","01","07","01","01","PA","1","01","1HGEM22921L","PCP"
"","75","Y","2018021157","1","1","","1","03","Y","FRHT","2011","02","1","","1","21","W","055","1","","3","01","03","01","01","NJ","2","05","1FUJGLDR0BL","TTR"
"","75","Y","2018020161","3","1","","1","12","Y","FRHT","2013","02","2","","1","21","E","060","1","","1","01","03","01","03","IN","1","05","1FUJGLBG3DL","TTR"
"","04","N","2018028246","1","1","","1","06","Y","FORD","2015","01","1","","1","00","S","000","0","","2","01","05","03","03","PA","2","01","3FA6P0HD4FR","P4D"
"","05","N","2018015633","3","2","","1","04","Y","MAZD","2008","","0","","1","00","","000","0","","2","02","01","06","01","PA","3","01","JM1BK34M381","P4H"
"","15","N","2018022330","1","1","","1","11","Y","","2018","02","2","","1","00","N","020","0","","1","01","05","12","07","PA","1","06","1GYS4KKJ6JR","T4W"
"","15","N","2018020492","1","1","","1","09","Y","HOND","2014","01","1","","1","00","W","010","0","","1","01","12","01","99","PA","1","01","5FNYF4H52EB","T4W"
"","04","N","2018024950","3","1","","1","12","Y","CHEV","2009","02","1","","1","00","S","999","0","","1","01","05","01","01","PA","1","01","1G1AT58H697","P4D"
"","04","N","2018024841","2","1","","1","09","Y","TOYT","2016","01","1","","1","00","N","999","0","","1","01","03","12","06","PA","2","01","5YFBURHE6GP","P4D"
