"CRN","MC_BAG_IND","MC_DVR_BOOTS_IND","MC_DVR_EDC_IND","MC_DVR_EYEPRT_IND","MC_DVR_HLMTDOT_IND","MC_DVR_HLMTON_IND","MC_DVR_HLMT_TYPE","MC_DVR_LNGPNTS_IND","MC_DVR_LNGSLV_IND","MC_ENGINE_SIZE","MC_PASSNGR_IND","MC_PAS_BOOTS_IND","MC_PAS_EYEPRT_IND","MC_PAS_HLMTDOT_IND","MC_PAS_HLMTON_IND","MC_PAS_HLMT_TYPE","MC_PAS_LNGPNTS_IND","MC_PAS_LNGSLV_IND","MC_TRAIL_IND","PC_HDLGHT_IND","PC_HLMT_IND","PC_PASSNGR_IND","PC_REAR_RFLTR_IND","UNIT_NUM"
"2019035021","N","N","N","Y","Y","Y","1","Y","Y","00600","Y","N","Y","Y","Y","1","Y","Y","N","","","","","1"
"2019044234","N","Y","N","Y","N","N","0","Y","N","01450","Y","Y","Y","N","N","0","Y","N","N","","","","","2"
"2019071764","Y","Y","U","Y","N","N","0","Y","N","01300","N","","","","","","","","N","","","","","3"
"2019072071","U","U","U","U","U","U","9","U","U","99999","Y","U","U","U","U","9","U","U","U","","","","","1"
"2019072826","","","","","","","","","","","","","","","","","","","","U","U","N","U","2"
"2019083856","","","","","","","","","","","","","","","","","","","","N","N","N","Y","2"
"2019097733","","","","","","","","","","","","","","","","","","","","U","U","U","U","2"
"2019103924","Y","Y","N","Y","U","Y","1","Y","Y","01400","N","","","","","","","","N","","","","","1"
"2019106735","N","U","U","U","N","N","0","U","U","00900","N","","","","","","","","N","","","","","1"
"2019112575","N","U","Y","Y","Y","Y","2","Y","Y","01200","N","","","","","","","","N","","","","","1"
"2019114522","","","","","","","","","","","","","","","","","","","","Y","Y","N","Y","2"
"2019116934","Y","Y","Y","Y","U","Y","2","Y","Y","01802","Y","Y","Y","U","Y","2","Y","Y","N","","","","","1"
"2019122226","","","","","","","","","","","","","","","","","","","","N","Y","N","Y","1"
"2020000821","","","","","","","","","","","","","","","","","","","","N","Y","N","Y","1"
"2019035360","N","Y","N","Y","Y","Y","1","Y","Y","00499","N","","","","","","","","N","","","","","1"
"2019036833","U","U","U","U","U","U","9","U","U","99999","N","","","","","","","","U","","","","","2"
"2019041310","","","","","","","","","","","","","","","","","","","","N","U","U","N","2"
"2019050371","N","N","N","U","U","Y","1","U","N","99999","N","","","","","","","","N","","","","","2"
"2019052370","U","U","U","U","U","U","9","U","U","99999","N","","","","","","","","U","","","","","1"
"2019067198","Y","Y","Y","Y","Y","Y","3","Y","Y","01450","N","","","","","","","","N","","","","","1"
"2019067259","N","N","Y","Y","Y","Y","1","Y","Y","00600","N","","","","","","","","N","","","","","1"
"2019068410","U","U","U","U","U","U","9","U","N","99999","N","","","","","","","","U","","","","","1"
"2019075656","Y","N","U","U","N","N","0","Y","N","01200","N","","","","","","","","N","","","","","1"
"2019075925","N","U","U","Y","Y","Y","1","U","U","00600","N","","","","","","","","N","","","","","1"
"2019078163","","","","","","","","","","","","","","","","","","","","Y","N","N","Y","2"
"2019079626","Y","Y","Y","Y","","","0","Y","Y","01786","N","","","","","","","","N","","","","","1"
"2019085796","N","N","N","Y","N","N","0","Y","N","01200","N","","","","","","","","N","","","","","1"
"2019091722","","","","","","","","","","","","","","","","","","","","U","U","N","U","1"
"2019095389","U","U","U","U","U","U","9","U","U","99999","N","","","","","","","","U","","","","","1"
"2019095602","N","Y","Y","Y","N","Y","1","Y","Y","01338","N","","","","","","","","N","","","","","2"
"2019099168","","","","","","","","","","","","","","","","","","","","N","N","N","Y","1"
"2019126114","N","Y","U","N","N","N","0","Y","Y","00125","N","","","","","","","","N","","","","","1"
"2019129995","Y","N","U","Y","Y","Y","1","Y","Y","00049","N","","","","","","","","N","","","","","2"
"2019021467","N","Y","Y","Y","Y","Y","1","Y","Y","01586","N","","","","","","","","N","","","","","2"
"2019035696","N","Y","U","Y","U","Y","1","Y","Y","00650","N","","","","","","","","N","","","","","1"
"2019060444","U","U","U","N","N","N","0","Y","N","01200","N","","","","","","","","N","","","","","1"
"2019066800","Y","U","U","N","N","N","0","Y","N","01200","N","","","","","","","","N","","","","","1"
"2019070547","Y","Y","N","Y","Y","Y","1","Y","Y","00500","N","","","","","","","","N","","","","","1"
"2019072917","","","","","","","","","","","","","","","","","","","","N","N","N","N","2"
"2019085698","","","","","","","","","","","","","","","","","","","","N","N","N","N","2"
"2019087070","Y","U","Y","N","","","0","Y","Y","01690","N","","","","","","","","N","","","","","1"
"2019088355","","","","","","","","","","","","","","","","","","","","U","U","N","U","1"
"2019091390","","","","","","","","","","","","","","","","","","","","N","Y","N","Y","2"
"2019094538","Y","Y","U","Y","Y","Y","3","Y","Y","01584","N","","","","","","","","N","","","","","1"
"2019094893","U","U","U","U","U","U","9","U","U","99999","U","","","","","","","","U","","","","","1"
"2019096943","N","N","N","Y","Y","Y","1","N","N","00300","N","","","","","","","","N","","","","","1"
"2019102260","N","N","N","Y","","","0","Y","N","00125","N","","","","","","","","N","","","","","1"
"2019102572","","","","","","","","","","","","","","","","","","","","N","N","N","Y","2"
"2019108133","","","","","","","","","","","","","","","","","","","","Y","Y","N","Y","2"
"2019110030","N","N","U","Y","Y","Y","1","Y","Y","00600","N","","","","","","","","N","","","","","1"
"2019110083","Y","N","N","Y","Y","Y","3","Y","N","01300","N","","","","","","","","N","","","","","1"
"2019114895","N","Y","Y","N","U","Y","2","Y","Y","01449","N","","","","","","","","N","","","","","2"
"2019114897","","","","","","","","","","","","","","","","","","","","Y","U","N","Y","1"
"2019040525","U","U","U","Y","U","U","9","U","U","99999","N","","","","","","","","U","","","","","2"
"2019041475","Y","Y","Y","Y","U","Y","3","Y","Y","01746","N","","","","","","","","N","","","","","2"
"2019054184","Y","Y","N","Y","U","Y","1","Y","Y","01500","N","","","","","","","","N","","","","","1"
"2019054661","N","N","U","N","N","N","0","Y","Y","01300","N","","","","","","","","N","","","","","2"
"2019056922","N","U","U","Y","N","N","0","U","U","99999","N","","","","","","","","N","","","","","2"
"2019057458","Y","Y","Y","Y","Y","Y","1","Y","Y","00600","N","","","","","","","","N","","","","","1"
"2019070769","N","N","Y","Y","N","N","0","N","N","01762","N","","","","","","","","N","","","","","1"
"2019071895","U","U","N","U","Y","U","9","U","U","01584","N","","","","","","","","N","","","","","1"
