"AVOID_MAN_CD","BODY_TYPE","COMM_VEH","CRN","DAMAGE_IND","DVR_PRES_IND","EMERG_VEH_USE_CD","GRADE","IMPACT_POINT","INS_IND","MAKE_CD","MODEL_YR","OWNER_DRIVER","PEOPLE_IN_UNIT","PRIN_IMP_PT","RDWY_ALIGNMENT","SPECIAL_USAGE","TRAVEL_DIRECTION","TRAVEL_SPD","TRL_VEH_CNT","UNDER_RIDE_IND","UNIT_NUM","UNIT_TYPE","VEH_COLOR_CD","VEH_MOVEMENT","VEH_POSITION","VEH_REG_STATE","VEH_ROLE","VEH_TYPE","PARTIAL_VIN","VINA_BODY_TYPE_CD"
"0","02","N","2019023253","3","1","0","5","12","Y","CHEV","2010","01","1","12","1","00","S","999","0","4","1","01","07","01","01","PA","1","01","2G1FB1EV8A9","PCP"
"","04","N","2019022186","3","1","","2","12","Y","FORD","2008","02","1","","3","00","N","999","0","","1","01","01","17","01","PA","1","01","1FAHP34N18W","P4D"
"","04","N","2019023353","3","1","","5","12","Y","MAZD","2012","01","1","","4","00","S","030","0","","1","01","01","16","01","PA","1","01","JM1BL1V89C1","P4D"
"","41","N","2019024549","3","1","","1","12","Y","CHRY","2004","02","1","","1","00","S","015","0","","1","01","03","01","01","PA","1","07","2C8GP64L64R","TES"
"","75","Y","2019024598","3","1","","1","12","Y","FRHT","2016","02","1","","3","00","W","050","1","","1","01","03","17","03","NJ","1","05","1FUJGLD50GL","TTR"
"","09","N","2019023635","2","1","","2","09","Y","MAZD","2018","01","1","","1","01","S","030","0","","2","01","03","02","06","PA","2","01","3MZBN1L37JM","P"
"","41","N","2019022491","2","1","","2","12","Y","FORD","2008","98","1","","1","00","S","999","0","","1","01","03","01","01","PA","1","07","1FTNS24L18D","TEC"
"","15","N","2019024819","2","1","","1","06","Y","GMC","2011","02","1","","2","00","S","999","0","","2","01","02","02","01","PA","2","06","2CTFLVE56B6","T4W"
"","04","N","2019024931","3","1","","1","12","Y","FORD","2012","02","1","","4","00","S","025","0","","1","01","07","16","01","PA","1","01","1FAHP3E25CL","P4D"
"","15","N","2019006777","3","1","","1","12","Y","DODG","2015","01","2","","1","00","N","025","0","","1","01","05","01","03","PA","1","06","1C4SDJCT4FC","T4W"
"","51","N","2019007980","3","1","","3","12","Y","CHEV","2008","02","1","","1","00","N","020","0","","1","01","07","01","01","PA","1","04","1GCHK29K08E","T4C"
"","04","N","2019008003","3","1","","1","12","Y","MAZD","2004","01","1","","1","00","N","040","0","","1","01","07","01","01","PA","1","01","1YVFP80C845","P4D"
"","04","N","2019005249","2","1","","1","06","Y","ACUR","2009","01","2","","1","00","E","000","0","","2","01","01","03","01","PA","2","01","JH4CU26639C","P4D"
"","05","N","2019006198","3","1","","1","01","Y","TOYT","2014","01","1","","1","00","W","999","0","","2","01","01","12","98","PA","2","01","JTDKDTB36E1","P4H"
"","04","N","2019008188","3","1","","1","02","Y","HOND","2000","01","1","","1","00","W","025","0","","2","01","08","01","01","PA","2","01","1HGCG1659YA","P4D"
"","15","N","2019007273","3","1","","1","11","Y","HOND","2016","01","1","","1","00","S","035","0","","2","01","01","01","01","PA","2","06","2HKRM4H46GH","T4W"
"","03","N","2019006413","1","1","","1","01","Y","MNNI","2003","01","1","","1","00","N","010","0","","1","01","06","12","03","PA","1","01","WMWRC33403T","P2H"
"","04","N","2019007331","2","1","","2","11","Y","HOND","2013","02","1","","1","00","S","999","0","","1","01","07","01","01","PA","1","01","19XFB2F52DE","P4D"
"","04","N","2019008362","3","1","","1","01","Y","KIA","2014","01","2","","1","00","W","040","","","1","01","05","01","01","PA","1","01","KNAFK4A60E5","P4D"
"","15","N","2019006588","3","2","","3","06","Y","FORD","2007","","1","","1","00","N","000","0","","2","02","02","06","01","PA","2","01","1FMDK06117G","T4W"
"","06","N","2019008604","3","1","","3","12","Y","SUBA","2015","01","1","","1","00","E","005","0","","1","01","04","12","01","PA","1","01","JF1GPAC65FH","PSW"
"","40","N","2019020670","3","1","","1","08","Y","HOND","2014","01","1","","1","00","E","030","","","2","01","03","01","01","PA","2","07","5FNRL5H61EB","TSV"
"","51","N","2019021742","3","1","","1","02","Y","FORD","1994","01","1","","1","00","N","020","0","","2","01","01","01","05","PA","2","04","1FTDR15X3RT","TPC"
