"CRN","RDWY_SEQ_NUM","ADJ_RDWY_SEQ","ROUTE","SEGMENT","OFFSET","RDWY_ORIENT","LANE_COUNT","SPEED_LIMIT","STREET_NAME","ROAD_OWNER","ACCESS_CTRL","RDWY_COUNTY"
"2019008616","3","3","2009","0010","1070","S","02","35","NOBLE RD","2","3","36"
"2019007873","4","4","0897","0094","3331","B","02","40","WHITE HORSE RD","2","3","36"
"2019008984","3","3","0340","0260","0","W","02","45","OLD PHILADELPHIA PK","2","3","36"
"2019097538","4","3","","","","S","02","35","STONE MILL RD","4","","36"
"2019029914","3","3","1019","0030","2145","S","2","40","SHIRKTOWN RD","2","3","36"
"2019037551","4","3","0230","0190","286","E","02","45","HARRISBURG PK","2","3","36"
"2019097212","3","3","0741","0050","808","S","2","45","MCGOVERNVILLE RD","2","3","36"
"2019070541","3","3","0023","0200","1619","E","2","35","MARIETTA AV","2","3","36"
"2019004015","3","3","0272","0720","0","N","02","35","READING RD","2","2","36"
"2019004383","3","3","0743","0030","1706","S","02","35","RIVER ST","2","3","36"
"2019013073","3","3","0441","0200","2108","N","2","55","RIVER RD","2","3","36"
"2019005455","6","5","8024","0252","0","W","01","20","RAMP D RD","2","1","36"
"2019072412","4","4","","","","E","02","40","MOUNT PLEASANT RD","4","","36"
"2019007891","3","3","0772","0770","148","N","02","40","NEWPORT RD","2","3","36"
"2019094769","4","5","","","","E","02","40","ORE MINE RD","4","","36"
"2019099665","3","3","3036","0060","58","E","2","40","FRANKLIN RD","2","3","36"
"2019015402","3","3","0222","0070","1109","N","2","40","ROBERT FULTON HW","2","3","36"
"2019002877","3","3","","","","S","02","35","WINDY MANSION RD","4","","36"
"2019067197","3","3","0501","0020","1149","N","3","40","LITITZ PK","2","3","36"
"2019094916","5","4","","","","E","04","55","US-30 HW","4","","36"
"2019097215","3","3","0340","0010","486","E","2","40","OLD PHILADELPHIA PK","2","3","36"
"2019096943","3","3","","","","N","99","20","LITTLE BEAVER RD","4","","36"
"2019005252","3","3","0300","0180","1419","E","02","65","283RD FIELD ARTILLERY HW","2","1","36"
"2019068687","4","4","0462","0260","1394","E","2","25","KING ST","2","3","36"
"2019001296","3","3","0030","0311","874","W","03","50","LINCOLN HW","2","1","36"
"2019004474","3","4","","","","E","02","40","RANCK RD","4","","36"
"2019001473","3","3","0322","0390","295","E","02","45","28TH DIVISION HW","2","3","36"
"2019095394","3","3","","","","W","02","25","E ORANGE ST","4","","36"
"2019099481","3","3","3030","0080","1291","W","2","40","RIVER RD","2","3","36"
"2019099452","3","3","0272","0491","811","S","2","40","OREGON PK","2","3","36"
"2019008580","4","4","1011","0040","0","S","02","45","NEW HOLLAND RD","2","3","36"
"2019012338","3","3","1051","0140","1116","S","2","35","CHURCH ST","2","3","36"
"2019002491","3","3","1031","0030","325","N","02","35","CREEK RD","2","3","36"
"2019098213","3","3","3028","0080","1444","S","2","35","LAMPETER RD","2","3","36"
"2019003299","3","4","","","","N","02","30","HIGHLANDS DR","4","","36"
"2019005856","3","4","","","","N","02","","BUCKHILL BP","7","","36"
