"ARRIVAL_TM","AUTOMOBILE_COUNT","BELTED_DEATH_COUNT","BELTED_SUSP_SERIOUS_INJ_COUNT","BICYCLE_COUNT","BICYCLE_DEATH_COUNT","BICYCLE_SUSP_SERIOUS_INJ_COUNT","BUS_COUNT","CHLDPAS_DEATH_COUNT","CHLDPAS_SUSP_SERIOUS_INJ_COUNT","COLLISION_TYPE","COMM_VEH_COUNT","CONS_ZONE_SPD_LIM","COUNTY","CRASH_MONTH","CRASH_YEAR","CRN","DAY_OF_WEEK","DEC_LAT","DEC_LONG","DISPATCH_TM","DISTRICT","DRIVER_COUNT_16YR","DRIVER_COUNT_17YR","DRIVER_COUNT_18YR","DRIVER_COUNT_19YR","DRIVER_COUNT_20YR","DRIVER_COUNT_50_64YR","DRIVER_COUNT_65_74YR","DRIVER_COUNT_75PLUS","EST_HRS_CLOSED","FATAL_COUNT","HEAVY_TRUCK_COUNT","HORSE_BUGGY_COUNT","HOUR_OF_DAY","ILLUMINATION","INJURY_COUNT","INTERSECT_TYPE","LANE_CLOSED","LATITUDE","LN_CLOSE_DIR","LOCATION_TYPE","LONGITUDE","MAX_SEVERITY_LEVEL","MCYCLE_DEATH_COUNT","MCYCLE_SUSP_SERIOUS_INJ_COUNT","MOTORCYCLE_COUNT","MUNICIPALITY","NONMOTR_COUNT","NONMOTR_DEATH_COUNT","NONMOTR_SUSP_SERIOUS_INJ_COUNT","NTFY_HIWY_MAINT","PED_COUNT","PED_DEATH_COUNT","PED_SUSP_SERIOUS_INJ_COUNT","PERSON_COUNT","POLICE_AGCY","POSSIBLE_INJ_COUNT","RDWY_SURF_TYPE_CD","RELATION_TO_ROAD","ROAD_CONDITION","SCH_BUS_IND","SCH_ZONE_IND","SMALL_TRUCK_COUNT","SPEC_JURIS_CD","SUSP_MINOR_INJ_COUNT","SUSP_SERIOUS_INJ_COUNT","SUV_COUNT","TCD_FUNC_CD","TCD_TYPE","TFC_DETOUR_IND","TIME_OF_DAY","TOT_INJ_COUNT","TOTAL_UNITS","UNB_DEATH_COUNT","UNB_SUSP_SERIOUS_INJ_COUNT","UNBELTED_OCC_COUNT","UNK_INJ_DEG_COUNT","UNK_INJ_PER_COUNT","URBAN_RURAL","VAN_COUNT","VEHICLE_COUNT","WORK_ZONE_IND","WORK_ZONE_LOC","WORK_ZONE_TYPE","WORKERS_PRES","WZ_CLOSE_DETOUR","WZ_FLAGGER","WZ_LAW_OFFCR_IND","WZ_LN_CLOSURE","WZ_MOVING","WZ_OTHER","WZ_SHLDER_MDN","ROADWAY_CLEARED","WEATHER1","WEATHER2","WZ_WORKERS_INJ_KILLED","SECONDARY_CRASH","INTERSECTION_RELATED"
"0627","1","0","0","0","0","0","0","0","0","7","0","","36","01","2019","2019000255","3","40.068","-76.2915","0623","08","0","0","0","0","0","0","0","0","","0","0","0","06","3","0","06","0","40 04:05.063","","02","76 17:32.018","0","0","0","0","36101","0","0","0","N","0","0","0","1","36101","0","","3","09","N","N","0","","0","0","0","0","0","","0620","0","1","0","0","0","0","0","3","0","1","N","","","","","","","","","","","","07","  ","","",""
"1802","0","0","0","0","0","0","0","0","0","8","0","","36","01","2019","2019001044","4","40.18","-76.3854","1749","08","0","1","0","0","0","0","0","0","","0","0","0","17","1","1","02","0","40 10:48.115","","00","76 23:07.554","8","0","0","0","36227","1","0","0","N","1","0","0","2","36506","0","","1","01","N","N","0","","0","0","1","0","0","","1749","1","2","0","0","0","1","0","1","0","1","N","","","","","","","","","","","","03","  ","","",""
"1258","2","0","0","0","0","0","0","0","0","4","0","","36","01","2019","2019001104","4","40.1777","-76.142","1254","08","0","0","0","0","0","1","0","0","1","0","0","0","12","1","2","01","1","40 10:39.874","1","00","76 08:31.236","8","0","0","0","36218","0","0","0","N","0","0","0","2","36408","0","","1","01","N","N","0","","0","0","0","3","3","N","1254","2","2","0","0","0","2","0","1","0","2","N","","","","","","","","","","","","03","  ","","",""
"0922","0","0","0","0","0","0","0","0","0","4","0","","36","01","2019","2019001105","5","40.2168","-76.1194","0918","08","0","0","0","0","0","1","0","0","2","0","0","0","09","1","0","01","1","40 13:00.428","2","00","76 07:09.824","0","0","0","0","36210","0","0","0","N","0","0","0","2","36210","0","","1","01","N","N","1","","0","0","1","3","3","Y","0916","0","2","0","0","0","0","0","1","0","2","N","","","","","","","","","","","","03","  ","","",""
"1555","2","0","0","0","0","0","0","0","0","4","0","","36","01","2019","2019001210","4","40.1849","-76.1867","1553","08","0","0","1","0","0","0","0","0","2","0","0","0","15","1","0","00","1","40 11:05.641","3","00","76 11:12.245","0","0","0","0","36204","0","0","0","N","0","0","0","2","36506","0","","1","01","N","N","0","","0","0","0","3","3","Y","1553","0","2","0","0","0","0","0","1","0","2","N","","","","","","","","","","","","03","  ","","",""
"0805","0","0","0","0","0","0","0","0","0","4","0","","36","01","2019","2019001212","4","40.1498","-76.3992","0758","08","0","0","0","0","0","0","0","0","2","0","0","0","07","1","0","00","2","40 08:59.100","6","07","76 23:57.100","0","0","0","0","36227","0","0","0","N","0","0","0","2","36506","0","","1","01","N","N","1","","0","0","1","0","0","Y","0758","0","2","0","0","0","0","0","1","0","2","N","","","","","","","","","","","","03","  ","","",""
"0841","2","0","0","0","0","0","0","0","0","4","0","","36","01","2019","2019001240","4","40.1768","-76.1825","0838","08","0","0","0","0","1","0","1","0","","0","0","0","08","1","1","01","0","40 10:36.429","","00","76 10:56.820","3","0","0","0","36408","0","0","0","N","0","0","0","2","36408","0","","1","01","N","N","0","","1","0","0","3","3","","0834","1","2","0","0","0","0","0","2","0","2","N","","","","","","","","","","","","03","  ","","",""
"0551","2","0","0","0","0","0","0","0","0","4","0","","36","01","2019","2019001275","5","40.0786","-76.2952","0547","08","0","0","0","0","0","0","0","0","","0","0","0","05","3","0","00","0","40 04:43.237","","07","76 17:42.579","0","0","0","0","36101","0","0","0","N","0","0","0","3","36101","0","","1","01","N","N","0","","0","0","0","0","0","","0545","0","2","0","0","0","0","0","3","0","2","N","","","","","","","","","","","","03","  ","","",""
"0425","1","0","0","0","0","0","0","0","0","1","0","","36","01","2019","2019001296","3","40.049","-76.2533","0422","08","0","0","0","0","0","1","0","0","2","0","0","0","04","2","1","00","1","40 02:56.523","4","00","76 15:11.813","3","0","0","0","36215","0","0","0","N","0","0","0","4","36215","0","","1","09","N","N","0","","1","0","1","0","0","N","0420","1","2","0","0","0","0","0","1","0","2","N","","","","","","","","","","","","03","  ","","",""
"2359","1","0","0","0","0","0","0","0","0","1","0","","36","01","2019","2019001431","5","40.0391","-76.4322","2351","08","0","0","0","0","0","0","0","0","1","0","0","0","23","3","0","00","1","40 02:20.924","3","00","76 25:55.953","9","0","0","0","36239","0","0","0","N","0","0","0","1","36239","0","","6","01","N","N","0","","0","0","1","0","0","N","2351","0","2","0","0","0","0","1","3","0","2","N","","","","","","","","","","","","03","  ","","",""
"2354","1","0","1","0","0","0","0","0","0","2","0","","36","01","2019","2019001447","5","40.0383","-76.4605","2348","08","0","0","0","0","0","1","0","0","4","1","0","0","23","2","1","00","2","40 02:17.714","4","00","76 27:37.864","1","0","0","0","36239","0","0","0","N","0","0","0","2","36239","0","2","1","01","N","N","0","0","0","1","1","0","0","Y","2348","1","2","1","0","1","0","0","3","0","2","N","","","","","","","","","","","","03","  ","","",""
"1613","1","0","0","0","0","0","0","0","0","4","0","","36","01","2019","2019001467","4","40.038","-76.3493","1609","08","0","0","0","0","0","1","1","0","1","0","0","0","16","1","0","00","1","40 02:16.795","3","00","76 20:57.648","0","0","0","0","36214","0","0","0","N","0","0","0","2","36214","0","","1","01","N","N","0","","0","0","1","0","0","N","1605","0","2","0","0","0","0","0","3","0","2","N","","","","","","","","","","","","03","  ","","",""
"1759","2","0","0","0","0","0","0","0","0","4","0","","36","01","2019","2019001468","4","40.1128","-76.3965","1755","08","0","0","0","0","0","0","0","0","2","0","0","0","17","2","4","01","2","40 06:45.982","6","00","76 23:47.576","3","0","0","0","36214","0","0","0","N","0","0","0","4","36214","2","","1","01","N","N","0","","2","0","0","3","3","Y","1750","4","2","0","0","0","0","0","3","0","2","N","","","","","","","","","","","","03","  ","","",""
"1428","0","0","0","0","0","0","0","0","0","4","0","","36","01","2019","2019001473","4","40.1354","-76.0932","1428","08","0","0","0","0","0","0","1","0","1","0","0","0","14","1","1","00","1","40 08:07.200","3","07","76 05:35.234","3","0","0","0","36209","0","0","0","N","0","0","0","2","36415","0","","1","01","N","N","0","","1","0","1","0","0","N","1428","1","2","0","0","0","0","0","1","1","2","N","","","","","","","","","","","","03","  ","","",""
"1645","1","0","0","0","0","0","0","0","0","4","0","","36","01","2019","2019001474","5","40.0916","-76.1295","1640","08","0","0","0","0","0","1","0","0","1","0","0","0","16","1","1","02","2","40 05:29.605","6","00","76 07:46.311","8","0","0","0","36209","0","0","0","N","0","0","0","2","36415","0","","1","01","N","N","0","","0","0","1","3","3","Y","1640","1","2","0","0","0","1","0","1","0","2","N","","","","","","","","","","","","03","  ","","",""
"0848","0","0","0","0","0","0","0","0","0","7","0","","36","01","2019","2019001688","6","39.9446","-76.2175","0842","08","0","0","0","0","0","0","1","0","2","0","0","0","08","1","1","00","2","39 56:40.415","5","00","76 13:02.828","3","0","0","0","36233","0","0","0","Y","0","0","0","1","68J01","0","","4","01","N","N","0","","1","0","1","0","0","Y","0840","1","1","0","0","0","0","0","1","0","1","N","","","","","","","","","","","","03","  ","","",""
"1403","2","0","0","0","0","0","0","0","0","4","0","","36","01","2019","2019001724","6","40.1171","-76.0321","1357","08","0","0","0","0","0","0","1","0","","0","0","0","13","1","0","00","0","40 07:01.421","","07","76 01:55.488","0","0","0","0","36213","0","0","0","N","0","0","0","2","36213","0","","1","01","N","N","0","","0","0","0","0","0","","1350","0","2","0","0","0","0","0","1","0","2","N","","","","","","","","","","","","03","  ","","",""
"1745","1","0","0","0","0","0","0","0","0","1","0","","36","01","2019","2019001738","5","40.0679","-76.2967","1743","08","0","0","0","0","0","0","0","0","","0","0","0","17","3","0","00","0","40 04:04.490","","00","76 17:48.444","0","0","0","0","36101","0","0","0","N","0","0","0","2","36101","0","","1","01","N","N","0","","0","0","1","0","0","","1740","0","2","0","0","0","0","0","3","0","2","N","","","","","","","","","","","","03","  ","","",""
"2030","1","0","0","0","0","0","0","0","0","7","0","","36","01","2019","2019001739","5","40.0446","-76.3273","2030","08","0","1","0","0","0","0","0","0","","0","0","0","20","2","0","02","0","40 02:40.579","","00","76 19:38.450","0","0","0","0","36220","0","0","0","N","0","0","0","2","36101","0","","4","01","N","N","0","","0","0","0","0","0","","2030","0","1","0","0","0","0","0","3","0","1","N","","","","","","","","","","","","03","  ","","",""
"2114","1","0","0","0","0","0","0","0","0","1","0","","36","01","2019","2019001740","5","40.0014","-76.3311","2113","08","0","0","0","0","0","0","0","0","1","0","0","0","20","2","0","00","1","40 00:05.192","6","00","76 19:52.147","0","0","0","0","36220","0","0","0","N","0","0","0","4","36101","0","","1","01","N","N","1","","0","0","0","0","0","N","2048","0","2","0","0","0","0","0","3","0","2","N","","","","","","","","","","","","03","  ","","",""
