"CRN","AGE","AIRBAG_PADS","AIRBAG1","AIRBAG2","AIRBAG3","AIRBAG4","CLOTHING_TYPE","DVR_PED_CONDITION","EJECTION_IND","EJECT_PATH_CD","EXTRIC_IND","INJ_SEVERITY","PED_LOCATION","PED_SIGNAL","PERSON_NUM","PERSON_TYPE","RESTRAINT_HELMET","SEAT_POSITION","SEX","TRANSPORTED","UNIT_NUM","DRUG_RESULT_CD1","DRUG_RESULT_CD2","DRUG_RESULT_CD3","DRUG_RESULT_CD4","DVR_LIC_STATE"
2019029904,1,"09","","","",""," ","1","1","0","1","0","  "," ",3,"2","21","04","M","Y",1,"","","","","PA"
2019056968,58,"09","","","",""," ","0","0","0","0","0","  "," ",3,"1","03","01","F","N",3,"000","","","","PA"
2019073189,84,"00","","","",""," ","0","0","0","0","0","  "," ",2,"1","03","01","F","N",2,"000","","","","PA"
2019105798,26,"08","M","","",""," ","0","0","0","0","0","  "," ",1,"1","03","01","F","N",1,"000","","","","PA"
2019096896,11,"08","02","","",""," ","0","1","0","1","3","  "," ",2,"2","01","03","F","Y",1,"","","","","PA"
2019014276,16,"09","","","",""," ","0","1","0","1","0","  "," ",3,"2","03","04","M","N",2,"","","","","PA"
2019062320,46,"08","M","","",""," ","0","1","0","1","0","  "," ",2,"1","03","01","M","N",2,"000","","","","DE"
2019117564,19,"00","","","",""," ","0","0","0","0","0","  "," ",4,"2","00","15","M","N",1,"","","","","PA"
2019117564,75,"08","M","","",""," ","0","0","0","0","4","  "," ",12,"1","03","01","M","N",2,"000","","","","PA"
2019098861,25,"08","02","","",""," ","0","1","0","1","8","  "," ",1,"1","03","01","M","R",2,"","","","","PA"
2019084609,29,"08","02","","",""," ","0","1","0","1","4","  "," ",1,"1","03","01","M","N",1,"","","","","PA"
2019007213,21,"08","02","","",""," ","0","1","0","1","0","  "," ",1,"1","03","01","M","Y",1,"","","","","PA"
2019029216,24,"09","","","",""," ","0","0","0","0","0","  "," ",1,"1","03","01","M","N",1,"","","","","PA"
2019114897,70,"00","","","",""," ","0","0","0","0","0","  "," ",2,"1","03","01","M","N",2,"","","","","PA"
2019085449,24,"00","","","",""," ","0","1","0","1","0","  "," ",1,"1","03","01","M","N",1,"","","","","PA"
2019123581,62,"09","","","",""," ","0","1","0","1","0","  "," ",5,"1","03","01","M","N",2,"","","","","PA"
2019063251,37,"08","03","","",""," ","0","0","0","0","4","  "," ",1,"1","03","01","M","R",2,"","","","","PA"
