"CRN","UNIT_NUM","TRL_SEQ_NUM","TRL_VEH_REG_STATE","TRL_VEH_TYPE_CD","TRL_VEH_TAG_NUM","TRL_VEH_TAG_YR"
"2019004353","2","0","ON","7","R9581X","2019"
"2019008615","3","0","PA","3","PT4653J","2019"
"2019012928","1","0","NC","3","CE64697","2019"
"2019018750","2","0","ME","7","4119912","2018"
"2019024598","2","0","MA","7","SM94232","2021"
"2019024610","1","0","ME","7","B877792","2021"
"2019024819","1","0","ZZ","3","99999999","9999"
"2019029278","1","0","TN","6","U820199","2019"
"2019034255","1","0","PA","3","XHE0528","2019"
"2019044286","2","0","MD","7","078667X","1988"
"2019045921","2","0","","8","",""
"2019047225","1","0","PA","7","PT9467S","2020"
"2019064731","2","0","PA","3","XLN8460","2023"
"2019066354","1","0","TN","7","T862671","2019"
"2019071688","2","0","PA","8","XJS7680","2008"
"2019076572","2","0","PA","3","XLX4140","2019"
"2019081660","3","0","ZZ","7","999999999999","9999"
"2019082822","1","0","FL","7","2096CN","2019"
"2019092696","2","0","PA","7","XFL8238","2020"
"2019093002","2","0","PA","8","XKV8623","2020"
"2019094100","2","0","PA","3","XLB6464","2019"
"2019100136","2","0","PA","7","311H4","2019"
"2019112972","2","0","PA","7","AG74207","2020"
"2019113725","2","0","PA","6","XV66171","2020"
"2019118474","2","0","PA","3","999999999999","2019"
"2019126926","1","0","PA","3","XDS1399",""
"2019131588","1","0","IN","7","P722172","2020"
"2019006135","2","0","PA","3","XS28486","2001"
"2019006417","2","0","IL","7","259716ST","2019"
"2019015564","3","0","ME","6","B812859","2018"
"2019020955","2","0","PA","2","AG73640","2019"
"2019029919","1","0","PA","6","PT7971Y","2099"
"2019039496","1","0","PA","8","XDW6804","2019"
"2019042210","2","0","TN","7","U943207","2020"
"2019043065","1","0","WI","7","670229ST",""
"2019043768","2","0","PA","7","PT287D0","2099"
"2019056479","1","0","PA","6","PT127B7","2018"
"2019058896","2","0","PA","6","PT779E7","2019"
"2019067203","2","0","PA","3","XHN0719","2024"
"2019073185","3","0","PA","7","PT9710W","2007"
"2019078121","1","0","ME","7","232739C","2019"
"2019081410","1","0","PA","3","MG9399E","2019"
"2019083553","1","0","PA","7","PT08769","2009"
"2019083835","2","0","PA","5","XHA3805","2020"
"2019087606","2","0","PA","7","PT491B1","2019"
"2019097216","1","0","PA","7","PT738C4","2099"
