"CRN","AXLE_CNT","CARGO_BD_TYPE","CARRIER_ADDR_1","CARRIER_ADDR_2","CARRIER_ADDR_CITY","CARRIER_ADDR_STATE","CARRIER_ADDR_ZIP","CARRIER_NM","CARRIER_TEL","GVWR","HAZMAT_CD1","HAZMAT_CD2","HAZMAT_CD3","HAZMAT_CD4","HAZMAT_IND","HAZMAT_REL_IND1","HAZMAT_REL_IND2","HAZMAT_REL_IND3","HAZMAT_REL_IND4","ICC_NUM","OSIZE_LOAD_IND","PUC_NUM","UNIT_NUM","USDOT_NUM","VEH_CONFIG_CD"
2020008653,"03","7","100 DEASCENTI DR","","COLUMBIA","PA","17512","RIVERVIEW DISPOSAL","7176843147","058000","","","","","N","","","","","","N","","1","00869412","04"
2020019502,"02","8","1509 PINKERTON RD","","MOUNT JOY","PA","17552","PETER D SAUDER","7176157052","","","","","","N","","","","","","N","","1","02556919","10"
2020021207,"05","1","6500 W INDUSTRIAL HWY","","GARY","IN","46406","SWIFT TRANSPORTATION CO OF AZ","6022699700","080000","","","","","N","","","","","","N","","2","00054283","06"
2020024138,"02","8","8 BEAVER VALLEY PIKE","","WILLOW STREET","PA","17584","SHULTZ TRANSPORTATION COMPANY","7174645800","","","","","","N","","","","","","N","SB932904","3","","10"
2020025772,"02","8","164 E. SUNHILL RD.","","MANHEIM","PA","17545","JOSEPH C. GRAYBILL INC","7176642796","012000","","","","","N","","","","","","N","","2","00020000","12"
2020026061,"05","1","1088 COUNTY ROAD 18","","HOLGATE","OH","43527","ZACHRICH TRANSPORTATION INC","4197625701","080000","","","","","N","","","","","","N","","2","00561586","08"
2020027868,"03","1","728 N BROAD STREET","","YORK","PA","17403","S AND H EXPRESS","7178485015","080000","","","","","N","","","","","","N","A0011802","2","00318756","06"
2020027892,"03","1","3018 VISTA DR","","NASHVILLE","TN","37218","GSB TRUCKING LLC","6157880722","080000","","","","","N","","","","","","N","","2","03009328","08"
2020027961,"05","1","349 E CLOVERLY RD","","MARION","MD","21838","HIRSCHBACH MOTOR LINES","8885252855","046000","","","","","N","","","","","","N","","1","00065769","08"
2020032750,"99","9","202 OAKLANE PO BOX 276","","NEW HOLLAND","PA","17557","FIRTH DAY FARM INC","9999999999","019500","","","","","N","","","","","","U","","1","","99"
2020037094,"02","1","400 MULBERRY STREET","STE 2","YORK","PA","17403","SHELLY TRUCK DRIVING SCHOOL","8447435591","999999","","","","","N","","","","","","N","","2","","08"
2020037429,"03","1","410 CANTERBURY RD","","KINGS MOUNTAIN","NC","28086","WEST TRANSPORT","7048600496","080000","","","","","N","","","","","","N","","2","02504716","08"
2020045248,"06","9","PO BOX 1080","","MURRAY","KY","42071","PASCHALL TRUCK LINES INC","4065233934","038000","","","","","N","","","","","","U","","1","00105234","08"
2020045603,"02","4","2011 STATE RD","","DUNCANNON","PA","17020","SCOTT D MARSTELLAR CO","7174365800","999999","","","","","N","","","","","","N","","3","01006172","08"
2020054837,"03","0","7081 CREEKING CRISSING DRIVE","","HARRISBURG","PA","17111","HR TRUCKING","7177362124","001900","","","","","N","","","","","","N","A-8916184","1","01859053","04"
2020055024,"05","1","2675 MORGANTOWN RD","","READING","PA","19607","PENSKE TRUCK LEASING CO","6107756000","999999","","","","","N","","","","","","N","","2","00327574","08"
2020055036,"99","2","101 W HARRISBURG AVE","","RHEEMS","PA","17570","WFM TRANSPORT","7245488106","080000","","","","","N","","","","","","N","A-00115850","2","00822830","08"
2020060141,"02","1","2675 MORGANTOWN RD","","READING","PA","19607","PENSKE TRUCK LEASING CO","7173941175","026000","","","","","N","","","","","","N","","1","00327574","03"
2020063132,"99","7","809 N GARFIELD RD","","BERNVILLE","PA","19506","AFFORDABLE HAULING & DUMPSTER","8665073867","025999","","","","","N","","","","","","N","","1","02538666","03"
2020068382,"04","0","650 WESTTOWN RD","","WEST CHESTER","PA","19382","DUIE PYLE INC","1800523502","062000","","","","","N","","","","","","N","A-00707226","2","00113594","08"
