"AVOID_MAN_CD","BODY_TYPE","COMM_VEH","CRN","DAMAGE_IND","DVR_PRES_IND","EMERG_VEH_USE_CD","GRADE","IMPACT_POINT","INS_IND","MAKE_CD","MODEL_YR","OWNER_DRIVER","PEOPLE_IN_UNIT","PRIN_IMP_PT","RDWY_ALIGNMENT","SPECIAL_USAGE","TRAVEL_DIRECTION","TRAVEL_SPD","TRL_VEH_CNT","UNDER_RIDE_IND","UNIT_NUM","UNIT_TYPE","VEH_COLOR_CD","VEH_MOVEMENT","VEH_POSITION","VEH_REG_STATE","VEH_ROLE","VEH_TYPE","PARTIAL_VIN","VINA_BODY_TYPE_CD"
"","15","N","2020024003","3","1","","1","11","Y","NISS","2015","01","2","","1","00","S","030","","","1","01","02","01","07","PA","1","06","5N1AT2MV1FC","T4W"
"","15","N","2020023698","3","1","","1","06","Y","TOYT","2000","01","1","","1","00","E","000","","","2","01","03","03","01","PA","3","06","JT3HP10V8Y7","T4W"
"","15","N","2020022521","3","1","","1","01","Y","TOYT","2006","01","1","","1","00","W","005","0","","3","01","01","01","09","PA","2","06","JTEBU14R068","T4W"
"","04","N","2020017722","2","1","","2","06","Y","NISS","2015","02","1","","4","00","N","000","0","","3","01","03","03","13","PA","2","01","3N1AB7AP9FL","P4D"
"","04","N","2020023007","3","1","","2","02","Y","TOYT","2003","02","3","","1","00","W","010","0","","1","01","12","12","01","PA","2","01","2T1BR32E33C","P4D"
"","04","N","2020023006","3","1","","1","06","Y","ACUR","2011","01","2","","1","00","N","999","","","2","01","03","01","01","PA","3","01","JH4CU2F60BC","P4D"
"","15","N","2020023019","3","2","","1","07","Y","FORD","2005","","0","","1","00","","000","","","2","02","02","06","11","PA","2","06","1FMZU73E25U","T4W"
"","04","N","2020017722","3","1","","2","06","Y","ACUR","2006","01","1","","4","00","N","000","0","","2","01","04","03","13","PA","3","01","19UUA66296A","P4D"
"","15","N","2020017156","3","1","","1","02","Y","TOYT","2016","02","1","","1","00","S","999","0","","1","01","03","12","04","PA","2","06","JTMRFREV1GJ","T4W"
"","75","Y","2020009831","3","1","","2","02","Y","WHGM","1995","02","1","","3","21","S","999","1","","1","01","01","17","01","PA","1","05","4V1JDBGF3SR","TTR"
"","51","N","2020018946","3","1","","3","03","Y","TOYT","2006","01","1","","1","00","E","045","","","2","01","03","01","01","PA","2","04","5TBDT44116S","TCW"
"","04","N","2020012025","1","1","","1","12","Y","CHEV","2013","01","2","","1","00","N","999","0","","1","01","02","01","02","PA","1","01","1G1JC5SH8D4","P4D"
"","04","N","2020017721","3","1","","1","01","Y","NISS","2011","01","1","","1","00","E","045","","","1","01","07","01","03","PA","1","01","3N1AB6AP4BL","P4D"
"","04","N","2020018993","3","1","","3","12","Y","TOYT","2001","02","1","","1","00","N","025","","","1","01","08","01","01","PA","1","01","2T1BR12E01C","P4D"
"","04","N","2020018836","1","3","","2","12","Y","FORD","2014","02","1","","1","00","E","010","0","","1","01","07","01","03","PA","1","01","1FADP3F21EL","P4D"
"","04","N","2020018608","3","1","","3","12","Y","HYUN","2006","01","1","","1","00","E","999","0","","1","01","01","01","01","PA","1","01","KMHCN46C96U","P4D"
"","75","Y","2020018434","3","1","","1","11","Y","VOLV","2007","02","1","","3","00","S","035","","","1","01","03","17","01","PA","1","05","4V4NC9GH37N","TTR"
"","19","N","2020016764","9","3","","1","12","U","","","99","1","","1","99","E","999","0","","1","05","07","01","01","","1","06","",""
"","04","N","2020018432","3","1","","1","06","Y","HOND","2009","01","1","","1","00","W","000","0","","2","01","12","03","01","PA","2","01","2HGFA16569H","P4D"
"","69","Y","2020024400","0","1","","1","11","Y","CHEV","2003","02","4","","1","99","W","999","0","","1","01","06","12","03","PA","1","03","1GBJG31U431","TYY"
"","04","N","2020017179","3","1","","1","12","Y","FORD","2009","01","1","","1","00","W","030","0","","1","01","12","01","01","PA","1","01","3FAHP07Z79R","P4D"
"","05","N","2020016475","3","1","","1","02","Y","HOND","2008","01","1","","1","00","N","999","0","","2","01","01","01","01","PA","1","01","JHMGD37668S","P4H"
"","51","N","2020023850","3","1","","2","12","Y","CHEV","2006","01","1","","3","00","N","050","0","","1","01","08","17","12","PA","1","04","2GCEC13T361","TCW"
"","51","N","2020017173","2","1","","1","07","Y","GMC","2011","02","1","","1","00","E","005","","","1","01","03","01","01","PA","2","04","1GT01ZCG6BF","TPK"
"","04","N","2020016872","3","1","","2","06","Y","DODG","2007","01","2","","1","00","S","999","0","","2","01","02","02","01","PA","3","01","2B3KA43R27H","P4D"
"","51","N","2020007470","1","1","","2","07","Y","GMC","2013","01","1","","4","00","N","999","0","","2","01","05","15","06","PA","2","05","1GT125E82DF","TCW"
"","04","N","2020025460","3","1","","1","11","Y","MAZD","2005","01","1","","1","00","E","020","","","1","01","01","01","01","PA","1","01","1YVHP80C955","P4D"
"","04","N","2020016083","1","1","","2","12","Y","ACUR","2010","01","1","","1","00","W","015","","","1","01","05","01","06","PA","1","01","19UUA8F5XAA","P4D"
"","51","Y","2020028760","1","1","","3","12","Y","PTRB","2006","02","1","","1","00","S","040","","","2","01","05","01","01","MD","1","05","1NPALU0X96N","TCC"
"","04","N","2020028120","3","1","","2","12","Y","HOND","2011","01","1","","1","00","N","030","0","","1","01","12","01","01","PA","1","01","2HGFA1F51BH","P4D"
