"CRN","MC_BAG_IND","MC_DVR_BOOTS_IND","MC_DVR_EDC_IND","MC_DVR_EYEPRT_IND","MC_DVR_HLMTDOT_IND","MC_DVR_HLMTON_IND","MC_DVR_HLMT_TYPE","MC_DVR_LNGPNTS_IND","MC_DVR_LNGSLV_IND","MC_ENGINE_SIZE","MC_PASSNGR_IND","MC_PAS_BOOTS_IND","MC_PAS_EYEPRT_IND","MC_PAS_HLMTDOT_IND","MC_PAS_HLMTON_IND","MC_PAS_HLMT_TYPE","MC_PAS_LNGPNTS_IND","MC_PAS_LNGSLV_IND","MC_TRAIL_IND","PC_HDLGHT_IND","PC_HLMT_IND","PC_PASSNGR_IND","PC_REAR_RFLTR_IND","UNIT_NUM"
"2020004506","","","","","","","","","","","","","","","","","","","","U","U","N","U","1"
"2020021591","","","","","","","","","","","","","","","","","","","","N","N","N","Y","2"
"2020023011","Y","Y","U","Y","N","N","0","Y","Y","01584","N","","","","","","","","N","","","","","2"
"2020036111","","","","","","","","","","","","","","","","","","","","N","N","N","N","1"
"2020036278","N","N","N","Y","Y","Y","1","N","N","00600","N","","","","","","","","N","","","","","1"
"2020043152","U","Y","U","Y","Y","Y","3","Y","N","01568","N","","","","","","","","N","","","","","2"
"2020043653","","","","","","","","","","","","","","","","","","","","N","N","N","Y","1"
"2020044569","U","U","U","U","U","U","9","U","U","00000","N","","","","","","","","N","","","","","1"
"2020045643","N","U","U","Y","U","Y","1","Y","U","00945","N","","","","","","","","N","","","","","2"
"2020050489","N","N","N","Y","Y","Y","1","Y","N","01100","N","","","","","","","","N","","","","","1"
"2020051522","Y","Y","U","Y","N","N","0","Y","U","01450","N","","","","","","","","N","","","","","1"
"2020055135","","","","","","","","","","","","","","","","","","","","N","N","N","Y","1"
"2020056136","N","Y","Y","Y","Y","Y","1","Y","Y","00600","Y","N","Y","Y","Y","1","N","N","N","","","","","1"
"2020057486","","","","","","","","","","","","","","","","","","","","N","Y","N","Y","2"
"2020060641","N","Y","Y","N","N","N","0","Y","Y","01202","N","","","","","","","","N","","","","","1"
"2020066903","","","","","","","","","","","","","","","","","","","","Y","N","N","Y","2"
"2020068995","Y","N","N","Y","Y","Y","1","N","Y","01800","N","","","","","","","","N","","","","","1"
"2020070054","N","N","U","Y","U","Y","1","Y","U","00300","N","","","","","","","","N","","","","","1"
"2020082106","N","N","Y","Y","Y","Y","1","Y","N","00600","N","","","","","","","","N","","","","","2"
"2020084818","Y","Y","Y","Y","Y","Y","1","Y","Y","01330","N","","","","","","","","N","","","","","2"
"2020088939","N","Y","Y","Y","Y","Y","1","Y","Y","00550","N","","","","","","","","N","","","","","2"
"2020090281","N","Y","U","Y","Y","Y","1","Y","Y","00600","N","","","","","","","","N","","","","","1"
"2020090619","","","","","","","","","","","","","","","","","","","","N","N","N","Y","2"
"2020090897","U","N","U","Y","","","0","Y","N","01450","N","","","","","","","","N","","","","","2"
"2020094310","","","","","","","","","","","","","","","","","","","","U","U","N","U","1"
"2020019447","U","U","U","U","U","U","9","U","U","99999","N","","","","","","","","U","","","","","1"
"2020031268","U","U","U","N","U","Y","1","Y","Y","00600","N","","","","","","","","N","","","","","1"
"2020032534","N","N","N","N","Y","Y","1","Y","Y","00350","N","","","","","","","","N","","","","","1"
"2020037088","N","U","Y","Y","Y","Y","1","U","U","01833","N","","","","","","","","N","","","","","2"
"2020037986","N","Y","U","U","U","Y","1","Y","N","01000","N","","","","","","","","N","","","","","1"
"2020038239","Y","U","U","Y","U","U","1","U","U","01449","Y","U","Y","U","U","1","U","U","N","","","","","2"
