"ARRIVAL_TM","AUTOMOBILE_COUNT","BELTED_DEATH_COUNT","BELTED_SUSP_SERIOUS_INJ_COUNT","BICYCLE_COUNT","BICYCLE_DEATH_COUNT","BICYCLE_SUSP_SERIOUS_INJ_COUNT","BUS_COUNT","CHLDPAS_DEATH_COUNT","CHLDPAS_SUSP_SERIOUS_INJ_COUNT","COLLISION_TYPE","COMM_VEH_COUNT","CONS_ZONE_SPD_LIM","COUNTY","CRASH_MONTH","CRASH_YEAR","CRN","DAY_OF_WEEK","DEC_LAT","DEC_LONG","DISPATCH_TM","DISTRICT","DRIVER_COUNT_16YR","DRIVER_COUNT_17YR","DRIVER_COUNT_18YR","DRIVER_COUNT_19YR","DRIVER_COUNT_20YR","DRIVER_COUNT_50_64YR","DRIVER_COUNT_65_74YR","DRIVER_COUNT_75PLUS","EST_HRS_CLOSED","FATAL_COUNT","HEAVY_TRUCK_COUNT","HORSE_BUGGY_COUNT","HOUR_OF_DAY","ILLUMINATION","INJURY_COUNT","INTERSECT_TYPE","LANE_CLOSED","LATITUDE","LN_CLOSE_DIR","LOCATION_TYPE","LONGITUDE","MAX_SEVERITY_LEVEL","MCYCLE_DEATH_COUNT","MCYCLE_SUSP_SERIOUS_INJ_COUNT","MOTORCYCLE_COUNT","MUNICIPALITY","NONMOTR_COUNT","NONMOTR_DEATH_COUNT","NONMOTR_SUSP_SERIOUS_INJ_COUNT","NTFY_HIWY_MAINT","PED_COUNT","PED_DEATH_COUNT","PED_SUSP_SERIOUS_INJ_COUNT","PERSON_COUNT","POLICE_AGCY","POSSIBLE_INJ_COUNT","RDWY_SURF_TYPE_CD","RELATION_TO_ROAD","ROAD_CONDITION","SCH_BUS_IND","SCH_ZONE_IND","SMALL_TRUCK_COUNT","SPEC_JURIS_CD","SUSP_MINOR_INJ_COUNT","SUSP_SERIOUS_INJ_COUNT","SUV_COUNT","TCD_FUNC_CD","TCD_TYPE","TFC_DETOUR_IND","TIME_OF_DAY","TOT_INJ_COUNT","TOTAL_UNITS","UNB_DEATH_COUNT","UNB_SUSP_SERIOUS_INJ_COUNT","UNBELTED_OCC_COUNT","UNK_INJ_DEG_COUNT","UNK_INJ_PER_COUNT","URBAN_RURAL","VAN_COUNT","VEHICLE_COUNT","WORK_ZONE_IND","WORK_ZONE_LOC","WORK_ZONE_TYPE","WORKERS_PRES","WZ_CLOSE_DETOUR","WZ_FLAGGER","WZ_LAW_OFFCR_IND","WZ_LN_CLOSURE","WZ_MOVING","WZ_OTHER","WZ_SHLDER_MDN","ROADWAY_CLEARED","WEATHER1","WEATHER2","WZ_WORKERS_INJ_KILLED","SECONDARY_CRASH","INTERSECTION_RELATED"
"0904","2","0","0","0","0","0","0","0","0","4","0","","36","01","2020","2020000383","5","40.0393","-76.3081","0904","08","0","0","0","0","0","0","0","0","","0","0","0","09","1","0","01","0","40 02:21.538","","00","76 18:29.063","0","0","0","0","36301","0","0","0","N","0","0","0","2","36301","0","","1","01","N","N","0","","0","0","0","3","2","","0904","0","2","0","0","0","0","0","3","0","2","N","","","","","","","","","","","","03","03","","",""
"1415","1","0","0","0","0","0","0","0","0","8","0","","36","01","2020","2020000786","6","40.0395","-76.306","1414","08","0","0","0","0","0","0","0","0","","0","0","0","14","1","1","01","2","40 02:22.325","4","00","76 18:21.503","3","0","0","0","36301","1","0","0","N","1","0","0","2","36301","0","","1","09","N","N","0","","1","0","0","3","2","Y","1414","1","2","0","0","0","0","0","3","0","1","N","","","","","","","","","","","1535","04","  ","","",""
"2311","0","0","0","0","0","0","0","0","0","98","0","","36","01","2020","2020000822","5","40.0128","-76.3231","2306","08","0","0","0","0","0","0","0","0","","0","0","0","22","2","0","00","0","40 00:45.960","","00","76 19:23.230","0","0","0","0","36220","0","0","0","N","0","0","0","1","36101","0","","1","01","N","N","0","","0","0","0","0","0","","2250","0","1","0","0","0","0","0","3","1","1","N","","","","","","","","","","","","03","  ","","",""
"0017","2","0","0","0","0","0","0","0","0","4","0","","36","01","2020","2020000823","6","40.0606","-76.2768","0017","08","0","0","0","0","0","0","0","0","","0","0","0","00","3","0","01","1","40 03:38.398","4","02","76 16:37.304","0","0","0","0","36101","0","0","0","N","0","0","0","3","36101","0","","1","01","N","N","0","","0","0","0","3","2","N","0015","0","2","0","0","0","0","0","3","0","2","N","","","","","","","","","","","0100","03","03","","",""
"1807","2","0","0","0","0","0","0","0","0","4","0","","36","01","2020","2020000853","6","39.9751","-76.2473","1803","08","1","0","0","0","0","1","0","0","","0","0","0","18","3","0","01","0","39 58:30.378","","00","76 14:50.447","0","0","0","0","36240","0","0","0","N","0","0","0","2","36240","0","","1","08","N","N","0","","0","0","0","3","2","","1803","0","2","0","0","0","0","0","1","0","2","N","","","","","","","","","","","","07","05","","",""
"1550","0","0","0","0","0","0","0","0","0","7","0","","36","01","2020","2020000970","5","40.092","-76.5349","1542","08","0","0","0","0","0","0","0","0","","0","0","0","15","1","0","00","0","40 05:31.097","","00","76 32:05.614","0","0","0","0","36211","0","0","0","N","0","0","0","1","36504","0","","4","01","N","N","1","","0","0","0","0","0","","1542","0","1","0","0","0","0","0","1","0","1","N","","","","","","","","","","","","03","  ","","",""
"1125","1","0","0","0","0","0","0","0","0","7","0","","36","01","2020","2020000996","6","40.0486","-76.4805","1122","08","0","0","0","0","1","0","0","0","","0","0","0","11","1","0","00","0","40 02:55.085","","00","76 28:49.715","0","0","0","0","36239","0","0","0","N","0","0","0","1","36239","0","","2","09","N","N","0","","0","0","0","0","0","","1122","0","1","0","0","0","0","0","3","0","1","N","","","","","","","","","","","","04","04","","",""
"1315","1","0","0","0","0","0","0","0","0","4","0","","36","01","2020","2020000999","6","40.0313","-76.315","1309","08","0","0","0","0","0","0","0","0","","0","0","0","13","1","0","01","0","40 01:52.847","","00","76 18:53.947","0","0","0","0","36301","0","0","0","N","0","0","0","2","36301","0","","1","09","N","N","0","","0","0","1","3","3","N","1309","0","2","0","0","0","0","0","3","0","2","N","","","","","","","","","","","","07","  ","","",""
"1342","0","0","0","0","0","0","0","0","0","7","0","","36","01","2020","2020001035","6","40.2758","-76.0995","1339","08","0","1","0","0","0","0","0","0","","0","0","0","13","1","1","00","0","40 16:32.860","","00","76 05:58.329","4","0","0","0","36236","0","0","0","N","0","0","0","1","36408","1","","5","09","N","N","0","","0","0","1","0","0","","1302","1","1","0","0","0","0","0","1","0","1","N","","","","","","","","","","","","07","  ","","",""
"0945","2","0","0","0","0","0","0","0","0","1","0","","36","01","2020","2020001133","7","40.0493","-76.3035","0942","08","0","0","0","0","0","0","0","0","","0","0","0","09","1","0","00","0","40 02:57.544","","00","76 18:12.448","0","0","0","0","36301","0","0","0","N","0","0","0","1","36301","0","","4","09","N","N","0","","0","0","1","0","0","","0942","0","3","0","0","0","0","0","3","0","3","N","","","","","","","","","","","","03","  ","","",""
