"CRN","RDWY_SEQ_NUM","ADJ_RDWY_SEQ","ROUTE","SEGMENT","OFFSET","RDWY_ORIENT","LANE_COUNT","SPEED_LIMIT","STREET_NAME","ROAD_OWNER","ACCESS_CTRL","RDWY_COUNTY"
"2020053593","3","3","1002","0053","0","W","2","25","ORANGE ST","2","3","36"
"2020006156","3","3","4040","0020","1274","E","2","35","HIGH ST","2","3","36"
"2020021149","3","3","","","","W","02","35","STUMP RD","4","","36"
"2020029010","3","3","0501","0130","295","S","2","35","BROAD ST","2","3","36"
"2020012384","3","3","0222","1000","2421","N","2","65","","2","1","36"
"2020002623","3","3","2015","0040","458","N","2","30","PUMPING STATION RD","2","3","36"
"2020020278","7","6","","","","E","02","35","E MCGOVERN AV","4","","36"
"2020029038","3","3","0896","0252","503","S","2","25","HISTORIC DR","2","3","36"
"2020013523","5","5","","","","E","02","35","IRONVILLE PK","4","","36"
"2020031254","4","4","","","","N","02","35","ROYER RD","4","","36"
"2020020084","3","3","0322","0290","440","W","2","35","MAIN ST","2","3","36"
"2020028987","3","3","0896","0260","736","N","2","25","HARTMAN BRIDGE RD","2","3","36"
"2020057149","3","3","0340","0070","2221","W","2","40","OLD PHILADELPHIA PK","2","3","36"
"2020008587","3","3","0222","0951","1182","S","2","65","","2","1","36"
"2020020278","4","5","6222","0010","527","E","2","25","MCGOVERN AV","2","3","36"
"2020028760","5","5","","","","E","02","45","PEACH BOTTOM RD","4","","36"
"2020012542","4","4","1003","0150","2239","W","2","45","BUSHONG RD","2","3","36"
"2020009041","4","4","","","","E","02","","EMBASSY DR","4","","36"
"2020019607","5","4","","","","N","01","25","UNNAMED AL","4","","36"
"2020028687","3","3","","","","E","02","35","STONE MILL RD","4","","36"
"2020029592","4","3","","","","N","02","25","MILL ST","4","","36"
"2020014254","4","3","","","","S","02","25","PLUM ST","4","","36"
"2020011999","3","3","1003","0070","1370","N","2","35","HELLERS CHURCH RD","2","3","36"
"2020021078","3","3","0322","0330","1093","E","2","45","28TH DIVISION HW","2","3","36"
"2020028082","4","4","","","","E","02","35","MORNINGSIDE DR","4","","36"
"2020028492","3","3","","","","S","02","25","CHARLES RD","4","","36"
"2020013452","3","3","2029","0020","2497","E","2","40","BUNKER HILL RD","2","3","36"
"2020007112","5","5","","","","E","02","35","BUSHONG RD","4","","36"
"2020020731","3","3","0222","0460","0","N","2","45","BEAVER VALLEY PK","2","3","36"
"2020028734","3","3","0772","0820","350","E","2","45","NEWPORT RD","2","3","36"
"2020034139","3","3","0462","0080","847","W","3","35","LANCASTER AV","2","3","36"
"2020020702","7","7","","","","U","99","","(TBK 1031)DISSTON VIEW DR","4","","36"
"2020033818","3","3","0741","0470","1130","W","2","50","STRASBURG RD","2","3","36"
"2020012842","3","3","3012","0020","0","E","2","40","DRYTOWN RD","2","3","36"
"2020001231","5","4","","","","W","03","35","STONY BATTERY RD","4","","36"
"2020030528","4","5","","","","S","02","25","WOODHALL DR","4","","36"
"2020034134","5","4","","","","N","03","25","ABBEYVILLE RD","4","","36"
"2020030473","3","3","0372","0270","2941","E","2","55","VALLEY RD","2","3","36"
"2020049128","3","3","0072","0150","2289","N","3","35","MANHEIM PK","2","3","36"
"2020005852","3","3","0030","0191","82","W","3","55","LINCOLN HW","2","1","36"
"2020030610","5","5","","","","N","02","35","HARTMAN STATION RD","4","","36"
"2020030912","3","3","0072","0270","1806","S","2","40","LANCASTER RD","2","3","36"
"2020002946","4","4","","","","W","02","35","OTSU RD","4","","36"
"2020004959","4","4","0222","0683","848","S","3","25","DUKE ST","2","3","36"
"2020000996","3","3","","","","S","02","40","IRONVILLE PK","4","","36"
"2020012842","4","4","","","","N","02","20","HILLDALE RD","4","","36"
"2020009223","3","3","0222","0640","535","N","2","25","LIME ST","2","3","36"
"2020055289","6","6","0741","0284","1265","E","2","40","LONG LN","2","3","36"
"2020004510","4","5","","","","N","02","30","HERSHEY AV","4","","36"
"2020021796","4","4","","","","W","02","25","FAIRVIEW RD","4","","36"
"2020028976","3","3","0222","0500","1341","B","2","45","BEAVER VALLEY PK","2","3","36"
"2020013443","3","4","0772","0870","960","W","2","45","NEWPORT RD","2","3","36"
"2020056859","4","4","0741","0130","1984","N","2","35","MILLERSVILLE RD","2","3","36"
"2020019991","4","4","","","","W","02","35","METZLER RD","4","","36"
"2020033280","4","3","","","","N","02","25","WABANK RD","4","","36"
"2020071370","4","4","","","","W","02","20","CHARLESTOWN RD","4","","36"
"2020014340","4","3","","","","W","02","25","CHESTNUT ST","4","","36"
"2020035460","3","3","0072","0240","0","N","2","55","LANCASTER RD","2","3","36"
"2020075240","3","3","4011","0130","0","S","2","40","FRUITVILLE PK","2","3","36"
"2020024036","3","3","","","","S","02","35","WITMER RD","4","","36"
"2020011871","3","4","","","","N","01","25","PINE ST","4","","36"
"2020070253","3","3","0230","0120","744","E","4","40","MARKET ST","2","3","36"
"2020021967","3","3","","","","E","02","40","PRECAST RD","4","","36"
"2020017176","3","3","0030","0390","1497","E","3","40","LINCOLN HW","2","3","36"
"2020026208","3","3","","","","S","02","40","RANCK RD","4","","36"
"2020035375","3","4","","","","W","02","25","AMBASSADOR CR","4","","36"
"2020035300","3","3","","","","N","02","35","JACOBS RD","4","","36"
"2020030760","4","4","","","","N","02","25","EARLAND DR","4","","36"
"2020017672","3","3","0023","0580","0","E","2","40","MAIN ST","2","3","36"
"2020018969","3","3","0340","0330","0","E","2","40","OLD PHILADELPHIA PK","2","3","36"
"2020016478","3","3","","","","S","02","25","S PENN ST","4","","36"
"2020070802","4","4","1017","0020","0","B","2","35","CHURCHTOWN RD","2","3","36"
"2020018212","3","3","0222","0570","1266","N","2","35","QUEEN ST","2","3","36"
"2020016473","3","3","0222","0741","667","S","2","65","SR 0222 SH","2","1","36"
"2020055289","3","3","0222","0500","1341","B","2","45","BEAVER VALLEY PK","2","3","36"
"2020009321","3","3","0222","0640","500","N","2","25","LIME ST","2","3","36"
"2020018429","4","4","","","","N","02","35","STONY BATTERY RD","4","","36"
"2020015001","3","3","0272","0510","336","S","2","40","OREGON PK","2","3","36"
"2020002428","4","4","0999","0200","3253","N","3","25","MANOR ST","2","3","36"
"2020070575","4","4","0222","0651","0","S","2","25","PRINCE ST","2","3","36"
"2020018432","4","4","0030","0361","143","W","3","40","LINCOLN HW","2","3","36"
"2020015423","4","3","","","","E","02","25","CHESTNUT ST","4","","36"
"2020070825","4","4","","","","E","02","35","GEHMAN SCHOOL RD","4","","36"
"2020070802","6","6","","","","N","02","35","S CHURCHTOWN RD","4","","36"
"2020015803","3","3","0897","0230","1723","S","2","40","SPRING VALLEY RD","2","3","36"
"2020023700","3","3","0462","0150","1602","E","3","45","MAIN ST","2","3","36"
"2020018842","4","4","","","","N","02","25","ROBIN RD","4","","36"
"2020018608","3","3","","","","S","02","35","HILL RD","4","","36"
"2020018946","4","3","","","","N","02","20","CLEARVIEW DR","4","","36"
"2020068130","3","3","","","","N","02","40","STEVENS RD","4","","36"
"2020071371","3","3","","","","S","02","25","HIGHLANDS DR","4","","36"
"2020018969","5","5","","","","S","02","40","MEETINGHOUSE RD","4","","36"
"2020022681","3","3","","","","N","01","35","SAND HILL RD","4","","36"
"2020018895","3","3","0030","0540","0","W","3","45","LINCOLN HW","2","3","36"
"2020017156","4","5","","","","S","02","25","PEACH BOTTOM RD","4","","36"
"2020018840","3","3","0272","0580","889","N","2","45","OREGON PK","2","3","36"
"2020070811","3","3","0030","0470","360","E","3","35","LINCOLN HW","2","3","36"
"2020015285","3","3","0030","0241","32","W","3","55","LINCOLN HW","2","1","36"
"2020072003","3","3","0772","0180","948","E","2","55","MOUNT JOY RD","2","3","36"
"2020004968","3","3","0741","0090","0","N","5","45","ROHRERSTOWN RD","2","3","36"
"2020002946","3","3","0222","0440","412","N","2","45","BEAVER VALLEY PK","2","3","36"
"2020017317","3","3","","","","S","02","35","DOGWOOD DR","4","","36"
"2020022521","3","3","4025","0030","1","B","2","40","CLOVER LEAF RD","2","3","36"
"2020011215","4","3","","","","S","02","35","PENRYN RD","4","","36"
"2020004130","4","3","","","","W","02","25","NISSLEY RD","4","","36"
"2020007522","3","3","8024","0012","25","E","1","20","RAMP A RD","2","1","36"
"2020022521","4","5","","","","W","02","35","SCHWANGER RD","4","","36"
"2020022475","3","3","0272","0451","0","S","2","35","WILLOW STREET PK","2","3","36"
"2020010809","3","3","0300","0271","1925","W","2","65","","2","1","36"
"2020023010","5","5","8044","0250","0","E","1","35","RAMP G RD","2","1","36"
"2020067954","4","4","","","","E","02","25","CLAY ST","4","","36"
