"CRN","UNIT_NUM","TRL_SEQ_NUM","TRL_VEH_REG_STATE","TRL_VEH_TYPE_CD","TRL_VEH_TAG_NUM","TRL_VEH_TAG_YR"
"2020090977","1","0","PA","7","XN40078","2020"
"2020097015","2","0","","8","",""
"2020099052","1","0","PA","3","XMF3756","2000"
"2020104736","1","0","NY","7","848581R","2020"
"2020105432","3","0","PA","3","XMG1499","2021"
"2020107779","2","0","PA","7","PT611B5","9999"
"2020112707","1","0","","7","",""
"2020012838","1","0","PA","7","PT146A4","2016"
"2020013592","2","0","","3","",""
"2020017179","2","0","PA","7","PT6475Y","2020"
"2020021651","2","0","PA","7","PT1069Y","2015"
"2020025087","1","0","PA","7","XXXX","2020"
"2020027860","2","0","PA","7","XLS3949","2020"
"2020028201","1","0","PA","6","PT7975Y","2020"
"2020033887","1","0","ME","6","251543A","2025"
"2020036273","2","0","PA","6","PT18755","2020"
"2020039507","1","0","","9","",""
"2020044748","1","0","PA","3","XMG1049","2025"
"2020045325","2","0","PA","3","XKM3083","2022"
"2020057826","1","0","PA","6","PT217E8","2020"
"2020058562","2","0","WA","7","01394AB","2021"
"2020060261","1","0","PA","3","XLK5785","2023"
"2020064780","2","0","NJ","5","THT70J","2021"
"2020064781","1","0","PA","7","PT8192R","2011"
"2020079415","1","0","PA","3","XLA6311",""
"2020082759","2","0","PA","7","PT1422R","2020"
"2020085453","1","0","PA","3","PT563D3","2020"
"2020089019","2","0","PA","6","PT601J9","2023"
"2020098034","2","0","WV","7","BA5362243","2021"
"2020099364","2","0","PA","3","XMP4682","2020"
"2020099500","1","0","PA","3","J95444J","2020"
"2020101263","3","0","PA","3","XW41777","2022"
"2020105038","2","0","PA","3","PT561B5","2099"
"2020106992","1","0","ME","7","231591H","2021"
"2020110071","2","0","ME","7","2295309","2021"
"2020110800","2","0","","6","",""
"2020003989","1","0","MO","7","241059Z","2024"
"2020009147","2","0","PA","7","PT109C8","2099"
"2021006261","1","0","OK","7","1930LN","2020"
"2020014192","1","0","KY","7","56827T","2015"
"2020021189","2","0","IN","7","SP326TJR","2021"
"2020030213","1","0","OH","6","K136153","2020"
"2020033751","1","0","IL","7","T513154","2021"
"2020035462","1","0","TN","7","U852755","2020"
"2020041074","1","0","TN","7","U800092","2023"
"2020049129","1","0","PA","7","PT147F0","2099"
"2020049130","1","0","","7","",""
"2020065143","2","0","PA","7","PY7960Y","2020"
"2020067689","1","0","PA","3","XKF0026","2021"
"2020067924","1","0","","1","",""
"2020069273","2","0","PA","8","PT8659P","2011"
"2020074136","2","0","PA","6","XLP1008","2020"
"2020074472","1","0","PA","7","PT143C5","2099"
"2020077938","2","0","PA","5","PT7700L","2099"
"2020079072","1","0","PA","3","XHR3730","2021"
"2020088448","2","0","NJ","7","TLU82W","2006"
"2020101092","2","0","NC","7","AJ96203","2020"
"2020107416","2","0","PA","7","PT339G5",""
"2020006067","1","0","PA","3","PT5462W","2029"
"2020006136","1","0","PA","7","PT694H1","2099"
"2020025767","1","0","IL","7","T498686","2020"
"2020028757","2","0","PA","3","XMF6909","2020"
"2020034005","1","0","TX","6","0902666","2020"
"2020041662","2","0","WI","7","714881","2022"
"2020052703","2","0","NC","7","U599519","2020"
"2020056089","1","0","MI","3","D124964","2020"
"2020064166","1","0","OH","7","TRJ4692","2022"
"2020069883","2","0","ME","7","2597932",""
"2020075426","2","0","PA","3","XLP2833","2025"
"2020082347","1","0","IN","7","P498035","2099"
"2020085691","2","0","IN","6","SP254QLC","2015"
"2020087565","1","0","ME","6","23TLR94853","2023"
"2020090085","1","0","PA","3","XMD2806","2021"
"2020093687","2","0","PA","7","XJX9166","2021"
"2020113290","1","0","PA","7","PT15767","2020"
"2020113469","2","0","PA","7","UNK","2021"
"2020007463","1","0","PA","7","PT822E8","2020"
"2020007501","2","0","ME","7","2838965",""
"2020043588","3","0","ZZ","7","",""
"2020049163","2","0","","3","",""
"2020051490","1","0","PA","3","XLB1615","2022"
"2020056578","1","0","ME","7","2428920","2021"
"2020062131","2","0","","7","",""
"2020062235","2","0","","7","",""
"2020073604","2","0","PA","7","PT239F6","2020"
"2020082758","1","0","PA","7","PT2124R","2020"
"2020082914","2","0","PA","3","XGV7089","2023"
"2020084420","2","0","PA","7","XCS-5150",""
"2020101969","2","0","IN","6","P720828","2020"
"2020105431","2","0","PA","7","PT154F2","2020"
"2020009038","2","0","IL","6","971U479","2020"
"2020023697","2","0","PA","7","PT7276L","2020"
"2020032968","2","0","ON","6","R4274L","2019"
"2020038058","2","0","","7","",""
"2020042993","1","0","MI","6","D835260","2020"
"2020047727","2","0","","8","",""
"2020049554","1","0","TN","7","U593610","9999"
"2020053664","2","0","","3","",""
"2020055743","1","0","PA","3","XDN6084","2021"
"2020056578","2","0","TN","7","U716154","2021"
"2020061012","1","0","TN","7","7993755",""
"2020064983","1","0","PA","3","XLG7807","2023"
"2020065902","2","0","IA","7","VC7202","2021"
"2020067070","1","0","PA","3","MG1696L","2021"
"2020073186","1","0","PA","7","PT057E1","2005"
"2020084540","3","0","","1","",""
"2020086150","3","0","ME","7","2185950","2021"
"2020089977","1","0","PA","7","PT584H7","2099"
"2020092872","1","0","ZZ","5","UNK","2020"
"2020093950","2","0","PA","7","XKK0697","2021"
"2020096629","1","0","PA","3","XMB7722","2021"
"2020103163","2","0","PA","3","XJM9848","2020"
"2020107666","1","0","PA","7","PT5891M","2020"
"2020112708","2","0","PA","7","PT-598C5","2017"
"2020022648","1","0","PA","7","PT696D5","2020"
"2020025108","2","0","PA","7","PT473F1","2020"
"2020030236","2","0","PA","3","XDM7006","2020"
"2020033299","2","0","PA","7","PT050E5","2020"
"2020034467","1","0","PA","7","PT484E8","2020"
"2020039548","2","0","ME","7","3227441","2020"
"2020040594","1","0","NY","7","BT54034","2020"
"2020046616","2","0","PA","3","XKZ9877","2003"
"2020049504","1","0","PA","8","XJM2527","2020"
"2020049616","2","0","","7","",""
"2020055026","1","0","PA","7","PT350B6","2021"
"2020056526","1","0","PA","7","PT6741V",""
"2020057693","2","0","PA","3","XDR0342","2020"
"2020073625","2","0","ME","7","31TLR29594","2020"
"2020074164","1","0","PA","7","PT3377F","2099"
"2020076667","2","0","PA","3","XKP6670","2021"
"2020078562","1","0","PA","6","XMF-6952","2025"
"2020082755","2","0","PA","7","PT366J9","2099"
"2020083385","2","0","PA","3","PT024E8","2020"
"2020085172","2","0","PA","7","PT5170N","2099"
"2020086224","1","0","PA","6","PT564B0","2018"
"2020090903","1","0","PA","3","XCA3837","2021"
"2020093497","1","0","OK","7","9238LN","2021"
"2020097204","1","0","ZZ","6","",""
"2020101487","1","0","VA","7","733140TL","2020"
"2020103617","2","0","PA","8","",""
