"AVOID_MAN_CD","BODY_TYPE","COMM_VEH","CRN","DAMAGE_IND","DVR_PRES_IND","EMERG_VEH_USE_CD","GRADE","IMPACT_POINT","INS_IND","MAKE_CD","MODEL_YR","OWNER_DRIVER","PEOPLE_IN_UNIT","PRIN_IMP_PT","RDWY_ALIGNMENT","SPECIAL_USAGE","TRAVEL_DIRECTION","TRAVEL_SPD","TRL_VEH_CNT","UNDER_RIDE_IND","UNIT_NUM","UNIT_TYPE","VEH_COLOR_CD","VEH_MOVEMENT","VEH_POSITION","VEH_REG_STATE","VEH_ROLE","VEH_TYPE","PARTIAL_VIN","VINA_BODY_TYPE_CD"
"","04","N","2017008318","2","1","","1","01","Y","SUBA","1996","02","2","","1","00","W","999","0","","1","01","03","01","01","PA","2","01","4S3BD4355T7","P4D"
"","04","N","2017023797","3","1","","1","12","Y","OLDS","2000","02","1","","1","00","N","030","0","","1","01","02","01","03","PA","1","01","1G3NL52E0YC","P4D"
"","","N","2017007736","","","","","","","","","00","1","","","","","","","","2","31","","","","","2","","",""
"","15","N","2017014605","2","1","","1","11","Y","ACUR","2016","02","2","","1","00","N","999","0","","1","01","03","01","01","PA","1","06","5FRYD4H20GB","PUT"
"","15","N","2017023607","2","1","","1","06","Y","CHEV","2011","01","5","","1","00","W","000","0","","2","01","07","03","01","PA","2","06","3GNBABFW0BS","PUT"
"","15","N","2017007666","3","1","","2","11","Y","NISS","2013","01","2","","1","00","S","015","0","","2","01","12","01","01","PA","2","01","JN8AS5MV5DW","PUT"
"","04","N","2017000806","2","1","","1","04","Y","KIA","2013","02","2","","1","00","E","025","0","","2","01","02","01","01","PA","2","01","5XXGN4A76DG","P4D"
"","41","N","2017002305","2","1","","1","11","Y","DODG","2007","02","1","","1","13","E","010","0","","1","01","04","01","03","PA","1","07","2D4GP44L87R","TES"
"","20","N","2017024726","3","1","","1","12","Y","BMW","2007","01","1","","1","00","E","030","0","","1","01","05","04","03","PA","1","02","WB10388087Z","MRS"
"","15","N","2017002801","3","1","","1","09","Y","CHRY","2004","01","1","","1","00","N","030","0","","1","01","08","01","01","PA","2","01","2C8GF68494R","PUT"
"","51","N","2017002638","2","1","","1","11","Y","CHEV","2016","06","1","","1","00","W","064","","","1","01","03","01","01","PA","1","04","1GC1KUEG4GF","TCW"
"","12","N","2017000598","3","1","","1","09","Y","FORD","2001","01","1","","1","00","W","055","0","","1","01","05","01","01","PA","1","06","1FMYU70E11U","T2W"
"","01","N","2017009680","3","1","","1","12","Y","CHRY","2013","01","1","","1","00","S","999","0","","2","01","02","01","06","PA","1","01","1C3BCBFG0DN","PCV"
"","15","N","2017010031","3","1","","1","03","Y","TOYT","2016","01","1","","1","00","N","999","0","","2","01","02","01","01","GA","3","06","JTMBFREVXGJ","PUT"
"","04","N","2017010454","3","3","","2","12","Y","HYUN","2010","02","2","","3","00","W","070","0","","1","01","07","17","03","PA","1","01","5NPET4AC8AH","P4D"
"","04","N","2017012146","3","1","","4","01","Y","CHRY","2000","01","1","","1","00","S","020","0","","1","01","12","01","01","PA","1","01","2C3HC56GXYH","P4D"
"","12","N","2017011120","3","1","","1","10","Y","CHRY","2003","02","2","","1","00","W","005","0","","2","01","07","14","04","PA","2","01","3C4FY48B63T","PSV"
"","04","N","2017018620","3","1","","1","01","Y","BUIC","2002","02","1","","3","00","N","045","0","","1","01","05","17","01","DE","1","01","2G4WS52JX21","P4D"
"","15","N","2017015251","3","1","","1","12","Y","HYUN","2001","02","1","","1","00","W","025","0","","1","01","01","01","01","PA","1","06","KM8SC83DX1U","PUT"
"","15","N","2017016062","3","1","","2","12","Y","FORD","1995","02","1","","4","00","N","999","0","","1","01","11","16","01","PA","1","06","1FMDU34X9SU","T4W"
"","15","N","2017016546","3","1","","1","12","Y","CHEV","2007","01","1","","1","00","N","030","0","","1","01","05","01","03","PA","1","06","2CNDL73F176","PUT"
"","15","N","2017018277","3","1","","3","01","Y","FORD","2014","01","1","","1","00","W","999","0","","2","01","02","01","01","PA","1","06","1FMCU9J95EU","T4W"
"","15","N","2017016447","2","1","","1","11","Y","TOYT","2008","01","1","","1","00","E","010","0","","1","01","12","01","01","PA","2","01","JTLKE50E981","PUT"
"","02","N","2017015368","1","1","","2","07","Y","HOND","2002","01","1","","1","00","N","045","0","","2","01","07","01","01","PA","2","01","1HGCG22552A","PCP"
"","51","N","2017013317","3","1","","1","12","Y","CHEV","2004","01","1","","1","00","S","005","0","","1","01","07","01","01","PA","1","04","1GCDT136348","TCW"
"","41","N","2017014771","1","1","","3","12","Y","FORD","1999","01","1","","1","00","N","030","0","","2","01","01","01","07","PA","1","07","1FTNE2427XH","TCG"
"","04","N","2017012646","3","1","","1","03","Y","DODG","2012","01","1","","1","00","W","020","0","","1","01","12","10","02","PA","1","01","2C3CDXCT8CH","P4D"
"","04","N","2017000467","3","1","","1","05","Y","CHEV","2011","01","2","","1","00","W","060","0","","2","01","03","01","01","PA","2","01","1G1PC5SH7B7","P4D"
"","15","N","2017012708","2","1","","1","06","Y","MITS","2016","01","4","","1","00","S","999","0","","2","01","12","01","01","PA","2","06","JA4AD2A36GZ","PUT"
"","15","N","2017013553","1","1","","1","12","Y","CHEV","2012","01","4","","1","00","N","999","0","","1","01","12","01","01","PA","1","01","2GNFLNEK0C6","PUT"
"","04","N","2017010846","3","1","","1","12","Y","TOYT","2007","01","2","","1","00","W","035","0","","2","01","05","01","01","PA","1","01","2T1BR32E27C","P4D"
"","04","N","2017019267","3","1","","1","12","Y","FORD","2004","02","1","","1","00","N","035","0","","2","01","12","01","06","PA","1","01","1FAFP38Z24W","P4D"
"","04","N","2017019802","3","1","","1","06","Y","TOYT","2011","01","1","","1","00","S","000","0","","3","01","01","03","01","NC","3","01","4T1BK3DB5BU","P4D"
"","15","N","2017021358","1","1","","1","06","Y","TOYT","2011","01","1","","1","00","E","000","0","","2","01","05","03","01","PA","2","01","2T3DF4DVXBW","PUT"
"0","15","N","2017020359","3","1","0","1","06","Y","HOND","2007","02","2","06","1","00","W","000","0","0","2","01","03","03","98","PA","2","06","5J6RE48747L","PUT"
"","04","N","2017019417","3","1","","2","11","Y","HOND","1999","01","1","","1","00","S","999","0","","1","01","01","01","01","PA","1","01","2HGEJ6675XH","P4D"
"","51","N","2017016182","3","1","","2","11","Y","CHEV","2003","01","1","","1","00","E","030","0","","1","01","06","01","01","PA","1","04","1GCDT13X93K","TCW"
"","20","N","2017023194","1","1","","1","06","Y","HD","2006","01","1","","1","00","E","005","0","","2","01","05","01","01","PA","2","02","1HD1CGP126K","MRS"
"","03","N","2017022018","3","1","","1","01","Y","FIAT","2013","01","1","","1","00","W","045","0","","1","01","05","01","01","PA","1","01","3C3CFFHH5DT","P2H"
"","04","N","2017022844","3","1","","3","06","Y","HOND","2015","01","2","","1","00","E","000","0","","3","01","03","03","01","PA","2","01","1HGCR2F84FA","P4D"
"","15","N","2017005945","0","4","","1","11","Y","FORD","2002","99","1","","1","00","W","005","0","","1","05","03","12","03","PA","1","06","1FMDU74E52Z","T4W"
"","04","N","2017013282","3","1","","1","12","Y","CHEV","2005","02","1","","1","00","W","025","0","","1","01","08","01","07","PA","1","01","1G1ZT54865F","P4D"
"","04","N","2017007107","3","1","","1","01","Y","CHRY","2006","02","1","","3","00","E","070","0","","1","01","07","17","01","NJ","1","01","1C3EL56R16N","P4D"
"","19","N","2017006323","3","1","","1","12","Y","JEEP","2012","01","3","","1","00","N","015","0","","1","01","07","01","01","NY","1","06","1C4PJMAK0CW",""
"","04","N","2017010757","2","1","","3","10","Y","DODG","2013","01","1","","3","00","N","999","0","","1","01","05","17","01","PA","1","01","2C3CDXHG4DH","P4D"
"","02","N","2017019706","3","1","","3","07","Y","FORD","2006","01","1","","1","00","N","035","0","","1","01","01","01","01","MD","1","01","1ZVFT80N265","PCP"
"","09","N","2017042018","3","1","","2","12","Y","BMW","2009","01","1","","1","00","S","999","0","","1","01","07","01","12","PA","1","01","5UXFG43549L",""
"","04","N","2017009054","2","2","","1","05","Y","BMW","2006","","0","","1","00","U","000","0","","2","02","07","06","98","PA","3","01","WBAVB13586P","P4D"
"","09","N","2017007047","1","4","","1","06","U","UNKN","9999","99","1","","1","00","W","999","","","3","05","","02","03","ZZ","2","01","99999999999",""
"","04","N","2017004907","3","1","","1","12","Y","","2006","01","1","","1","00","N","020","0","","1","01","02","01","01","PA","1","01","1G6DP577660","P4D"
"","51","N","2017019820","2","2","","1","07","Y","DODG","2005","","0","","1","00","","000","0","","2","02","07","06","98","PA","2","04","1D7HU18DX5S","TCW"
"","04","N","2017002278","3","1","","1","12","Y","FORD","2015","01","1","","3","00","W","035","0","","1","01","01","17","01","PA","1","01","1FADP3J26FL","P4D"
"","04","N","2017030693","3","1","","5","12","Y","NISS","2004","01","1","","3","00","W","045","0","","1","01","08","17","01","PA","1","01","1N4BL11D64C","P4D"
"","06","N","2017030680","3","1","","1","02","Y","HOND","1996","01","1","","1","00","W","020","0","","2","01","04","01","01","PA","1","01","1HGCE1823TA","PSW"
"","51","N","2017007353","3","1","","1","00","Y","FORD","2002","01","1","","3","00","W","025","0","","1","01","05","17","01","PA","0","04","1FTZR45EX2T","T4C"
"","02","N","2017012848","3","1","","1","12","Y","CHEV","2003","02","1","","4","00","W","035","0","","1","01","05","16","01","PA","1","01","1G1JC12F637","PCP"
"","02","N","2017028187","3","2","","2","07","Y","NISS","2010","","0","","2","00","E","000","0","","2","02","01","06","11","PA","2","01","1N4AL2EPXAC","PCP"
"","01","N","2017002820","1","1","","1","06","Y","CHRY","2009","01","1","","1","00","W","000","0","","2","01","07","03","03","PA","2","01","1C3LC45B79N","PCV"
"","06","N","2017030378","3","1","","1","12","Y","HOND","1993","01","1","","1","00","E","045","0","","1","01","09","01","06","PA","1","01","1HGCB975XPA","PSW"
"","15","N","2017025717","3","2","","1","12","Y","SUZI","2004","","0","","1","00","","000","0","","2","02","05","06","11","PA","2","06","JS3TD62VX44","PUT"
"","09","N","2017000807","1","1","","1","07","U","STRN","9999","99","1","","1","00","W","999","0","","2","01","01","02","01","ZZ","2","01","99999999999",""
"","04","N","2017020298","2","1","","1","10","Y","HOND","1999","02","1","","1","00","W","005","0","","1","01","08","05","09","PA","3","01","JHMCG6674XC","P4D"
"","15","N","2017000167","1","1","","1","03","Y","JEEP","1998","01","1","","1","00","W","025","0","","1","01","07","98","01","PA","1","06","1J4GZ48SXWC","T4W"
