"CRN","UNIT_NUM","TRL_SEQ_NUM","TRL_VEH_REG_STATE","TRL_VEH_TYPE_CD","TRL_VEH_TAG_NUM","TRL_VEH_TAG_YR"
"2017009466","3","0","TN","7","U063233","2017"
"2017009618","2","0","PA","3","XN27188","2017"
"2017021312","1","0","PA","7","PT922B0",""
"2017022592","2","0","PA","3","EZP7786","2017"
"2017028696","1","0","WI","7","703020","9999"
"2017037708","2","0","OK","7","5647KS",""
"2017039940","1","0","PA","7","PT7332V","9999"
"2017044160","2","0","","3","XSJ4237",""
"2017044549","3","0","IL","7","P118498","2018"
"2017047317","2","0","PA","5","XFR2683","2017"
"2017050738","1","0","PA","7","XZ38886","2019"
"2017051640","2","0","PA","6","XJL7252","2018"
"2017051667","4","0","PA","4","DT10902","2017"
"2017059051","1","0","PA","7","PT6923C","2017"
"2017062125","2","0","WV","7","C303279","2017"
"2017067183","1","0","PA","3","XGN2609","2017"
"2017069887","2","0","PA","7","PT0709W","2008"
"2017079612","1","0","PE","7","44T10","2012"
"2017094216","1","0","","6","NONE",""
"2017097781","1","0","","3","",""
"2017099001","1","0","PA","6","PT765B8","2017"
"2017113345","2","0","IN","7","P314488","2017"
"2017116687","1","0","PA","3","ZJY9025","2022"
"2017118314","1","0","CA","7","4PL6446","2018"
"2017118363","1","0","PA","8","XBA7627","2020"
"2017121193","1","0","NJ","6","TNX31D","2018"
"2017121258","2","0","MO","7","27A029","9999"
"2017132313","1","0","PA","7","XJX9166","2018"
"2017133517","1","0","PA","3","XKP3775","2022"
"2017136849","2","0","IN","7","P528577","2099"
"2017010973","2","0","OK","7","4952LQ",""
"2017015251","2","0","TN","7","U437520","2017"
"2017021874","2","0","PA","7","XGN3284","2017"
"2017022072","2","0","PA","7","PT0616R","2017"
"2017024042","1","0","IA","7","UNK","2017"
"2017024244","1","0","PA","7","PT1007Z","2015"
"2017030222","2","0","ME","7","1888104","2014"
"2017031338","1","0","PA","7","XGK0105","2017"
"2017031747","3","0","OK","7","3795JR","2017"
"2017049025","1","0","PA","7","PT1654T","2017"
"2017061053","1","0","PA","3","XHZ2207","2019"
"2017065126","1","0","PA","7","PT356C4","9999"
"2017073183","2","0","IL","7","T518373","2017"
"2017073977","2","0","MD","3","058085X",""
"2017077555","1","0","PA","3","XM87693","2018"
"2017079612","2","0","NC","7","U517811","2014"
"2017083795","1","0","TX","3","A014318","2018"
"2017102184","2","0","PA","3","XDD5515","2018"
"2017102565","2","0","PA","6","XFX2174","2022"
"2017105603","2","0","PA","3","PT1379N",""
"2017114254","2","0","OK","7","9426LE","2018"
"2017115396","1","0","","8","",""
"2017115741","1","0","ME","6","1984548","2017"
"2017123115","1","0","PA","7","XJW0245","2018"
"2017126755","1","0","ME","7","191328A","2019"
"2017134726","2","0","PA","3","XY74365","2018"
"2017138273","1","0","PA","3","XKE9592","2018"
"2017002204","1","0","PA","3","XY51136","2003"
"2017010390","1","0","ID","7","TH8427","2017"
"2017016603","2","0","PA","3","PT336A5","2015"
"2017024297","2","0","PA","3","PT319C7","9999"
"2017024471","1","0","PA","6","RT648B5","2000"
"2017036515","2","0","","7","",""
"2017047206","3","0","PA","6","XKF4470","1992"
"2017050563","2","0","ME","3","2198535","2017"
"2017060407","2","0","IL","7","T474923","9999"
"2017061788","1","0","CA","7","4CB1911","2018"
"2017068242","2","0","TN","7","T443902","2018"
"2017069907","1","0","PA","7","PT9883V",""
"2017072095","2","0","VA","7","593788TL","2017"
"2017078110","2","0","PA","3","PT7857G","2017"
"2017082283","1","0","PA","4","XFB5382","2018"
"2017083813","2","0","PA","7","XR01511","2017"
"2017084979","1","0","PA","7","PT1322W","2017"
"2017098687","2","0","PA","3","XKH7419","2017"
"2017105629","2","0","PA","6","XZ34340","18"
"2017107220","1","0","NJ","7","TPK26R","2018"
"2017107714","2","0","","1","",""
"2017113388","4","0","PA","3","XKS6608","2018"
"2017114254","1","0","PA","7","PT9433Z","2018"
"2017116666","1","0","PA","1","",""
"2017118877","1","0","PA","8","XHC7983","2014"
"2017121435","1","0","VA","7","652491TL","2017"
"2017124497","3","0","PA","3","XT21410","2017"
"2017131485","1","0","PA","7","TQY4399",""
"2017136915","1","0","ME","7","2440701","2020"
"2017010694","1","0","NC","7","AZ37716","2017"
"2017014501","1","0","AL","7","A020220","2017"
"2017028528","1","0","PA","6","UNKNOWN","99"
"2017039589","3","0","PA","6","XHV6184","2017"
"2017043387","5","0","ZZ","6","","9999"
"2017050880","2","0","PA","3","XV02144","2019"
"2017055031","2","0","PA","3","XDN1150","2018"
"2017069356","1","0","PA","3","XN81942","2020"
"2017084627","2","0","PA","7","XKW7450","2017"
"2017085433","2","0","PA","7","PT995B1","1999"
"2017088071","2","0","PA","6","XZ22628","2017"
"2017092339","2","0","TN","7","U598611","2020"
"2017093347","2","0","PA","6","PT818Z","2019"
"2017093769","2","0","PA","7","AF51248","2001"
"2017099534","2","0","PA","6","XJM3797","2018"
"2017101302","1","0","","7","",""
"2017114539","2","0","ZZ","1","000000","2017"
"2017115126","2","0","PA","3","PT996A2",""
"2017119419","2","0","PA","6","XJN2968","2020"
"2017120011","1","0","PA","3","PT8100M",""
"2017122544","1","0","PA","8","XFC2083","2018"
"2017008591","2","0","","7","",""
