"CRN","MC_BAG_IND","MC_DVR_BOOTS_IND","MC_DVR_EDC_IND","MC_DVR_EYEPRT_IND","MC_DVR_HLMTDOT_IND","MC_DVR_HLMTON_IND","MC_DVR_HLMT_TYPE","MC_DVR_LNGPNTS_IND","MC_DVR_LNGSLV_IND","MC_ENGINE_SIZE","MC_PASSNGR_IND","MC_PAS_BOOTS_IND","MC_PAS_EYEPRT_IND","MC_PAS_HLMTDOT_IND","MC_PAS_HLMTON_IND","MC_PAS_HLMT_TYPE","MC_PAS_LNGPNTS_IND","MC_PAS_LNGSLV_IND","MC_TRAIL_IND","PC_HDLGHT_IND","PC_HLMT_IND","PC_PASSNGR_IND","PC_REAR_RFLTR_IND","UNIT_NUM"
"2017014390","","","","","","","","","","","","","","","","","","","","N","Y","N","Y","1"
"2017021030","N","Y","U","Y","Y","Y","1","Y","N","00600","N","","","","","","","","N","","","","","1"
"2017022033","N","Y","Y","Y","Y","Y","1","Y","Y","01250","N","","","","","","","","N","","","","","1"
"2017023194","N","N","U","Y","Y","Y","3","Y","N","01430","N","","","","","","","","N","","","","","1"
"2017033593","","","","","","","","","","","","","","","","","","","","U","N","N","U","2"
"2017033858","Y","U","Y","Y","U","Y","1","Y","Y","01150","N","","","","","","","","N","","","","","2"
"2017036689","","","","","","","","","","","","","","","","","","","","U","U","N","U","1"
"2017039650","","","","","","","","","","","","","","","","","","","","U","U","U","U","2"
"2017041709","U","U","U","N","U","U","9","U","U","99999","N","","","","","","","","N","","","","","1"
"2017044930","N","U","Y","Y","Y","Y","1","Y","Y","00050","Y","Y","Y","Y","Y","1","Y","Y","N","","","","","2"
"2017050295","Y","Y","N","U","N","N","0","Y","U","01200","N","","","","","","","","N","","","","","1"
"2017051645","","","","","","","","","","","","","","","","","","","","U","N","N","U","2"
"2017062309","U","N","Y","N","N","N","0","U","U","00954","N","","","","","","","","N","","","","","1"
"2017064801","Y","N","Y","Y","Y","Y","2","Y","N","00400","N","","","","","","","","N","","","","","1"
"2017074546","N","N","U","Y","Y","Y","1","Y","Y","01100","N","","","","","","","","N","","","","","2"
"2017077134","N","Y","U","Y","N","N","0","Y","Y","00650","Y","Y","U","N","N","0","Y","Y","N","","","","","1"
"2017080209","","","","","","","","","","","","","","","","","","","","U","N","N","Y","2"
"2017113269","N","U","N","Y","Y","Y","1","Y","Y","01200","N","","","","","","","","N","","","","","1"
"2017050568","N","Y","U","Y","Y","Y","1","Y","Y","01200","N","","","","","","","","N","","","","","2"
"2017050653","N","U","U","Y","U","U","9","U","Y","00398","N","","","","","","","","N","","","","","2"
"2017054573","N","N","Y","Y","U","Y","1","Y","N","00600","N","","","","","","","","N","","","","","1"
"2017060407","U","U","U","N","N","N","0","U","U","99999","N","","","","","","","","U","","","","","1"
"2017064730","N","U","U","Y","Y","Y","1","Y","Y","00600","N","","","","","","","","N","","","","","2"
"2017065326","Y","Y","U","Y","U","Y","3","Y","Y","01700","N","","","","","","","","N","","","","","2"
"2017069641","N","Y","N","U","Y","U","3","Y","Y","01600","N","","","","","","","","N","","","","","3"
"2017073479","U","Y","Y","U","N","N","0","Y","N","01450","N","","","","","","","","N","","","","","1"
"2017087901","Y","N","U","Y","Y","Y","1","Y","Y","01195","N","","","","","","","","N","","","","","1"
"2017091509","N","U","U","U","U","U","9","Y","N","00993","N","","","","","","","","N","","","","","1"
"2017093339","N","N","Y","Y","N","Y","1","Y","N","01000","N","","","","","","","","N","","","","","2"
"2017103067","N","Y","Y","Y","Y","Y","3","Y","N","01450","N","","","","","","","","N","","","","","2"
"2017116430","N","Y","N","U","Y","Y","2","Y","Y","00125","N","","","","","","","","N","","","","","1"
"2017127566","Y","Y","U","Y","Y","N","3","U","U","00250","N","","","","","","","","N","","","","","1"
"2017020047","","","","","","","","","","","","","","","","","","","","U","U","N","U","2"
"2017022310","N","U","U","Y","","","0","Y","N","00600","N","","","","","","","","N","","","","","1"
"2017040654","","","","","","","","","","","","","","","","","","","","N","N","N","Y","1"
"2017044983","","","","","","","","","","","","","","","","","","","","N","N","N","N","2"
"2017056094","N","N","U","Y","Y","Y","1","Y","N","00599","N","","","","","","","","N","","","","","1"
"2017059636","U","U","U","N","U","U","9","U","U","99999","N","","","","","","","","N","","","","","1"
"2017064050","","","","","","","","","","","","","","","","","","","","N","Y","N","Y","2"
"2017065016","N","Y","N","Y","Y","Y","1","Y","Y","00750","N","","","","","","","","N","","","","","2"
"2017070604","Y","Y","U","Y","N","N","0","Y","N","01690","Y","N","Y","N","N","0","Y","N","N","","","","","2"
"2017071105","Y","U","U","Y","Y","Y","1","Y","N","00650","Y","N","Y","Y","Y","1","N","N","N","","","","","2"
"2017072209","Y","N","Y","N","N","N","0","Y","N","01520","N","","","","","","","","N","","","","","1"
"2017075675","","","","","","","","","","","","","","","","","","","","N","N","N","Y","2"
"2017075815","","","","","","","","","","","","","","","","","","","","N","Y","N","Y","2"
"2017091447","Y","N","U","U","N","N","0","Y","N","00750","N","","","","","","","","N","","","","","1"
"2017097313","Y","Y","Y","Y","Y","Y","3","Y","N","01300","Y","Y","Y","Y","Y","3","Y","N","N","","","","","1"
"2017098054","Y","N","U","U","U","U","9","Y","U","01584","N","","","","","","","","N","","","","","1"
"2017103119","","","","","","","","","","","","","","","","","","","","N","Y","N","Y","2"
"2017113338","N","N","U","Y","U","Y","1","Y","Y","01320","N","","","","","","","","N","","","","","1"
"2017116640","N","N","N","N","Y","Y","1","Y","Y","01450","N","","","","","","","","N","","","","","1"
