"CRN","AGE","AIRBAG_PADS","AIRBAG1","AIRBAG2","AIRBAG3","AIRBAG4","CLOTHING_TYPE","DVR_PED_CONDITION","EJECTION_IND","EJECT_PATH_CD","EXTRIC_IND","INJ_SEVERITY","PED_LOCATION","PED_SIGNAL","PERSON_NUM","PERSON_TYPE","RESTRAINT_HELMET","SEAT_POSITION","SEX","TRANSPORTED","UNIT_NUM","DRUG_RESULT_CD1","DRUG_RESULT_CD2","DRUG_RESULT_CD3","DRUG_RESULT_CD4","DVR_LIC_STATE"
2017132913,44,"09","","","",""," ","0","1","0","1","0","  "," ",2,"1","03","01","M","N",2,"","","","","PA"
2017027013,20,"00","","","",""," ","0","0","0","0","0","  "," ",2,"2","03","03","F","N",1,"","","","","PA"
2017022192,34,"08","M","","",""," ","0","1","0","1","3","  "," ",1,"1","03","01","F","N",2,"","","","","PA"
2017035404,31,"09","","","",""," ","0","1","0","1","0","  "," ",2,"1","03","01","F","N",2,"","","","","PA"
2017070579,53,"09","","","",""," ","0","1","0","1","0","  "," ",4,"2","03","03","F","N",2,"","","","","PA"
2017100544,42,"08","M","","",""," ","0","1","0","1","4","  "," ",2,"2","03","03","F","N",2,"","","","","PA"
2017112777,58,"09","","","",""," ","0","1","0","1","4","  "," ",4,"2","03","06","F","N",2,"","","","","PA"
2018013920,16,"08","M","","",""," ","0","1","0","1","4","  "," ",4,"2","03","03","F","Y",3,"","","","","PA"
2017083008,30,"08","M","","",""," ","0","0","0","0","0","  "," ",1,"1","03","01","F","N",1,"","","","","PA"
2017019800,18,"08","02","","",""," ","0","0","0","0","0","  "," ",1,"1","03","01","M","N",1,"","","","","PA"
2017102441,38,"09","","","",""," ","0","0","0","0","0","  "," ",2,"1","03","01","M","N",2,"","","","","PA"
2017077869,46,"08","M","","",""," ","9","1","0","1","1","  "," ",1,"1","00","01","M","N",1,"997","","","","PA"
2017010364,58,"08","M","","",""," ","0","1","0","1","4","  "," ",1,"1","03","01","F","Y",1,"","","","","PA"
2017077054,9,"08","M","","",""," ","0","1","0","1","0","  "," ",4,"2","03","04","F","N",2,"","","","","PA"
2017017075,28,"08","02","","",""," ","2","1","0","1","0","  "," ",1,"1","03","01","F","N",1,"","","","","PA"
2017062557,16,"08","M","","",""," ","0","0","0","0","0","  "," ",1,"1","03","01","F","N",1,"","","","","PA"
2017120415,29,"09","","","",""," ","0","0","0","0","0","  "," ",2,"2","03","03","M","N",1,"","","","","PA"
2017101194,28,"08","M","","",""," ","0","1","0","1","0","  "," ",2,"1","03","01","F","N",2,"","","","","PA"
2017009226,19,"08","M","","",""," ","0","0","0","0","0","  "," ",2,"2","03","03","F","N",1,"","","","","PA"
2017100464,28,"08","02","","",""," ","0","1","0","1","3","  "," ",1,"1","03","01","M","N",1,"","","","","PA"
2017064322,84,"09","","","",""," ","0","0","0","0","4","  "," ",1,"1","03","01","M","N",2,"","","","","VA"
2017021105,25,"09","","","",""," ","0","1","0","1","4","  "," ",1,"1","00","01","F","Y",2,"","","","","PA"
2017090398,40,"08","M","","",""," ","0","1","0","0","0","  "," ",1,"1","03","01","M","N",3,"","","","","PA"
2017135784,27,"09","","","",""," ","0","0","0","0","0","  "," ",1,"1","03","01","M","N",2,"","","","","PA"
2017050525,42,"08","M","","",""," ","0","0","0","0","0","  "," ",1,"1","03","01","M","N",1,"","","","","PA"
2017132151,19,"09","","","",""," ","0","0","0","0","0","  "," ",1,"1","03","01","M","N",1,"","","","","PA"
2017082487,22,"99","","","",""," ","0","1","0","1","0","  "," ",1,"1","03","01","M","N",2,"","","","","PA"
2017118728,18,"08","02","","",""," ","0","1","0","1","0","  "," ",1,"1","03","01","F","N",1,"","","","","PA"
2017034364,39,"00","","","",""," ","5","0","0","0","0","  "," ",1,"1","03","01","M","N",1,"","","","","PA"
2017111370,27,"00","","","",""," ","0","0","0","0","0","  "," ",1,"1","03","01","F","N",1,"","","","","PA"
2017048840,19,"08","02","","",""," ","0","1","0","1","0","  "," ",4,"1","03","01","M","N",2,"","","","","PA"
2017007018,18,"08","02","","",""," ","0","0","0","0","4","  "," ",1,"1","03","01","F","Y",1,"","","","","PA"
2017059051,75,"08","02","","",""," ","0","1","0","1","4","  "," ",1,"1","03","01","F","Y",2,"","","","","PA"
2017065168,65,"00","","","",""," ","0","1","0","1","0","  "," ",2,"2","03","03","M","N",2,"","","","","PA"
2017082110,36,"05","","","",""," ","0","0","0","0","0","  "," ",1,"1","05","01","M","N",1,"","","","","PA"
2017089606,35,"00","","","",""," ","0","1","0","1","4","  "," ",3,"2","03","11","F","N",2,"","","","","PA"
2017029903,62,"00","","","",""," ","0","1","0","1","0","  "," ",1,"1","00","01","M","N",1,"","","","","PA"
2017034052,57,"08","02","","",""," ","1","1","0","1","0","  "," ",1,"1","03","01","F","N",1,"","","","","PA"
2017008889,79,"08","M","","",""," ","0","0","0","0","0","  "," ",1,"1","03","01","M","N",1,"","","","","PA"
2017057964,22,"08","M","","",""," ","0","1","0","1","0","  "," ",1,"1","03","01","F","N",1,"","","","","PA"
2017048634,38,"09","","","",""," ","0","1","0","1","0","  "," ",3,"1","03","01","M","N",2,"","","","","MO"
2017131273,30,"08","02","","",""," ","0","0","0","0","0","  "," ",1,"1","03","01","M","N",1,"","","","","PA"
2017036490,15,"09","","","",""," ","0","1","0","1","0","  "," ",2,"2","03","03","M","N",2,"","","","","PA"
2017028556,24,"99","","","",""," ","6","1","0","1","0","  "," ",1,"1","03","01","M","Y",1,"","","","","PA"
2017074172,33,"08","02","","",""," ","1","1","0","1","0","  "," ",1,"1","03","01","F","N",1,"","","","","PA"
2017113338,35,"00","","","",""," ","0","0","0","0","3","  "," ",1,"1","05","01","M","Y",1,"","","","","PA"
2018001916,17,"09","","","",""," ","0","1","0","1","0","  "," ",3,"2","03","06","M","N",2,"","","","","PA"
2017085760,40,"08","M","","",""," ","0","0","0","0","0","  "," ",6,"1","03","01","M","N",3,"","","","","NJ"
2017118099,31,"09","","","",""," ","0","0","0","0","0","  "," ",2,"2","03","03","M","N",2,"","","","","PA"
2017019850,17,"00","","","",""," ","0","0","0","0","4","  "," ",1,"1","03","01","F","N",1,"","","","","PA"
2017099610,32,"00","","","",""," ","0","0","0","0","0","  "," ",1,"1","03","01","M","N",2,"","","","","PA"
2017127626,21,"09","","","",""," ","0","1","0","1","0","  "," ",1,"1","03","01","F","N",1,"","","","","PA"
2017023046,60,"08","M","","",""," ","0","1","0","1","0","  "," ",1,"1","03","01","M","N",2,"","","","","PA"
