"AVOID_MAN_CD","BODY_TYPE","COMM_VEH","CRN","DAMAGE_IND","DVR_PRES_IND","EMERG_VEH_USE_CD","GRADE","IMPACT_POINT","INS_IND","MAKE_CD","MODEL_YR","OWNER_DRIVER","PEOPLE_IN_UNIT","PRIN_IMP_PT","RDWY_ALIGNMENT","SPECIAL_USAGE","TRAVEL_DIRECTION","TRAVEL_SPD","TRL_VEH_CNT","UNDER_RIDE_IND","UNIT_NUM","UNIT_TYPE","VEH_COLOR_CD","VEH_MOVEMENT","VEH_POSITION","VEH_REG_STATE","VEH_ROLE","VEH_TYPE","PARTIAL_VIN","VINA_BODY_TYPE_CD"
"","06","N","2021026770","3","1","","1","12","Y","FORD","1998","01","1","","1","00","N","010","","","1","01","02","12","04","PA","1","01","1FAFP57U4WA","PSW"
"","15","N","2021027748","1","1","","1","06","Y","FORD","2015","01","2","","1","00","W","999","0","","2","01","05","01","04","PA","2","06","1FM5K8D89FG","T4W"
"","69","Y","2021035248","1","1","","1","12","Y","KW","2020","02","1","","1","21","W","040","1","","2","01","03","01","01","PA","1","05","1XKZD49X9LJ","T"
"0","51","N","2021050863","3","1","0","1","03","Y","FORD","1998","02","2","09","1","00","W","999","","0","2","01","03","01","01","PA","2","04","1FTZR15X2WT","TPC"
"","02","N","2021016059","3","1","","3","12","Y","HOND","2002","01","1","","1","00","S","025","0","","1","01","05","01","01","PA","1","01","1HGCG32702A","PCP"
"","51","N","2021024627","3","1","","1","12","Y","FORD","1994","99","1","","1","00","W","999","0","","2","01","02","01","01","PA","2","04","1FTCR11U0RT","TPK"
"","09","N","2021041718","1","2","","1","07","Y","ACUR","2001","","0","","1","00","N","000","0","","3","02","07","06","08","AZ","0","01","",""
"","04","N","2021002252","3","1","","1","01","Y","BMW","2004","01","1","","1","00","E","999","0","","1","01","12","01","01","PA","1","01","WBANA53514B","P4D"
"","15","N","2021010191","2","1","","1","05","Y","JEEP","2004","01","1","","1","00","W","999","0","","1","01","01","01","06","PA","1","06","1J4GL58K34W","T4W"
"","15","N","2021026346","2","2","","4","12","Y","CHEV","2007","","0","","1","00","W","000","","","2","02","08","06","12","PA","2","06","3GNFK16367G","T4W"
"","04","N","2021001422","3","1","","1","12","Y","PONT","2007","01","2","","1","00","N","025","","","2","01","05","01","01","PA","1","01","1G2ZG58BX74","P4D"
"","15","N","2021047855","3","1","","3","02","Y","CHEV","2015","02","1","","1","00","W","999","0","","2","01","02","01","01","PA","2","06","2GNFLFEK1F6","T4W"
"","69","N","2021008713","3","1","","1","10","Y","MITS","2018","01","1","","1","00","W","999","0","","2","01","07","01","01","PA","1","01","JA4AZ3A33JZ","T"
"","04","N","2021019973","3","1","","1","05","Y","CHRY","2013","01","2","","1","00","S","025","0","","2","01","07","01","01","PA","2","01","1C3CCBBG4DN","P4D"
"","02","N","2021037568","2","1","","1","02","Y","FORD","2003","01","1","","1","00","W","999","0","","1","01","07","01","01","PA","1","01","1FAFP40473F","PCP"
"","69","N","2021046296","3","1","","1","12","U","CHEV","2019","03","1","","1","00","S","999","0","","1","01","03","01","01","CA","1","06","2GNAXUEV0K6","T"
"","","N","2021016067","2","4","","3","08","N","OTHR","","99","0","","1","00","W","005","","","2","05","99","98","11","","3","99","",""
"","04","N","2021031317","2","1","","1","11","Y","VOLK","2003","02","2","","1","00","E","005","","","1","01","01","10","01","PA","1","01","3VWSK69M63M","P4D"
"","28","N","2021037313","2","1","","5","03","Y","SUZI","2011","01","1","","1","41","E","010","","","1","01","05","12","98","PA","1","02","JS1GX72A7B2","MRC"
"","15","N","2021057830","3","1","","2","00","Y","GMC","2003","01","1","","1","00","E","050","","","1","01","05","08","06","PA","0","06","1GKDT13S332","T4W"
"","39","Y","2021003347","1","1","","1","12","Y","GILG","2016","08","1","","1","00","N","999","0","","2","01","12","01","01","PA","2","03","15GGB3013G1","TBU"
"","69","N","2021032497","3","1","","1","12","Y","FORD","2019","01","1","","1","00","N","045","","","2","01","05","01","01","PA","1","06","MAJ6S3GL7KC","T"
"","15","N","2021007206","3","1","","1","01","Y","CHEV","2006","02","1","","1","00","W","065","","","1","01","07","01","01","PA","1","06","2CNDL73F066","T4W"
"","04","N","2021012711","3","1","","3","12","Y","CHEV","2013","02","2","","1","00","N","999","0","","1","01","07","01","01","PA","1","01","2G1WG5E39D1","P4D"
"","04","N","2021002413","3","1","","1","11","Y","MERZ","2008","02","1","","1","00","N","025","0","","2","01","07","15","06","PA","1","01","WDDGF81X48F","P4D"
"","69","N","2021020874","2","1","","1","11","Y","CHEV","2019","03","1","","1","00","N","030","0","","1","01","03","01","07","PA","1","04","1GC1KREG6KF","T"
"","69","N","2021002415","3","1","","1","10","Y","HOND","2019","01","2","","1","00","S","005","0","","1","01","01","12","01","PA","2","06","2HKRW2H87KH","T"
"","04","N","2021017428","3","3","","1","12","Y","JAGU","2004","02","1","","3","00","E","045","0","","1","01","04","17","01","PA","1","01","SAJEB52D24X","P4D"
"","04","N","2021018946","3","1","","1","02","Y","NISS","2014","01","1","","1","00","N","015","0","","1","01","07","12","04","PA","2","01","3N1AB7AP3EY","P4D"
"","04","N","2021021953","3","1","","2","05","Y","HYUN","2016","01","1","","1","00","N","000","0","","1","01","03","03","09","PA","2","01","5NPE24AF5GH","P4D"
"","69","N","2021034410","2","1","","1","06","Y","MITS","2018","01","2","","1","00","S","999","0","","2","01","05","01","02","PA","2","01","JA4AT3AA5JZ","T"
"","04","N","2021040174","3","1","","1","11","Y","FORD","2012","01","1","","1","00","E","050","","","1","01","07","01","01","PA","1","01","3FADP4AJ7CM","P4D"
"","15","N","2021002638","3","1","","1","11","Y","BUIC","2014","02","1","","1","00","N","035","0","","1","01","12","01","07","PA","1","01","KL4CJHSB3EB","T4W"
"","04","N","2021041544","2","2","","1","05","Y","CHEV","2013","","0","","1","00","","000","0","","2","02","12","06","08","PA","2","01","1G1JC5SH8D4","P4D"
"","04","N","2021010931","3","3","","1","12","N","VOLK","2001","01","1","","3","00","E","050","","","1","01","07","17","01","PA","1","01","WVWTH63B91E","P4D"
"","04","N","2021014506","3","1","","1","12","Y","MAZD","2011","02","1","","1","00","N","020","","","1","01","07","12","01","PA","1","01","1YVHZ8CH0B5","P4D"
"","04","N","2021006838","3","1","","1","12","Y","STRN","2009","01","1","","1","00","E","060","","","1","01","04","01","03","PA","1","01","1G8ZV57B89F","P4D"
"","69","N","2021030964","3","1","","1","07","Y","CHEV","2012","02","1","","1","00","N","065","","","1","01","03","04","01","PA","2","04","1GB0G2BG7C1","TYY"
"","04","N","2021006881","3","1","","1","01","Y","CHEV","2014","01","1","","1","00","W","999","0","","2","01","12","12","01","PA","2","01","1G1JC5SGXE4","P4D"
"","04","N","2021033246","3","1","","1","12","Y","CHEV","2012","98","1","","1","00","E","045","0","","1","01","03","12","13","PA","1","01","1G1ZD5E05CF","P4D"
"","51","N","2021002023","3","1","","1","01","Y","FORD","2003","01","1","","3","00","W","035","0","","2","01","02","04","07","PA","1","05","1FTSX31P03E","T4C"
"","51","N","2021013877","3","1","","2","09","Y","FORD","1998","01","1","","1","00","W","999","","","1","01","05","01","01","PA","0","04","1FTEF18LXWK","TPK"
"","02","N","2021046227","3","3","","1","12","Y","CHEV","2000","02","1","","1","00","N","055","","","1","05","07","01","01","PA","1","01","1G1JC1246Y7","PCP"
"","09","N","2021040498","3","1","","1","10","Y","MAZD","2017","01","2","","1","00","W","070","","","1","01","12","15","03","PA","1","01","JM1GL1V56H1","P"
"","69","N","2021026852","0","1","","2","00","Y","RAM","2020","01","2","","1","00","E","010","1","","1","01","05","01","01","PA","0","05","3C63RRRL6LG","T"
"","69","N","2021013876","1","1","","1","06","Y","CHRY","2019","01","1","","1","00","W","000","0","","2","01","12","03","01","PA","2","06","2C4RC1FG2KR","T"
"","04","N","2021008857","1","1","","1","06","Y","BMW","2013","01","2","","1","00","E","000","","","2","01","03","03","01","PA","2","01","WBA3B9G51DN","P4D"
"","15","N","2021047072","2","1","","1","02","Y","KIA","2011","01","1","","1","00","W","010","","","1","01","11","01","01","PA","1","06","5XYKT3A13BG","T4W"
"","04","N","2021014505","3","1","","1","02","Y","STRN","2007","01","2","","3","00","N","025","0","","1","01","05","17","01","PA","3","01","1G8AJ55F47Z","P4D"
"","15","N","2021042672","3","1","","1","12","Y","JEEP","2007","01","2","","1","00","S","035","","","1","01","04","01","01","MD","1","06","1J4GL48K47W","T4W"
"","51","N","2021046704","1","1","","1","15","Y","FORD","2011","01","1","","1","00","E","999","1","","1","01","03","01","03","PA","1","04","1FT8W3BT3BE","TCW"
"","15","N","2021014719","3","1","","1","11","Y","CADI","2012","01","1","","1","00","N","010","0","","1","01","03","01","01","PA","2","06","3GYFNDE34CS","T4W"
"","15","N","2021004519","2","1","","1","03","Y","GMC","2013","01","1","","1","00","N","020","","","1","01","07","04","07","PA","2","06","2GKFLXE35D6","T4W"
"","15","N","2021030257","3","1","","1","06","Y","GMC","2017","01","2","","1","00","S","000","0","","2","01","03","03","01","PA","2","06","1GKKNWLS9HZ","T4W"
"","04","N","2021039221","3","1","","1","12","Y","FORD","2008","01","4","","1","00","E","030","","","1","01","05","01","06","PA","1","01","1FAHP35NX8W","P4D"
"","41","N","2021020943","3","1","","1","12","Y","CHEV","2004","01","4","","1","46","E","003","","","2","01","02","01","01","PA","2","07","1GNDM19X24B","TES"
"","04","N","2021001966","3","1","","1","09","Y","TOYT","1997","01","1","","1","00","S","045","","","1","01","08","04","07","PA","1","01","4T1BG22K0VU","P4D"
"","15","N","2021022527","3","1","","3","00","Y","JEEP","2003","01","1","","4","00","S","040","","","1","01","02","16","01","PA","0","06","1J4GL58K33W","T4W"
"","15","N","2021040106","3","2","","2","07","Y","TOYT","2015","","0","","1","00","","000","","","2","02","01","06","11","PA","2","01","2T3DFREV3FW","T4W"
"","04","N","2021013473","1","2","","3","07","Y","HOND","2007","","0","","1","00","","000","0","","5","02","12","06","01","PA","2","01","1HGCM56307A","P4D"
"","69","N","2021026572","3","1","","1","12","Y","HOND","2017","01","2","","1","00","N","999","0","","2","01","01","01","01","PA","1","06","2HKRW6H32HH","T"
"","51","Y","2021027451","2","1","","1","06","Y","PTRB","2013","02","1","","1","00","W","000","","","2","01","04","03","01","PA","2","05","2NP3LN9X2DM","TCC"
"","69","N","2021043409","3","1","","1","12","Y","JEEP","2020","03","2","","1","00","E","040","","","1","01","01","01","01","PA","0","06","3C4NJDCB1LT","T"
"","02","N","2021035247","3","1","","3","12","Y","CHEV","2006","02","1","","1","00","N","999","0","","1","01","10","02","01","PA","1","01","1G1AK15F067","PCP"
"","04","N","2021003053","3","1","","1","11","Y","PONT","2006","02","1","","1","00","E","010","0","","1","01","03","01","01","PA","2","01","1G2ZG558364","P4D"
"","09","N","2021029453","3","1","","4","12","Y","VOLK","2018","02","1","","1","00","N","010","","","1","01","07","12","07","PA","2","01","3VW2B7AJ7JM","P"
"","09","N","2021028292","9","1","","3","10","Y","MAZD","2020","01","1","","1","00","W","025","0","","1","01","03","01","01","CT","3","06","JM1DKFB74L1","P"
"","15","N","2021012183","3","1","","1","11","Y","DODG","2020","01","1","","1","00","W","005","0","","1","01","05","12","01","PA","2","01","99999999999","T4W"
"","05","N","2021019615","3","1","","1","01","Y","MAZD","2005","02","1","","1","00","W","035","0","","1","01","12","01","07","PA","1","01","JM1BK343251","P4H"
"","04","N","2021023409","2","2","","1","08","Y","HYUN","2011","","0","","1","00","","000","0","","4","02","07","06","09","PA","2","01","5NPEB4ACXBH","P4D"
"","15","N","2021038786","2","1","","1","10","Y","CHEV","2001","01","2","","1","00","N","050","","","3","01","12","01","01","PA","1","06","1GNEK13T11R","T4W"
"","15","N","2021004277","3","1","","1","12","Y","CHEV","2017","01","5","","1","00","N","999","","","1","01","11","08","01","PA","1","06","3GNCJNSB3HL","T4W"
"","51","N","2021019394","2","1","","1","11","Y","FORD","2006","01","1","","3","00","N","020","","","1","01","04","17","01","NJ","1","04","1FTRF12296N","TPK"
"","04","N","2021006732","3","1","","3","01","Y","HOND","2007","02","1","","3","00","N","045","","","1","01","07","17","01","PA","1","01","1HGCM56187A","P4D"
"","04","N","2021027255","3","1","","1","11","Y","HOND","2007","02","1","","1","00","W","999","0","","1","01","09","12","09","PA","1","01","1HGCM56867A","P4D"
"","15","N","2021048392","3","1","","1","12","Y","CADI","2005","01","1","","1","00","W","035","0","","1","01","07","01","01","PA","1","06","1GYEE637650","T4W"
"","15","N","2021001302","2","1","","1","07","Y","FORD","2013","01","1","","1","00","N","000","","","2","01","12","03","04","PA","2","06","1FMCU9J99DU","T4W"
"","51","Y","2021027810","3","1","","2","12","Y","FRHT","2014","02","1","","1","00","N","040","0","","2","01","03","08","01","PA","1","05","1FVACXDT8EH","TCC"
"","04","N","2021008114","3","1","","3","02","Y","HOND","2009","01","1","","1","00","S","999","0","","1","01","12","01","01","PA","1","01","2HGFA16659H","P4D"
"","15","N","2021058139","1","1","","5","06","Y","GMC","2017","02","4","","1","00","E","000","0","","4","01","01","03","03","MD","2","06","1GKKNMLA1HZ","T4W"
"","69","Y","2021017299","2","1","","1","03","Y","FRHT","2020","02","1","","1","00","E","045","1","","1","01","03","01","01","IN","1","05","1FUJHTDV0LL","T"
"","69","Y","2021042780","1","1","","1","07","Y","PTRB","2020","02","1","","1","21","W","030","1","","3","01","02","01","01","PA","2","05","1NPXL49X2LD","T"
"","05","N","2021045963","3","1","","1","01","Y","MAZD","2005","99","1","","1","00","N","999","0","","1","01","03","01","01","PA","1","01","JM1BK343851","P4H"
"","69","N","2021035223","3","1","","1","02","Y","SUBA","2019","01","1","","1","00","W","035","0","","1","01","03","01","01","PA","0","06","4S4BSAHC2K3","T"
"","02","N","2021015347","3","1","","1","09","Y","HOND","1998","01","1","","1","00","N","020","","","1","01","05","12","09","PA","2","01","1HGEJ6225WL","PCP"
"","04","N","2021031322","3","1","","1","11","Y","FORD","2012","02","1","","1","00","S","040","","","1","01","07","01","01","PA","1","01","1FAHP3F25CL","P4D"
"","51","N","2021002038","1","1","","1","11","Y","FORD","2011","01","1","","1","00","N","999","0","","2","01","02","01","01","PA","2","04","1FTFW1ET8BF","TCW"
"","04","N","2021015192","3","1","","1","11","Y","TOYT","2011","01","1","","1","00","W","035","","","1","01","09","01","01","PA","1","01","4T1BF3EK1BU","P4D"
"","15","N","2021007390","3","1","","1","06","Y","TOYT","2005","01","1","","1","00","E","030","0","","2","01","01","01","01","PA","3","06","JTLKT324050","T4W"
"","04","N","2021026960","3","1","","1","06","Y","NISS","2013","01","1","","1","00","E","000","","","2","01","03","03","01","NJ","3","01","1N4AL3APXDC","P4D"
"","15","N","2021007207","3","1","","1","10","Y","TOYT","2004","02","1","","1","00","E","999","0","","1","01","05","10","01","PA","1","06","JTEHD20V840","T4W"
"","04","N","2021055710","3","1","","3","12","Y","HOND","2014","01","1","","1","00","E","999","","","1","01","01","01","01","PA","1","01","2HGFB2F53EH","P4D"
"","51","N","2021018654","3","1","","3","01","Y","FORD","2011","02","1","","1","00","N","025","","","1","01","03","01","01","PA","0","04","1FD0W5HT1BE","TCH"
"","04","N","2021023088","3","1","","1","14","Y","HYUN","2015","01","1","","1","00","S","065","","","1","01","12","01","01","PA","3","01","KMHDH4AH6FU","P4D"
"","06","N","2021035404","3","1","","1","00","Y","SUBA","2011","02","1","","1","00","E","999","0","","1","01","03","10","01","PA","0","01","JF1GR8H62BL","PSW"
"","04","N","2021005177","1","1","","1","02","Y","BMW","2006","02","1","","1","00","E","999","0","","2","01","12","01","01","PA","2","01","WBAHN83526D","P4D"
"","51","N","2021045581","2","2","","2","05","Y","TOYT","2017","","0","","1","00","W","000","0","","3","02","05","06","08","PA","2","04","5TFUM5F16HX","TCW"
"","51","Y","2021063606","3","1","","3","09","Y","MACK","2005","02","1","","3","00","S","045","","","2","01","03","17","01","PA","2","05","1M2AG11C75M","TCC"
"","69","N","2021047309","1","1","","1","07","Y","SUBA","2019","02","1","","1","00","E","010","","","1","01","07","10","01","PA","2","06","4S4BSAFC7K3","T"
"","04","N","2021081998","3","1","","2","05","Y","NISS","1999","01","1","","1","00","W","999","0","","1","01","12","01","01","PA","1","01","3N1AB41D4XL","P4D"
"","15","N","2021059137","3","1","","1","10","Y","CHEV","2016","01","2","","1","00","N","005","0","","2","01","03","12","01","PA","2","06","2GNFLGE31G6","T4W"
"","15","N","2021061167","0","1","","2","01","Y","CHRY","2007","02","1","","1","00","E","999","0","","2","01","07","01","01","PA","1","06","2A8GM68X67R","T4W"
"","15","N","2021040441","2","1","","3","09","Y","CHEV","2015","01","1","","1","00","W","020","0","","2","01","07","02","01","PA","2","06","2GNALBEK2F1","T4W"
"","69","N","2021036618","2","1","","1","06","Y","HYUN","2019","01","1","","1","00","E","000","0","","3","01","12","03","01","PA","2","06","KM8J2CA44KU","T"
"","04","N","2021047720","3","1","","1","06","Y","NISS","2010","02","1","","1","00","S","000","0","","2","01","03","03","01","PA","3","01","1N4AL2AP7AN","P4D"
"","15","N","2021026634","3","1","","3","09","Y","KIA","2011","01","3","","1","00","N","055","0","","2","01","12","01","01","PA","3","06","5XYKTDA28BG","T4W"
"","69","N","2021043399","3","1","","1","11","Y","JEEP","2020","02","1","","1","00","E","010","","","1","01","02","01","01","PA","1","06","1C4RJFAGXLC","T"
"","05","N","2021100214","3","1","","1","01","Y","FORD","2012","01","1","","1","00","W","015","","","1","01","05","12","01","PA","1","01","3FADP4FJ0CM","P4H"
"","40","N","2021029567","3","1","","1","02","Y","CHRY","2013","01","1","","1","46","E","040","0","","2","01","03","01","01","PA","1","07","2C4RC1BG8DR","TSV"
"","15","N","2021026347","2","2","","1","07","Y","JEEP","2010","","0","","1","00","","000","0","","3","02","01","06","01","PA","1","06","1J4NF2GB0AD","T4W"
"","15","N","2021023435","3","1","","3","06","Y","MAZD","2015","02","2","","1","00","E","000","","","2","01","03","03","01","NJ","3","06","JM3KE2BE8F0","T4W"
