"CRN","UNIT_NUM","TRL_SEQ_NUM","TRL_VEH_REG_STATE","TRL_VEH_TYPE_CD","TRL_VEH_TAG_NUM","TRL_VEH_TAG_YR"
"2021037709","1","0","PA","7","PT0924T",""
"2021034343","1","0","PA","3","XGD8006","2015"
"2021048608","1","0","PA","6","PT329J4","2022"
"2021043296","1","0","NJ","3","TUA57J","2022"
"2021060007","3","0","","7","",""
"2021103203","2","1","NJ","7","TXU20M","2022"
"2021115626","2","0","PA","6","PT639G6","2099"
"2021081148","2","0","OK","7","1644KG","2013"
"2021094662","1","1","PA","3","XKL2753","2017"
"2021095197","3","1","PA","7","XLG2745","2021"
"2021088032","2","0","PA","7","PT992A3","2021"
"2021038869","2","0","PA","3","PT5805Z","2018"
"2021009566","2","0","PA","3","XKR8138","2021"
"2021051527","2","0","NJ","7","TUP75A","2022"
"2021011021","1","0","IL","7","573672ST","2099"
"2021043356","2","0","PA","3","XJX8059","1997"
"2021083932","1","0","IL","7","760188","2021"
"2021059265","1","1","PA","3","XFH2876","2022"
"2021055432","1","1","PA","3","XKM8735","2023"
"2021051752","3","1","PA","5","XKM4043","2004"
"2021100548","2","1","PA","1","NONE","2021"
"2021127505","2","1","PA","3","XLC4162","2022"
"2021085469","2","0","PA","7","XGD8316","2022"
"2021023264","1","0","","7","",""
"2021034824","1","0","PA","7","XDL3699","2021"
"2021053966","1","0","ME","7","355935Z","2021"
"2021043251","1","0","IN","7","2446955","2021"
"2021070693","2","1","PA","3","XDN4600","2023"
"2021095044","2","1","","8","",""
"2021101711","1","1","PA","3","XM17998","2024"
"2021068326","1","0","PA","3","PT784B7","9999"
"2021111531","1","1","PA","7","PT9407V","1996"
"2021097390","3","0","PA","3","XJF2027","2024"
"2021073200","1","0","PA","7","PT835K6","2021"
"2022000737","1","1","PA","7","XLN1299","2023"
"2021017908","1","0","ME","7","32 35840","2021"
"2021071574","1","1","PA","5","PT7727V","2023"
"2021041130","1","0","TX","6","P858124","2021"
"2021036484","1","0","PA","7","XMP5282","2022"
"2021036711","2","0","PA","8","NO TAG","2022"
"2021060621","1","0","OK","7","AT8404","2005"
"2021100850","2","1","NY","7","1380D6","2022"
"2021106128","1","0","ME","7","2850743","2028"
"2021123289","3","1","CO","7","707-THM","2022"
"2021125672","2","1","","7","",""
"2021027171","2","0","CA","7","4PE3060","2020"
"2021056433","1","0","FL","3","GFI624","2022"
"2021040579","1","0","PA","3","XNA9016","2021"
"2021062022","2","0","PA","3","PT923B3","9999"
"2021087723","1","0","PA","4","PT791C5","2022"
"2021079656","2","1","PA","3","XM5950","2022"
"2021103859","1","0","PA","3","PT661J8","2021"
"2021034452","2","0","PA","3","XMM1328","2021"
"2021109755","4","1","","7","",""
"2021113832","1","0","PA","1","XNF5707","2022"
