"CRN","UNIT_NUM","TRL_SEQ_NUM","TRL_VEH_REG_STATE","TRL_VEH_TYPE_CD","TRL_VEH_TAG_NUM","TRL_VEH_TAG_YR"
"2016011814","1","0","PA","7","PT4660N","9999"
"2016013163","1","0","ME","7","2453986",""
"2016015555","1","0","TN","7","15186","2016"
"2016016870","2","0","PA","7","XFN4433","2016"
"2016020087","1","0","TN","6","U602895",""
"2016026193","1","0","ME","7","2542696","2099"
"2016026689","2","0","NJ","7","TNN61K","9999"
"2016027483","1","0","UT","7","A523834",""
"2016038581","1","0","PA","7","PT7718V","2017"
"2016042437","1","0","ME","7","21-58593","2015"
"2016044218","1","0","PA","7","PT1817Y","2099"
"2016050011","2","0","PA","7","PT8600J","2016"
"2016050589","1","0","ME","7","2152849","2021"
"2016056918","3","0","PA","7","PT6364X","2016"
"2016059772","2","0","TN","7","U471335","9999"
"2016073716","1","0","ME","6","B447446","2017"
"2016078664","2","0","PA","3","XY63262","2017"
"2016098009","1","0","PA","3","XJK2464","2017"
"2016099351","2","0","IL","7","75482","2017"
"2016109662","1","0","","7","",""
"2016122118","1","0","PA","3","XFD4231","2020"
"2016006749","1","0","ZZ","7","99999","2016"
"2016017631","1","0","PA","7","",""
"2016037211","1","0","PA","3","XJA2013","2020"
"2016042843","1","0","PA","6","XHN3228","2016"
"2016047142","2","0","ME","7","1974222","2019"
"2016051607","2","0","PA","3","XJW3567","2016"
"2016054369","1","0","ME","7","2558229","2017"
"2016055520","1","0","PA","7","PT2056T","2017"
"2016062476","1","0","ME","7","356555Z","2035"
"2016065173","1","0","PA","7","PT7769L",""
"2016074479","2","0","PA","3","XGP0145","2017"
"2016078892","2","0","NJ","7","PT9765","2016"
"2016079253","2","0","ME","7","186144A",""
"2016081205","2","0","ME","7","2174672","2008"
"2016087769","1","0","OK","7","OK6574JS","2016"
"2016088910","2","0","","7","",""
"2016101411","2","0","OH","7","TQH4061","2016"
"2016101906","1","0","MD","3","960627G","2017"
"2016107745","1","0","PA","3","XHT1635","2016"
"2016108862","1","0","","7","",""
"2016110214","2","0","TN","7","U34615","2016"
"2016111737","1","0","MD","6","044703X","2017"
"2016112332","1","0","PA","3","XDP9184","2017"
"2016117616","1","0","PA","6","PT752OR","9999"
"2016137849","2","0","ME","7","1998799","2019"
"2016004931","1","0","PA","7","PT8387V","2012"
"2016008330","2","0","","7","UNKNOWN",""
"2016010105","1","0","PA","3","XJG9124","2016"
"2016011148","2","0","","7","",""
"2016023134","1","0","PA","3","XJD4319","2019"
"2016035457","2","0","FL","7","2437CQ","2019"
"2016036562","2","0","ME","7","1935438","2019"
"2016039890","2","0","IL","7","T394001","2006"
"2016045973","2","0","PA","3","XW06903","2016"
"2016045977","1","0","ZZ","7","UNKNOWN",""
"2016049771","2","0","ZZ","7","UNKNOWN","2099"
"2016055016","2","0","PA","7","PT9623Y","2016"
"2016063134","2","0","PA","6","XGR4726","2016"
"2016064560","2","0","PA","3","XJC9506","2017"
"2016067364","1","0","PA","1","",""
"2016069996","2","0","PA","7","XL96427","2016"
"2016070409","2","0","MI","7","D008301","2002"
"2016070938","2","0","PA","7","PT083C3","2016"
"2016073749","1","0","PA","5","XJX0181","2016"
"2016078459","1","0","OK","7","749120","2017"
"2016081651","1","0","PA","7","PT1994N",""
"2016082801","2","0","MI","7","C446060","2016"
"2016090990","1","0","CA","7","FT39934","2016"
"2016109345","1","0","PA","6","XV49985","2017"
