"ARRIVAL_TM","AUTOMOBILE_COUNT","BELTED_DEATH_COUNT","BELTED_SUSP_SERIOUS_INJ_COUNT","BICYCLE_COUNT","BICYCLE_DEATH_COUNT","BICYCLE_SUSP_SERIOUS_INJ_COUNT","BUS_COUNT","CHLDPAS_DEATH_COUNT","CHLDPAS_SUSP_SERIOUS_INJ_COUNT","COLLISION_TYPE","COMM_VEH_COUNT","CONS_ZONE_SPD_LIM","COUNTY","CRASH_MONTH","CRASH_YEAR","CRN","DAY_OF_WEEK","DEC_LAT","DEC_LONG","DISPATCH_TM","DISTRICT","DRIVER_COUNT_16YR","DRIVER_COUNT_17YR","DRIVER_COUNT_18YR","DRIVER_COUNT_19YR","DRIVER_COUNT_20YR","DRIVER_COUNT_50_64YR","DRIVER_COUNT_65_74YR","DRIVER_COUNT_75PLUS","EST_HRS_CLOSED","FATAL_COUNT","HEAVY_TRUCK_COUNT","HORSE_BUGGY_COUNT","HOUR_OF_DAY","ILLUMINATION","INJURY_COUNT","INTERSECT_TYPE","LANE_CLOSED","LATITUDE","LN_CLOSE_DIR","LOCATION_TYPE","LONGITUDE","MAX_SEVERITY_LEVEL","MCYCLE_DEATH_COUNT","MCYCLE_SUSP_SERIOUS_INJ_COUNT","MOTORCYCLE_COUNT","MUNICIPALITY","NONMOTR_COUNT","NONMOTR_DEATH_COUNT","NONMOTR_SUSP_SERIOUS_INJ_COUNT","NTFY_HIWY_MAINT","PED_COUNT","PED_DEATH_COUNT","PED_SUSP_SERIOUS_INJ_COUNT","PERSON_COUNT","POLICE_AGCY","POSSIBLE_INJ_COUNT","RDWY_SURF_TYPE_CD","RELATION_TO_ROAD","ROAD_CONDITION","SCH_BUS_IND","SCH_ZONE_IND","SMALL_TRUCK_COUNT","SPEC_JURIS_CD","SUSP_MINOR_INJ_COUNT","SUSP_SERIOUS_INJ_COUNT","SUV_COUNT","TCD_FUNC_CD","TCD_TYPE","TFC_DETOUR_IND","TIME_OF_DAY","TOT_INJ_COUNT","TOTAL_UNITS","UNB_DEATH_COUNT","UNB_SUSP_SERIOUS_INJ_COUNT","UNBELTED_OCC_COUNT","UNK_INJ_DEG_COUNT","UNK_INJ_PER_COUNT","URBAN_RURAL","VAN_COUNT","VEHICLE_COUNT","WORK_ZONE_IND","WORK_ZONE_LOC","WORK_ZONE_TYPE","WORKERS_PRES","WZ_CLOSE_DETOUR","WZ_FLAGGER","WZ_LAW_OFFCR_IND","WZ_LN_CLOSURE","WZ_MOVING","WZ_OTHER","WZ_SHLDER_MDN","ROADWAY_CLEARED","WEATHER1","WEATHER2","WZ_WORKERS_INJ_KILLED","SECONDARY_CRASH","INTERSECTION_RELATED"
"0246","1","0","0","0","0","0","0","0","0","1","0","","36","01","2016","2016000011","6","40.0334","-76.2937","0243","08","0","0","0","0","0","0","0","0","1","0","0","0","02","3","1","01","1","40 02:00.204","2","00","76 17:37.489","8","0","0","0","36301","0","0","0","N","0","0","0","2","36301","0","","1","01","N","N","0","","0","0","1","3","3","N","0242","1","2","0","0","0","1","1","3","0","2","N","","","","","","","","","","","","03","  ","","",""
"1132","2","0","0","0","0","0","0","0","0","4","0","","36","01","2016","2016000147","6","40.1381","-76.5851","1125","08","0","0","0","0","0","0","0","2","1","0","0","0","11","1","0","00","2","40 08:17.275","5","07","76 35:06.486","0","0","0","0","36225","0","0","0","N","0","0","0","2","36505","0","","1","01","N","N","0","","0","0","0","3","2","Y","1132","0","2","0","0","0","0","0","2","0","2","N","","","","","","","","","","","","03","  ","","",""
"1832","1","0","0","0","0","0","0","0","0","4","0","","36","01","2016","2016000225","6","40.1679","-76.166","1828","08","0","0","0","0","0","1","0","0","1","0","0","0","18","3","1","02","2","40 10:04.304","3","00","76 09:57.691","3","0","0","0","36408","0","0","0","N","0","0","0","6","36408","0","","1","01","N","N","0","","1","0","0","3","2","Y","1827","1","2","0","0","0","0","0","2","1","2","N","","","","","","","","","","","","03","  ","","",""
"1639","1","0","0","0","0","0","0","0","0","4","0","","36","01","2016","2016000307","6","40.0361","-76.257","1639","08","0","0","0","0","0","0","0","0","2","0","0","0","16","1","1","01","2","40 02:09.963","3","00","76 15:25.323","4","0","0","0","36215","0","0","0","N","0","0","0","3","36215","1","","1","01","N","N","0","","0","0","1","3","3","Y","1639","1","2","0","0","0","0","0","1","0","2","N","","","","","","","","","","","","03","  ","","",""
"1207","1","0","0","0","0","0","0","0","0","1","0","","36","01","2016","2016000326","7","40.0776","-76.3269","1146","08","0","0","0","0","0","0","0","0","","0","0","0","11","1","0","00","0","40 04:39.181","","00","76 19:36.857","0","0","0","0","36101","0","0","0","N","0","0","0","2","36101","0","","1","01","N","N","0","","0","0","1","0","0","","1143","0","2","0","0","0","0","0","3","0","2","N","","","","","","","","","","","","03","  ","","",""
"1646","1","0","0","0","0","0","0","0","0","7","0","","36","01","2016","2016000411","7","40.1191","-76.0654","1642","08","0","0","0","0","0","0","0","1","2","0","0","0","16","4","1","00","2","40 07:08.803","5","00","76 03:55.497","3","0","0","0","36213","0","0","0","N","0","0","0","1","36213","0","","5","01","N","N","0","","1","0","0","3","2","Y","1640","1","1","0","0","1","0","0","1","0","1","N","","","","","","","","","","","","03","  ","","",""
"1559","1","0","0","0","0","0","0","0","0","7","0","","36","01","2016","2016000486","7","40.1763","-76.5984","1555","08","0","0","0","0","0","0","0","0","1","0","0","0","15","1","0","07","1","40 10:34.679","4","02","76 35:54.180","0","0","0","0","36225","0","0","0","N","0","0","0","1","36505","0","","7","01","N","N","0","","0","0","0","0","0","N","1550","0","1","0","0","0","0","0","2","0","1","N","","","","","","","","","","","","03","  ","","",""
"1222","1","0","0","0","0","0","0","0","0","1","0","","36","01","2016","2016000516","1","40.1133","-76.4512","1212","08","0","0","0","0","0","1","0","0","1","0","0","0","12","1","1","01","1","40 06:47.900","2","00","76 27:04.200","4","0","0","0","36230","0","0","0","N","0","0","0","5","36410","1","","1","01","N","N","1","","0","0","0","3","2","N","1210","1","2","0","0","0","0","0","1","0","2","N","","","","","","","","","","","","03","  ","","",""
"1243","0","0","0","0","0","0","0","0","0","8","0","","36","01","2016","2016000518","1","40.0374","-76.3181","1240","08","0","0","0","0","0","0","1","0","","0","0","0","12","1","1","00","0","40 02:14.600","","07","76 19:05.300","4","0","0","0","36301","1","0","0","N","1","0","0","2","36301","1","","1","01","N","N","1","","0","0","0","0","0","","1240","1","2","0","0","0","0","0","3","0","1","N","","","","","","","","","","","","03","  ","","",""
"1316","2","0","0","0","0","0","0","0","0","4","0","","36","01","2016","2016000525","1","40.0763","-76.3249","1312","08","0","0","0","0","0","0","1","0","2","0","0","0","13","1","2","00","1","40 04:34.612","5","07","76 19:29.643","3","0","0","0","36101","0","0","0","N","0","0","0","2","36101","0","","1","01","N","N","0","","2","0","0","3","2","N","1311","2","2","0","0","0","0","0","3","0","2","N","","","","","","","","","","","","03","  ","","",""
