"CRN","AXLE_CNT","CARGO_BD_TYPE","CARRIER_ADDR_1","CARRIER_ADDR_2","CARRIER_ADDR_CITY","CARRIER_ADDR_STATE","CARRIER_ADDR_ZIP","CARRIER_NM","CARRIER_TEL","GVWR","HAZMAT_CD1","HAZMAT_CD2","HAZMAT_CD3","HAZMAT_CD4","HAZMAT_IND","HAZMAT_REL_IND1","HAZMAT_REL_IND2","HAZMAT_REL_IND3","HAZMAT_REL_IND4","ICC_NUM","OSIZE_LOAD_IND","PUC_NUM","UNIT_NUM","USDOT_NUM","VEH_CONFIG_CD"
2016013500,"03","9","5002 CUNDIFF COURT","","DECATUR","IL","62526","MCLEOD EXPRESS LLC","2404621649","080000","","","","","N","","","","","","N","","1","00992986","07"
2016013525,"02","6","3011 WILLOW STREET PIKE N","","WILLOW STREET","PA","17584","ABSOLUTE TOWING","7175093100","999999","","","","","N","","","","","","N","A-8910572","1","01814932","05"
2016021782,"04","1","4145 BRESEE AVE","","BALDWIN PARK","CA","91706","YNS TRUCKS INC","6264238775","","","","","","N","","","","","","N","","2","02518625","08"
2016035877,"03","0","2001 OLD PHILADELPHIA PIKE","","LANCASTER","PA","17602","M&G RIGGING AND HAULING","7175750429","080000","","","","","N","","","","","","N","","3","00082216","04"
2016037165,"99","9","1748 COLUMBIA AVE","","LANCASTER","PA","17603","E & J MANAGEMENT LLC","9999999999","015000","","","","","N","","","","","","U","","2","","05"
2016051797,"02","9","985 JOLLY RD","","BLUE BELL","PA","19422","HENKELS AND MCCOY","2152837600","999999","","","","","N","","","","","","N","","2","00010515","09"
2016054224,"02","1","324 E WHITE HORSE RD","","GALLOWAY","NJ","08205","JUST 4 WHEELS","6097489603","999999","","","","","N","","","","","","N","","2","00542457","03"
2016055036,"05","1","94 WALDOBORO RD","","JEFFERSON","ME","04348","NEW PENN","8007231303","080000","5","","","","Y","1","","","","","N","","2","00010670","08"
2016058955,"03","1","4216 OREGON PIKE","","BROWNSTOWN","PA","17508","MARTIN APPLIANCE","7178593131","","","","","","N","","","","","","U","","1","00544753","04"
2016060774,"05","9","1471 W MAIN ST","","MOUNT JOY","PA","17552","MOUNT JOY FARMERS COOPERATIVE","9999999999","095000","","","","","N","","","","","","N","","2","","08"
2016065030,"03","8","45 ERICK RD","","LANCASTER","PA","17601","RED ROSE TRANSIT AUTHORITY","7173975613","080000","","","","","N","","","","","","N","","2","","10"
2016065173,"02","1","300 OAK ST","","PITTSTON","PA","18640","COCA COLA","7173930631","999999","","","","","N","","","","","","N","","1","00291145","08"
2016067565,"02","1","4000 CLINE AVE","","EAST CHICAGO","IN","46312","PENSKE TRUCK LEASING","2193781650","026000","","","","","N","","","","","","N","","1","00327574","03"
2016070577,"05","9","70 LITITZ ROAD","","LITITZ","PA","17543","ROHRER'S CONCRETE","7176269760","080000","","","","","N","","","","","","N","A-8916121","2","02450577","08"
2016071023,"02","3","43 FARM LANE","","ATGLEN","PA","19310","REEDS AUTO SALVAGE","4847322758","","","","","","N","","","","","","N","","2","00000000","03"
2016078892,"99","1","300 OAK ST","","PITTSTON","PA","18646","COCA COLA","2152729594","054900","","","","","N","","","","","","U","","2","00291145","08"
2016084180,"05","1","1200 ELLIS ST","","BENSENVILLE","IL","60106","AF SYSTEMS LLC","8474341122","080000","","","","","N","","","","","","N","","2","02260278","08"
2016097314,"05","9","232 JEFFERSON RD.","","ELMER","NJ","08318","BISHOP FARMS INC.","8563583250","080000","","","","","N","","","","","","N","","2","00375075","09"
2016098524,"05","1","3934 HOMEWOOD RD","","MEMPHIS","TN","38118","OZARK MOTOR LINES, INC.","2765949643","080000","","","","","N","","","","","","N","","2","00096606","08"
2016102337,"99","4","UNKNOWN","","UNKNOWN","ZZ","99999","UNKNOWN","9999999999","999999","","","","","N","","","","","","U","","2","","05"
