"CRN","RDWY_SEQ_NUM","ADJ_RDWY_SEQ","ROUTE","SEGMENT","OFFSET","RDWY_ORIENT","LANE_COUNT","SPEED_LIMIT","STREET_NAME","ROAD_OWNER","ACCESS_CTRL","RDWY_COUNTY"
"2016055439","3","3","0272","0300","1885","N","2","45","LANCASTER PK","2","3","36"
"2016060371","3","3","0300","0291","1937","W","2","65","283RD FIELD ARTILLERY MEM HW","2","1","36"
"2016057661","3","3","0741","0200","1432","S","2","40","MILLERSVILLE RD","2","3","36"
"2016055528","3","3","0300","0360","721","E","3","55","283RD FIELD ARTILLERY MEM HW","2","1","36"
"2016060568","4","3","","","","S","02","25","CHARLOTTE ST","4","","36"
"2016056143","5","5","","","","E","02","35","FAIRVIEW AV","4","","36"
"2016056180","4","3","","","","W","02","25","STONY LN","4","","36"
"2016057814","4","5","","","","E","04","35","COMMERCE DR","4","","36"
"2016058880","3","3","0462","0200","0","W","2","40","COLUMBIA AV","2","3","36"
"2016060620","4","4","","","","S","02","35","WHITE OAK RD","4","","36"
"2016056241","4","4","0372","0130","3238","B","2","45","HOLTWOOD RD","2","3","36"
"2016057820","4","4","8001","0500","600","W","1","35","RAMP F RD","2","1","36"
"2016058983","3","3","0272","0450","1420","N","2","35","WILLOW STREET PK","2","3","36"
"2016061655","4","4","","","","N","02","25","CREEK RD","4","","36"
"2016056387","3","3","","","","N","02","25","FRANKLIN ST","4","","36"
"2016058067","3","3","0230","0140","1963","E","2","55","MAIN ST","2","3","36"
"2016056529","5","5","","","","N","02","40","SIMMONTOWN RD","4","","36"
"2016058155","3","3","0340","0350","195","E","2","40","OLD PHILADELPHIA PK","2","3","36"
"2016059241","4","4","0272","0471","1726","S","2","50","WILLOW STREET PK","2","3","36"
"2016056642","3","3","0300","0021","2520","W","2","65","283RD FIELD ARTILLERY MEM HW","2","1","36"
"2016058278","3","3","0222","0811","1484","S","2","65","","2","1","36"
"2016059432","4","4","","","","N","02","55","FOREST RD","4","","36"
"2016060763","4","5","","","","N","02","35","SYLVAN RD","4","","36"
"2016060812","3","3","4011","0030","2775","N","2","40","FRUITVILLE PK","2","3","36"
