"CRN","MC_BAG_IND","MC_DVR_BOOTS_IND","MC_DVR_EDC_IND","MC_DVR_EYEPRT_IND","MC_DVR_HLMTDOT_IND","MC_DVR_HLMTON_IND","MC_DVR_HLMT_TYPE","MC_DVR_LNGPNTS_IND","MC_DVR_LNGSLV_IND","MC_ENGINE_SIZE","MC_PASSNGR_IND","MC_PAS_BOOTS_IND","MC_PAS_EYEPRT_IND","MC_PAS_HLMTDOT_IND","MC_PAS_HLMTON_IND","MC_PAS_HLMT_TYPE","MC_PAS_LNGPNTS_IND","MC_PAS_LNGSLV_IND","MC_TRAIL_IND","PC_HDLGHT_IND","PC_HLMT_IND","PC_PASSNGR_IND","PC_REAR_RFLTR_IND","UNIT_NUM"
"2016032361","Y","Y","N","Y","Y","Y","1","Y","Y","01100","N","","","","","","","","N","","","","","1"
"2016034031","N","U","U","N","U","U","1","Y","Y","00750","N","","","","","","","","N","","","","","2"
"2016034326","N","N","U","U","U","U","9","Y","U","01442","N","","","","","","","","N","","","","","1"
"2016035373","N","Y","U","U","N","N","0","Y","Y","01450","Y","U","Y","N","N","0","Y","Y","N","","","","","1"
"2016039287","U","U","U","Y","U","U","9","U","U","99999","N","","","","","","","","N","","","","","2"
"2017012823","","","","","","","","","","","","","","","","","","","","U","N","N","U","1"
"2016050984","Y","Y","Y","Y","Y","Y","2","Y","Y","00670","N","","","","","","","","N","","","","","1"
"2016058258","N","Y","Y","N","N","N","0","Y","Y","01340","N","","","","","","","","N","","","","","1"
"2016058854","N","U","U","Y","U","Y","1","Y","Y","00300","N","","","","","","","","N","","","","","1"
"2016059941","Y","N","Y","Y","N","N","0","Y","N","01305","N","","","","","","","","N","","","","","2"
"2016060746","N","N","U","Y","N","N","0","Y","N","00049","N","","","","","","","","N","Y","N","N","U","2"
"2016063063","Y","U","Y","Y","Y","Y","1","Y","N","01900","N","","","","","","","","N","","","","","2"
"2016066095","U","U","U","N","U","U","9","U","U","99999","N","","","","","","","","U","","","","","2"
"2016076309","U","U","U","U","U","U","9","U","U","99999","N","","","","","","","","N","","","","","2"
"2016079275","U","U","U","N","N","N","0","U","U","99999","N","","","","","","","","N","","","","","1"
"2016079578","","","","","","","","","","","","","","","","","","","","N","N","N","Y","1"
"2016080059","Y","Y","Y","Y","Y","Y","1","Y","N","00650","N","","","","","","","","N","","","","","2"
"2016087893","U","U","U","N","U","U","9","U","U","99999","N","","","","","","","","N","","","","","1"
"2016088176","","","","","","","","","","","","","","","","","","","","N","N","N","U","1"
"2016113561","N","N","Y","Y","Y","Y","1","Y","Y","01000","N","","","","","","","","N","","","","","1"
"2016114516","N","U","Y","Y","U","Y","1","U","Y","00650","N","","","","","","","","N","","","","","1"
"2016121762","Y","Y","Y","Y","U","Y","1","Y","Y","01200","N","","","","","","","","N","","","","","1"
"2016030180","U","U","U","N","N","N","0","U","U","99999","N","","","","","","","","N","","","","","1"
"2016036172","N","Y","U","Y","U","Y","1","Y","Y","00900","N","","","","","","","","N","","","","","1"
"2016038200","","","","","","","","","","","","","","","","","","","","N","N","N","N","1"
"2017000077","","","","","","","","","","","","","","","","","","","","N","N","N","N","1"
"2016039811","","","","","","","","","","","","","","","","","","","","N","Y","N","Y","1"
"2016045965","N","N","N","N","N","N","0","Y","N","00200","N","","","","","","","","N","","","","","1"
"2016050732","U","U","U","Y","N","N","0","U","U","99999","N","","","","","","","","N","","","","","2"
"2016059589","N","Y","U","Y","Y","Y","1","Y","U","01100","N","","","","","","","","N","","","","","2"
"2016060808","Y","Y","N","Y","Y","Y","3","Y","Y","01200","N","","","","","","","","N","","","","","1"
"2016061546","N","N","U","Y","U","U","1","Y","N","01300","N","","","","","","","","N","","","","","2"
"2016068058","N","N","N","Y","Y","Y","1","Y","N","00600","N","","","","","","","","N","","","","","1"
"2016068139","N","Y","U","Y","N","N","0","Y","N","01573","Y","N","U","N","N","0","N","N","N","","","","","1"
"2016071140","","","","","","","","","","","","","","","","","","","","N","N","N","Y","1"
"2016073515","","","","","","","","","","","","","","","","","","","","N","N","Y","Y","1"
"2016076299","U","U","Y","U","U","N","0","Y","U","01200","N","","","","","","","","N","","","","","1"
"2016077666","Y","U","U","Y","U","Y","3","Y","Y","01573","Y","U","Y","U","N","3","Y","Y","N","","","","","2"
"2016077891","N","U","U","U","N","N","0","U","U","00250","N","","","","","","","","N","","","","","1"
"2016079366","Y","Y","Y","Y","U","Y","1","Y","Y","01000","N","","","","","","","","N","","","","","2"
"2016079386","Y","Y","Y","Y","Y","Y","2","Y","N","00500","N","","","","","","","","N","","","","","1"
"2016081514","N","U","U","Y","N","N","0","Y","N","01573","N","","","","","","","","N","","","","","1"
"2016083206","","","","","","","","","","","","","","","","","","","","Y","N","N","Y","2"
"2016086930","N","Y","N","N","N","N","0","U","N","00653","N","","","","","","","","N","","","","","1"
"2016088468","","","","","","","","","","","","","","","","","","","","N","N","N","N","1"
"2016088842","","","","","","","","","","","","","","","","","","","","Y","Y","Y","Y","2"
"2016089995","N","U","N","Y","Y","U","1","Y","Y","00599","N","","","","","","","","N","","","","","1"
"2016098143","","","","","","","","","","","","","","","","","","","","N","Y","N","U","3"
"2016098175","Y","Y","Y","Y","Y","Y","1","Y","Y","00599","N","","","","","","","","N","","","","","1"
"2016109198","U","U","U","N","U","U","9","U","U","99999","N","","","","","","","","N","","","","","1"
"2016111690","N","N","N","Y","Y","Y","1","Y","Y","00750","N","","","","","","","","N","","","","","1"
"2016115669","Y","N","N","Y","Y","Y","1","Y","Y","00600","N","","","","","","","","N","","","","","1"
"2016037533","N","Y","U","Y","U","Y","1","Y","Y","00750","N","","","","","","","","N","","","","","1"
"2016044127","","","","","","","","","","","","","","","","","","","","U","N","N","U","1"
"2016045227","","","","","","","","","","","","","","","","","","","","N","N","N","U","1"
"2016051780","N","N","U","Y","Y","Y","3","Y","N","01340","N","","","","","","","","N","","","","","1"
"2016059963","N","N","Y","Y","Y","Y","1","Y","U","01200","N","","","","","","","","N","","","","","1"
"2016064161","N","Y","U","Y","N","N","0","Y","N","00500","N","","","","","","","","N","","","","","2"
"2016064730","Y","N","U","Y","U","Y","9","N","N","00460","N","","","","","","","","N","","","","","1"
"2016067961","Y","Y","N","Y","N","N","0","Y","Y","01584","N","","","","","","","","N","","","","","1"
"2016073528","N","N","N","Y","N","N","0","Y","N","01448","N","","","","","","","","N","","","","","1"
"2016073949","","","","","","","","","","","","","","","","","","","","N","Y","N","U","2"
"2016074057","N","U","U","Y","U","Y","3","Y","Y","01200","N","","","","","","","","N","","","","","1"
"2016075587","N","N","Y","Y","U","U","9","Y","N","00600","N","","","","","","","","N","","","","","2"
"2016076858","N","U","N","Y","Y","Y","1","Y","Y","00600","N","","","","","","","","N","","","","","1"
"2016079704","N","N","U","Y","U","Y","1","Y","U","01800","N","","","","","","","","N","","","","","1"
"2016083844","N","Y","U","Y","N","N","0","Y","N","99999","N","","","","","","","","N","","","","","1"
"2016088752","N","Y","Y","Y","U","Y","1","Y","Y","00321","N","","","","","","","","N","","","","","1"
"2016090433","N","N","U","N","N","N","0","N","N","00500","N","","","","","","","","N","","","","","1"
"2016090483","N","U","U","Y","Y","Y","1","Y","Y","00250","N","","","","","","","","N","","","","","2"
"2016092741","N","U","U","Y","U","Y","1","Y","N","99999","N","","","","","","","","N","","","","","2"
"2016096035","","","","","","","","","","","","","","","","","","","","Y","Y","N","Y","1"
"2016096439","U","U","U","N","U","U","9","U","U","99999","N","","","","","","","","N","","","","","2"
"2016097783","Y","N","Y","Y","Y","Y","1","Y","N","01100","N","","","","","","","","N","","","","","1"
"2016097806","Y","Y","Y","Y","Y","Y","1","Y","Y","01200","N","","","","","","","","N","","","","","1"
"2016097899","Y","Y","N","Y","N","N","0","Y","N","01000","N","","","","","","","","N","","","","","1"
"2016105209","N","U","U","N","U","U","1","Y","U","00600","N","","","","","","","","N","","","","","1"
"2016123121","","","","","","","","","","","","","","","","","","","","N","N","N","N","2"
"2016129641","N","N","Y","Y","N","N","0","Y","Y","01338","N","","","","","","","","N","","","","","1"
"2016026471","Y","Y","Y","Y","U","Y","9","Y","Y","00500","N","","","","","","","","N","","","","","2"
"2016027206","","","","","","","","","","","","","","","","","","","","N","N","N","Y","2"
"2016031639","N","N","N","U","N","N","0","Y","Y","99999","N","","","","","","","","N","","","","","1"
