"CRN","AGE","AIRBAG_PADS","AIRBAG1","AIRBAG2","AIRBAG3","AIRBAG4","CLOTHING_TYPE","DVR_PED_CONDITION","EJECTION_IND","EJECT_PATH_CD","EXTRIC_IND","INJ_SEVERITY","PED_LOCATION","PED_SIGNAL","PERSON_NUM","PERSON_TYPE","RESTRAINT_HELMET","SEAT_POSITION","SEX","TRANSPORTED","UNIT_NUM","DRUG_RESULT_CD1","DRUG_RESULT_CD2","DRUG_RESULT_CD3","DRUG_RESULT_CD4","DVR_LIC_STATE"
2016003450,33,"08","M","","",""," ","0","1","0","1","0","  "," ",1,"1","03","01","F","N",2,"","","","","PA"
2016079004,21,"08","M","","",""," ","0","1","0","0","0","  "," ",1,"1","03","01","M","N",1,"","","","","PA"
2016043126,22,"00","","","",""," ","0","1","0","1","0","  "," ",1,"1","03","01","M","N",2,"","","","","PA"
2016043918,59,"09","","","",""," ","0","0","0","0","4","  "," ",1,"1","03","01","M","Y",3,"","","","","PA"
2016023179,6,"09","","","",""," ","0","1","0","1","0","  "," ",4,"2","03","06","M","N",3,"","","","","PA"
2016030163,52,"08","M","","",""," ","0","0","0","0","0","  "," ",1,"1","03","01","F","N",2,"","","","","PA"
2016092268,20,"08","02","","",""," ","0","1","0","9","8","  "," ",1,"1","03","01","M"," ",2,"","","","","PA"
2016087773,65,"08","02","","",""," ","0","1","0","2","2","  "," ",1,"1","03","01","M","Y",1,"","","","","PA"
2016068356,3,"00","","","",""," ","0","1","0","1","0","  "," ",4,"2","04","06","F","N",3,"","","","","PA"
2016059502,23,"00","","","",""," ","0","1","0","1","0","  "," ",1,"1","01","01","M"," ",1,"","","","","PA"
2016097390,33,"08","02","","",""," ","0","0","0","0","0","  "," ",1,"1","03","01","F","N",1,"","","","","PA"
2016129800,17,"00","","","",""," ","0","0","0","0","0","  "," ",3,"2","03","06","M","N",1,"","","","","PA"
2016085485,3,"00","","","",""," ","0","0","0","0","0","  "," ",2,"2","04","06","F","N",2,"","","","","PA"
2016070017,29,"08","M","","",""," ","0","1","0","1","0","  "," ",1,"1","03","01","M","N",3,"","","","","PA"
2016025407,29,"08","02","","",""," ","0","0","0","0","0","  "," ",1,"1","03","01","F","N",1,"","","","","PA"
2016052567,38,"00","","","",""," ","0","0","0","0","0","  "," ",1,"1","00","01","M","N",1,"","","","","PA"
